run_id,n_agents,coupling,seed_index,t_bin,log_loss,brier,pred_stay,obs_stay,mean_r1_bin
N17_K+0.08_s0,17,0.08,0,t0_9,0.4677738106530913,0.2897063666884016,0.01333625973365909,0.0,0.41013981371291486
N17_K+0.08_s0,17,0.08,0,t10_19,0.38653603173987316,0.25056008680911135,0.005735815421550179,0.0,0.7054770234550807
N17_K+0.08_s0,17,0.08,0,t20_29,0.48122101434477277,0.2658128288828478,0.15838353583430498,0.0,0.9110813230751017
N17_K+0.08_s0,17,0.08,0,t30_39,0.3840403360566045,0.18115493836977006,0.05727008856399712,0.029411764705882353,0.9896665643371636
N17_K+0.08_s1,17,0.08,1,t0_9,0.5794952343193548,0.3835347055031095,0.01900950798685971,0.0,0.2851703844883242
N17_K+0.08_s1,17,0.08,1,t10_19,0.5165492794926286,0.34108157088100377,0.006631012425755623,0.0,0.5148639624232828
N17_K+0.08_s1,17,0.08,1,t20_29,0.8355894022510475,0.564624441176889,0.005054542426154991,0.0,0.6942118377817744
N17_K+0.08_s1,17,0.08,1,t30_39,0.7563672251331425,0.4898015333879005,0.05421276175930268,0.0058823529411764705,0.8482176510576472
N17_K+0.08_s2,17,0.08,2,t0_9,0.3670043032381934,0.21410047484347863,0.006332052145153385,0.0,0.5496078267580147
N17_K+0.08_s2,17,0.08,2,t10_19,0.3885546585480104,0.21736098268570325,0.006021931210881859,0.011764705882352941,0.7517085017915728
N17_K+0.08_s2,17,0.08,2,t20_29,0.6074221321443128,0.3545730340144994,0.16892144640484233,0.0,0.9053376756970358
N17_K+0.08_s2,17,0.08,2,t30_39,0.38648421624592944,0.19032068767955215,0.1069993277132136,0.0058823529411764705,0.9846536793928742
N17_K+0.08_s3,17,0.08,3,t0_9,0.4631358666789434,0.3016385928409962,0.006605168040537184,0.0,0.5378088682409299
N17_K+0.08_s3,17,0.08,3,t10_19,0.30758368513992795,0.1719338717176052,0.005279575796433483,0.0,0.721717026382981
N17_K+0.08_s3,17,0.08,3,t20_29,0.47097281094231985,0.3099129364347355,0.006550059017214668,0.0,0.7839750985831488
N17_K+0.08_s3,17,0.08,3,t30_39,0.4343199695634981,0.2607964702946854,0.015256031636883993,0.0058823529411764705,0.874048664400555
N17_K+0.1_s0,17,0.1,0,t0_9,0.35393431539081993,0.20970175320311824,0.006119374138606578,0.0,0.583407482529112
N17_K+0.1_s0,17,0.1,0,t10_19,0.40822372957557623,0.24776198304226915,0.05430093015714519,0.0,0.8455737489950845
N17_K+0.1_s0,17,0.1,0,t20_29,0.4949672129277646,0.25074535682136145,0.1431608578018407,0.03529411764705882,0.9731375906341875
N17_K+0.1_s0,17,0.1,0,t30_39,0.40002508602798964,0.16220598762746818,0.011850391779197247,0.041176470588235294,0.9976851293725064
N17_K+0.1_s1,17,0.1,1,t0_9,0.347084639685309,0.2051724958463258,0.006356693023688754,0.0,0.5980580871536642
N17_K+0.1_s1,17,0.1,1,t10_19,0.6265773385788345,0.35347668082223943,0.17201219140430477,0.0058823529411764705,0.8899406624279887
N17_K+0.1_s1,17,0.1,1,t20_29,0.436728619433849,0.19778658406017036,0.07463697192396136,0.029411764705882353,0.9856987895162295
N17_K+0.1_s1,17,0.1,1,t30_39,0.42563829330798325,0.1713371761620028,0.01185042612127832,0.047058823529411764,0.9978105620640345
N17_K+0.1_s2,17,0.1,2,t0_9,0.4216815678596046,0.2641044285407567,0.008115702940684616,0.0,0.5605313168620597
N17_K+0.1_s2,17,0.1,2,t10_19,0.4305565551053783,0.24247971123275777,0.10505353023427308,0.0058823529411764705,0.8875830895928971
N17_K+0.1_s2,17,0.1,2,t20_29,0.42758344224853084,0.20439797796853607,0.08911762618618796,0.023529411764705882,0.985305882146928
N17_K+0.1_s2,17,0.1,2,t30_39,0.4207436647920663,0.16676155118684877,0.01185042612127832,0.047058823529411764,0.9980847047473922
N17_K+0.1_s3,17,0.1,3,t0_9,0.518508907566163,0.32603668379619566,0.022338817920842444,0.0,0.28804580903214055
N17_K+0.1_s3,17,0.1,3,t10_19,0.40563491668675256,0.2550599203660015,0.005404011901461013,0.0,0.5855693716594662
N17_K+0.1_s3,17,0.1,3,t20_29,0.3793974138583783,0.23845740919769676,0.0055838858312182065,0.0,0.741868838291798
N17_K+0.1_s3,17,0.1,3,t30_39,0.5902934283938747,0.3612634810819965,0.127333432362167,0.0,0.8940224421404321
N17_K+0.12_s0,17,0.12,0,t0_9,0.3861763287927899,0.23670964061715968,0.009557390792822328,0.0,0.605058721673546
N17_K+0.12_s0,17,0.12,0,t10_19,0.4536742546908896,0.2364500434333199,0.1526624786205583,0.011764705882352941,0.9440052896618196
N17_K+0.12_s0,17,0.12,0,t20_29,0.4060046484602337,0.16767626814826841,0.011850268394488711,0.041176470588235294,0.9967633383481852
N17_K+0.12_s0,17,0.12,0,t30_39,0.4620546499412031,0.17579932920085192,0.011850336978888125,0.058823529411764705,0.997117752059195
N17_K+0.12_s1,17,0.12,1,t0_9,0.4996058487971473,0.3121636757110273,0.02048694952439904,0.0,0.32329109401449274
N17_K+0.12_s1,17,0.12,1,t10_19,0.375552708870805,0.22730817471763118,0.005928179453807554,0.0,0.6785818253446361
N17_K+0.12_s1,17,0.12,1,t20_29,0.5537128111798597,0.338387481380162,0.09972695037089715,0.0,0.9029283545156706
N17_K+0.12_s1,17,0.12,1,t30_39,0.46559292327102464,0.19335665261821364,0.03492145259680835,0.047058823529411764,0.9918040431855673
N17_K+0.12_s2,17,0.12,2,t0_9,0.34981208714786494,0.18759256427332074,0.005627967354920966,0.0058823529411764705,0.623974679594679
N17_K+0.12_s2,17,0.12,2,t10_19,0.48221458411920337,0.3066671373522232,0.015525325133948619,0.0058823529411764705,0.834295498566731
N17_K+0.12_s2,17,0.12,2,t20_29,0.6761080722679746,0.36163934006417053,0.17689033809662416,0.023529411764705882,0.9631460085193968
N17_K+0.12_s2,17,0.12,2,t30_39,0.3815658824970163,0.15930549161923416,0.01185024791556481,0.03529411764705882,0.9967643108706247
N17_K+0.12_s3,17,0.12,3,t0_9,0.3725814802961892,0.22565387857144678,0.010299334216673867,0.0,0.531904280019367
N17_K+0.12_s3,17,0.12,3,t10_19,0.3620618728290637,0.19121993247422714,0.01820951338281785,0.011764705882352941,0.8403914802564529
N17_K+0.12_s3,17,0.12,3,t20_29,0.439184704109952,0.23332678367219536,0.012362019138671897,0.023529411764705882,0.8930787385403258
N17_K+0.12_s3,17,0.12,3,t30_39,0.6894202678805925,0.3805696501514477,0.12885747018012425,0.023529411764705882,0.9595920894115316
N17_K+0.15_s0,17,0.15,0,t0_9,0.371910043261285,0.22163009256131763,0.012615923052611862,0.0,0.5582264293143133
N17_K+0.15_s0,17,0.15,0,t10_19,0.5089337575064627,0.2983284697208991,0.030732165151200353,0.01764705882352941,0.8883623845444127
N17_K+0.15_s0,17,0.15,0,t20_29,0.5162665810489443,0.25579697629383036,0.09605054944662893,0.03529411764705882,0.984163186610424
N17_K+0.15_s0,17,0.15,0,t30_39,0.4383902347943903,0.16952790386484354,0.0118608678540296,0.052941176470588235,0.9959798945259969
N17_K+0.15_s1,17,0.15,1,t0_9,0.47437064724394495,0.30173247674676784,0.01471291126636789,0.0,0.5467586388664072
N17_K+0.15_s1,17,0.15,1,t10_19,0.49574735519019925,0.284998732742877,0.08743559181339144,0.0058823529411764705,0.9209213332442522
N17_K+0.15_s1,17,0.15,1,t20_29,0.37361685395491884,0.1528871913748275,0.01196911428185095,0.03529411764705882,0.9951814978578459
N17_K+0.15_s1,17,0.15,1,t30_39,0.4779119882011832,0.18721420108798212,0.011925979421901343,0.058823529411764705,0.9957277576776565
N17_K+0.15_s2,17,0.15,2,t0_9,0.41173758655298165,0.2550783681956875,0.010190223835612295,0.0,0.5047600864639633
N17_K+0.15_s2,17,0.15,2,t10_19,0.49210191729177866,0.28360251300185857,0.1334164140477163,0.01764705882352941,0.8689512593790207
N17_K+0.15_s2,17,0.15,2,t20_29,0.41818037207516284,0.16960668987826846,0.029183990014020125,0.041176470588235294,0.9919732407496031
N17_K+0.15_s2,17,0.15,2,t30_39,0.4217795484590166,0.16907940803740565,0.0118608268855464,0.047058823529411764,0.9957374358580754
N17_K+0.15_s3,17,0.15,3,t0_9,0.4103595755256277,0.2565350269403354,0.007030354656552105,0.0,0.5515475218532433
N17_K+0.15_s3,17,0.15,3,t10_19,0.6840677259547369,0.4250710040856187,0.09234238935656736,0.0058823529411764705,0.8470319134251282
N17_K+0.15_s3,17,0.15,3,t20_29,0.38272235468200816,0.16070745505630868,0.011936804913688584,0.03529411764705882,0.9943152768738367
N17_K+0.15_s3,17,0.15,3,t30_39,0.4396550506641355,0.17038875098892098,0.011850096222163745,0.052941176470588235,0.9961287883850879
