run_id,n_agents,coupling,seed_index,n_agent_steps,mean_R,R_p50,R_p90,R_p99,Q_risk,q_peer_reject,teacher_log_loss,teacher_brier,pred_stay_frac,obs_stay_frac,pred_mean_action,obs_mean_action,mean_r1_run
N17_K+0.08_s0,17,0.08,0,1700,0.11781783831840197,0.11603998872797015,0.13103047899153106,0.13836336579437172,0.0,0.0,0.49229603903194263,0.24333882646199703,0.13571407973437852,0.029411764705882353,-0.049106774022203106,-0.042352941176470586,0.9988847527762105
N17_K+0.08_s1,17,0.08,1,1700,0.11895936527264807,0.11654270385706136,0.1316886282192607,0.13936394044756817,0.0,0.0,0.5966204185129439,0.31581788591778076,0.13192173987811728,0.019411764705882354,-0.002030519931146858,-0.06764705882352941,0.9984584830449477
N17_K+0.08_s2,17,0.08,2,1700,0.11801226868656507,0.11581700819359028,0.13258957182401526,0.14232901481319707,0.0,0.0,0.49309099960013897,0.24134648189471242,0.1378206974839815,0.031176470588235295,-0.04779445842655609,0.006470588235294118,0.9985248747761701
N17_K+0.08_s3,17,0.08,3,1700,0.11797519263753878,0.11620939113220896,0.1316524731685933,0.1363409071360584,0.0,0.0,0.5364611615325121,0.27842775586150204,0.13834313286982178,0.02235294117647059,-0.013256813097721393,-0.13176470588235295,0.9980949704155407
N17_K+0.1_s0,17,0.1,0,1700,0.11676319646276508,0.11495622241957201,0.1313377267646869,0.13906347974148192,0.0,0.0,0.48728735593410777,0.23654259146310064,0.1384550344465332,0.03411764705882353,-0.057183972564587904,-0.021176470588235293,0.9982727952266864
N17_K+0.1_s1,17,0.1,1,1700,0.11680178218708402,0.11495622241957201,0.1321756002433332,0.1399967448494977,0.0,0.0,0.498010611662283,0.24255183472541778,0.1377102977720539,0.03705882352941176,-0.07612830499893228,0.017058823529411765,0.9976788580695428
N17_K+0.1_s2,17,0.1,2,1700,0.11577486517552696,0.11495622241957201,0.12624616699389474,0.13787815869135553,0.0,0.0,0.4936445784077189,0.2419869293042724,0.13776494637171727,0.03470588235294118,-0.08090842627292585,0.01588235294117647,0.9988511230458406
N17_K+0.1_s3,17,0.1,3,1700,0.11818229402259078,0.11653085410380798,0.1299468733715508,0.1366788019777424,0.0,0.0,0.5166150985154293,0.2632113509099047,0.13383930422980242,0.025294117647058825,-0.07034939603488703,-0.018235294117647058,0.9982972929376674
N17_K+0.12_s0,17,0.12,0,1700,0.11528876968454771,0.11495622241957196,0.12640480654672243,0.13880119204667987,0.0,0.0,0.4854717486054254,0.2349997031243974,0.13798009650388499,0.03529411764705882,-0.08576205703978805,-0.004705882352941176,0.9972456439902788
N17_K+0.12_s1,17,0.12,1,1700,0.11636409656431711,0.1150097105399546,0.12800780647198856,0.13603482032449704,0.0,0.0,0.5068451722284045,0.25340357884874004,0.13578222911350704,0.03058823529411765,-0.059015342151797275,-0.011764705882352941,0.9975681930290182
N17_K+0.12_s2,17,0.12,2,1700,0.11630996670057132,0.11495622241957201,0.12998761288555638,0.13564688401384664,0.0,0.0,0.5018981106714285,0.2472975496137048,0.13831775585154965,0.03411764705882353,-0.057767059924978686,-0.06,0.9973724286893942
N17_K+0.12_s3,17,0.12,3,1700,0.11541087959690624,0.11495622241957196,0.12729896530217133,0.1367748064133405,0.0,0.0,0.5003567668725786,0.24725522927439011,0.13940648265503666,0.03294117647058824,-0.0745922280822133,-0.06823529411764706,0.9985987472767838
N17_K+0.15_s0,17,0.15,0,1700,0.11398775724296142,0.11295177764662212,0.12457544229548252,0.13537566512924867,0.0,0.0,0.4891076398813513,0.23825228090842507,0.1384323094445194,0.03588235294117647,-0.06839102949635865,-0.03,0.9958835222093487
N17_K+0.15_s1,17,0.15,1,1700,0.11327784052008089,0.11295177764662212,0.11826437332119107,0.13259027386270517,0.0,0.0,0.49951593752390516,0.2446525058729494,0.13811335938271968,0.039411764705882354,-0.06639150685548632,-0.03705882352941176,0.9942374506652428
N17_K+0.15_s2,17,0.15,2,1700,0.11503706840158777,0.11295177764662215,0.1285410851330948,0.13766207532979743,0.0,0.0,0.4875340735552809,0.237314703795883,0.13710719424507845,0.03882352941176471,-0.07504262150281339,-0.024705882352941175,0.9965099555910115
N17_K+0.15_s3,17,0.15,3,1700,0.11382161874743504,0.11295177764662212,0.12242889914963308,0.13258383935740065,0.0,0.0,0.5014175714299083,0.24704757477481443,0.13708623552917873,0.03411764705882353,-0.07623572982452563,-0.04941176470588235,0.9955394529473633
