profile,harmonic,amplitude,real,imaginary
broad_kappa_2,0,0.017916666666666664,0.017916666666666664,0.0
broad_kappa_2,1,0.5740028099639012,-0.027083309032584185,0.28572066924438483
broad_kappa_2,2,0.11397363940862669,0.00042540273517419297,-0.05698523188094282
broad_kappa_2,3,0.11281029096281896,0.04327248871175761,-0.03618054943570893
broad_kappa_2,4,0.17037894730550834,-0.047880202550579024,-0.07046085881501035
broad_kappa_2,5,0.16984643999661897,-0.015842398238082096,0.08343243801392408
broad_kappa_2,6,0.004443826078593167,0.0012492559713607903,-0.0018374594069572232
broad_kappa_2,7,0.05950809348541704,-0.01966360134980005,-0.02233038467029677
broad_kappa_2,8,0.0981636954841815,0.042083333333333334,-0.025259074277046132
broad_kappa_2,9,0.11142379544170855,0.033405055532246555,-0.04458607195690659
broad_kappa_2,10,0.18076682823510903,0.0844991808366033,-0.032078808978644575
broad_kappa_2,11,0.1272054147413608,-0.035883282920505605,-0.05251375430996486
broad_kappa_2,12,0.11911275004054862,-0.05645833333333332,-0.018958333333333334
broad_kappa_2,13,0.0779720211324613,0.014853693817038612,-0.03604548237796128
broad_kappa_2,14,0.12462682505007266,-0.05951922030167291,0.01845057709656483
broad_kappa_2,15,0.026640307686668443,0.012049895756102096,0.005676839849525802
broad_kappa_2,16,0.05350882585559548,0.02229166666666666,-0.014794600647984161
broad_kappa_2,17,0.06238479278251942,0.028450949530262754,-0.012787066256804695
broad_kappa_2,18,0.06498163987538579,0.03041741069530588,-0.011420792740290545
broad_kappa_2,19,0.042097104191245426,-0.020831701288328706,-0.003013596979688453
broad_kappa_2,20,0.03489329581516469,-0.005661464116087649,0.01650252548167702
broad_kappa_2,21,0.033107284558391,-0.01372744000010627,-0.00925097096260988
broad_kappa_2,22,0.09225638205529044,-0.029572029936771223,0.03540204871051442
broad_kappa_2,23,0.14030197215549065,0.025999649481999287,-0.06515503874984031
broad_kappa_2,24,0.06833333333333333,0.06833333333333333,0.0
narrow_kappa_12,0,0.012083333333333323,0.012083333333333323,0.0
narrow_kappa_12,1,0.08069001715126499,0.03545063260912662,-0.01926064289115469
narrow_kappa_12,2,0.34792156470841296,0.052399786714861965,-0.16588133152806728
narrow_kappa_12,3,0.20937466573286637,0.09456983251488778,-0.044899715375416996
narrow_kappa_12,4,0.04435730987366919,-0.02137259526419165,-0.005924939365110009
narrow_kappa_12,5,0.12462048015084083,-0.027050473663378073,0.05613232484801798
narrow_kappa_12,6,0.0935604482252177,0.030005824573980773,0.0358892722085779
narrow_kappa_12,7,0.05588553968618906,-0.020909184281829835,-0.018536569239550053
narrow_kappa_12,8,0.03324728476799939,0.012916666666666675,0.010464473629061952
narrow_kappa_12,9,0.09997641190732871,0.03622725742630803,0.03444425284185991
narrow_kappa_12,10,0.058077964045836185,-0.025257567703481122,-0.014328913100142228
narrow_kappa_12,11,0.1704001819937327,0.045203928830683235,-0.07221952868957834
narrow_kappa_12,12,0.033998570231375556,-0.005625000000000002,-0.016041666666666655
narrow_kappa_12,13,0.0934821190175578,-0.044877044772291846,-0.013068186427692394
narrow_kappa_12,14,0.07480192996065647,-0.0317068905049027,0.0198369674085998
narrow_kappa_12,15,0.0348184053433067,0.01455044521853387,-0.009558497873889337
narrow_kappa_12,16,0.07357795374823749,0.027083333333333327,0.02489823035880261
narrow_kappa_12,17,0.09444676951993139,-0.04717545885355727,-0.0021270049703951467
narrow_kappa_12,18,0.1557193817777019,-0.03333915790731411,-0.07036072779142208
narrow_kappa_12,19,0.07163038988285533,-0.03564210603237318,-0.0035168830332458997
narrow_kappa_12,20,0.0981360940208045,-0.014877404735808345,0.04675827269844335
narrow_kappa_12,21,0.02500956605119573,-0.0078475351597297,-0.009735799424499595
narrow_kappa_12,22,0.06439557058241314,0.024148004826855175,-0.02129721203680936
narrow_kappa_12,23,0.2416373244197211,-0.015000293836379632,-0.11988386181218327
narrow_kappa_12,24,0.014166666666666668,0.014166666666666668,0.0
