profile,offset_radians,p_retard,p_stay,p_advance,g,activity
narrow_kappa_12,-0.2617993877991496,0.16,0.78,0.06,-0.1,0.22
narrow_kappa_12,-0.130899693899575,0.18,0.79,0.03,-0.15,0.21
narrow_kappa_12,0.0,0.0,1.0,0.0,0.0,0.0
narrow_kappa_12,0.130899693899575,0.39,0.58,0.03,-0.36,0.42000000000000004
narrow_kappa_12,0.2617993877991496,0.05,0.6,0.35,0.3,0.39999999999999997
narrow_kappa_12,0.39269908169872414,0.3,0.22,0.48,0.18,0.78
narrow_kappa_12,0.5235987755982987,0.36,0.17,0.47,0.11,0.83
narrow_kappa_12,0.6544984694978737,0.48,0.27,0.25,-0.23,0.73
narrow_kappa_12,0.7853981633974478,0.1,0.0,0.9,0.8,1.0
narrow_kappa_12,0.9162978572970228,0.33,0.01,0.66,0.33,0.99
narrow_kappa_12,1.0471975511965974,0.18,0.0,0.82,0.64,1.0
narrow_kappa_12,1.1780972450961729,0.44,0.0,0.56,0.12,1.0
narrow_kappa_12,1.3089969389957474,0.64,0.02,0.34,-0.3,0.98
narrow_kappa_12,1.439896632895322,0.38,0.0,0.62,0.24,1.0
narrow_kappa_12,1.5707963267948966,0.19,0.0,0.81,0.62,1.0
narrow_kappa_12,1.7016960206944711,0.82,0.0,0.18,-0.64,1.0
narrow_kappa_12,1.8325957145940457,0.53,0.0,0.47,-0.06,1.0
narrow_kappa_12,1.9634954084936203,0.88,0.0,0.12,-0.76,1.0
narrow_kappa_12,2.0943951023931957,0.69,0.0,0.31,-0.38,1.0
narrow_kappa_12,2.2252947962927694,0.83,0.0,0.17,-0.66,1.0
narrow_kappa_12,2.356194490192345,0.7,0.0,0.3,-0.4,1.0
narrow_kappa_12,2.4870941840919194,0.85,0.0,0.15,-0.7,1.0
narrow_kappa_12,2.617993877991494,0.44,0.0,0.56,0.12,1.0
narrow_kappa_12,2.7488935718910694,0.61,0.0,0.39,-0.22,1.0
narrow_kappa_12,2.879793265790643,0.34,0.0,0.66,0.32,1.0
narrow_kappa_12,3.0106929596902186,0.37,0.0,0.63,0.26,1.0
