run_id,n_agents,coupling,seed_index,init_seed,final_r1,final_r2,final_r3,mean_r1,mean_r2,mean_r3,t_r1_gt_0.5,t_r1_gt_0.9,early_growth_r1,mean_activity,mean_p_stay_emp,mean_tau_social,omega_coll,mean_omega,omega_coll_predicted,engine_residual,representation,protocol_version,match_group,final_Q2,mean_Q2,final_Q2_given_r1,mean_Q2_given_r1,t_r1_gt_0.5_first_passage,t_r1_gt_0.9_first_passage,t_r1_gt_0.9_sustained,locking,sustained_lock,cluster_phenotype
N17_K-0.15_s0,17,-0.15,0,2026089570,0.036478821345087134,0.20381928461948368,0.16372060332250668,0.0355031377272927,0.0987505921065051,0.19842297987617274,nan,nan,-0.2105336795595184,0.9935294117647059,0.006470588235294118,-0.3264705882352941,0.04897058823529415,8.163404592832033e-19,0.04897058823529412,2.7755575615628914e-17,moments_m1_m3,matched-rep-collective-v0.1-moments,matched_rep_collective_v0_1,0.16734046327439656,0.06324745437921239,0.2024885802127569,0.09749011931802198,nan,nan,nan,0,0,low_polar_active
N17_K-0.15_s1,17,-0.15,1,2026089580,0.032259598848754456,0.05820318373257733,0.1442177442937129,0.035262500981353355,0.13015277487903365,0.17245221746948544,nan,nan,-0.22193818350345723,0.9911764705882353,0.008823529411764706,-0.33705882352941174,0.05055882352941179,8.163404592832033e-19,0.05055882352941176,2.7755575615628914e-17,moments_m1_m3,matched-rep-collective-v0.1-moments,matched_rep_collective_v0_1,0.025943584883822875,0.09489027389768029,0.05716250201469477,0.1289093309035737,nan,nan,nan,0,0,low_polar_active
N17_K-0.15_s2,17,-0.15,2,2026089590,0.009093285008110725,0.05295105806940315,0.223650626013522,0.03540030341532553,0.08131955450376557,0.15899679257220437,nan,nan,-0.12074745064875408,0.9935294117647059,0.006470588235294118,-0.3347058823529412,0.050205882352941184,8.163404592832033e-19,0.05020588235294118,6.938893903907228e-18,moments_m1_m3,matched-rep-collective-v0.1-moments,matched_rep_collective_v0_1,0.043857773061292425,0.04591925108844004,0.05286837023716442,0.08006637302186846,nan,nan,nan,0,0,low_polar_active
N17_K-0.15_s3,17,-0.15,3,2026089600,0.038010270216559,0.12086324083179263,0.15030865088679998,0.03430744715741021,0.10475777225294106,0.15182756571421469,nan,nan,-0.2594081556255161,0.9952941176470588,0.004705882352941176,-0.37411764705882355,0.056117647058823515,8.163404592832033e-19,0.05611764705882353,-1.3877787807814457e-17,moments_m1_m3,matched-rep-collective-v0.1-moments,matched_rep_collective_v0_1,0.08285297061523364,0.07045032509553084,0.1194184601898568,0.10358077132248256,nan,nan,nan,0,0,low_polar_active
N17_K-0.15_s4,17,-0.15,4,2026089610,0.0390724423990008,0.16260083266476774,0.23086131149792405,0.040055953108404,0.12182202558069748,0.21304357155900866,nan,nan,-0.33039361748296353,0.991764705882353,0.00823529411764706,-0.30117647058823527,0.04517647058823531,8.163404592832033e-19,0.04517647058823529,2.0816681711721685e-17,moments_m1_m3,matched-rep-collective-v0.1-moments,matched_rep_collective_v0_1,0.12352839026576695,0.08176607247229348,0.16107417690974452,0.12021754620127481,nan,nan,nan,0,0,low_polar_active
N17_K-0.15_s5,17,-0.15,5,2026089620,0.023204874671687904,0.06280104721845343,0.021935775989637248,0.03395506113888438,0.11803867786573,0.15401624966660532,nan,nan,-0.08173524722690594,0.9905882352941177,0.009411764705882352,-0.3376470588235294,0.05064705882352939,8.163404592832033e-19,0.05064705882352941,-2.0816681711721685e-17,moments_m1_m3,matched-rep-collective-v0.1-moments,matched_rep_collective_v0_1,0.039596172546765535,0.08408361672684561,0.06226258100992469,0.11688573168878462,nan,nan,nan,0,0,low_polar_active
N17_K+0_s0,17,0.0,0,2026089420,0.34045710390617334,0.3051331451711161,0.27091310513713956,0.3104252282696228,0.21755246038062664,0.19623976748937125,nan,nan,0.02487552844278232,1.0,0.0,0.14705882352941177,7.34706413354883e-18,8.163404592832033e-19,8.163404592832033e-19,6.530723674265627e-18,moments_m1_m3,matched-rep-collective-v0.1-moments,matched_rep_collective_v0_1,-0.035323958735057226,-0.09287276788899618,0.18922210557093722,0.12118863803437921,nan,nan,nan,0,0,low_polar_active
N17_K+0_s1,17,0.0,1,2026089430,0.276576368782621,0.40753604980876523,0.31563055230295,0.12172592537628434,0.20793069622034768,0.24053975364952962,nan,nan,0.02066800098759493,0.9970588235294118,0.0029411764705882353,-0.05941176470588235,6.530723674265627e-18,8.163404592832033e-19,8.163404592832033e-19,5.714383214982423e-18,moments_m1_m3,matched-rep-collective-v0.1-moments,matched_rep_collective_v0_1,0.13095968102614425,0.08620477084406335,0.33104156203978485,0.19311349531163494,nan,nan,nan,0,0,low_polar_active
N17_K+0_s2,17,0.0,2,2026089440,0.20216605824044534,0.13365084096565613,0.27926292378058604,0.2706309941090106,0.19411747046939998,0.21739605776608797,nan,nan,0.008151929307576938,1.0,0.0,0.1011764705882353,-2.693923515634571e-17,8.163404592832033e-19,8.163404592832033e-19,-2.7755575615628914e-17,moments_m1_m3,matched-rep-collective-v0.1-moments,matched_rep_collective_v0_1,-0.06851521727478921,-0.07651352363961061,0.092779725861177,0.12087633549696865,nan,nan,nan,0,0,low_polar_active
N17_K+0_s3,17,0.0,3,2026089450,0.13520809885800777,0.2644237744919401,0.13576354442974456,0.3385709747670902,0.20640588154466655,0.16756706413084174,18.0,nan,0.017194582612444647,0.9994117647058823,0.000588235294117647,0.061764705882352944,1.9184000793155278e-17,8.163404592832033e-19,8.163404592832033e-19,1.8367660333872075e-17,moments_m1_m3,matched-rep-collective-v0.1-moments,matched_rep_collective_v0_1,0.12921567563393233,-0.13216509322242365,0.2461425444951433,0.09177557658992892,18.0,nan,nan,0,0,low_polar_active
