seed_index,coupling,n_agents,init_seed,run_id,contrast,contrast_role,phenotype_ref,phenotype_other,delta_final_r1,delta_mean_r1,delta_final_r2,delta_mean_r2,delta_final_r3,delta_mean_r3,delta_final_Q2,delta_mean_Q2,delta_final_Q2_given_r1,delta_mean_Q2_given_r1,delta_mean_activity,delta_mean_tau_social,delta_t_r1_gt_0.5_first_passage,delta_t_r1_gt_0.9_first_passage,delta_t_r1_gt_0.9_sustained,delta_omega_coll,delta_locking,delta_sustained_lock
0,-0.15,17,2026089570,N17_K-0.15_s0,centers_24_standard__minus__moments_m1_m3,primary_vs_moments,low_polar_active,low_polar_active,0.03712002903995877,0.02370927117018804,-0.07182171171025048,0.024798632982231464,0.07936792618446045,-0.02064906375843359,-0.10894174075020926,0.0010893618120434156,-0.07590779808152406,0.022552996403272116,-0.11529411764705877,0.2788235294117647,nan,nan,nan,-0.041823529411764745,0.0,0.0
0,-0.15,17,2026089570,N17_K-0.15_s0,intervals_24_decimal6__minus__moments_m1_m3,primary_vs_moments,low_polar_active,low_polar_active,0.17671403925326473,0.06575849885136635,-0.08042651846937394,-0.005095797081232076,0.014459716681598622,-0.026898826189645425,-0.2571405577226387,-0.07085429593259843,-0.12454700987275547,-0.014089243335337384,-0.1723529411764706,0.4111764705882353,nan,nan,nan,-0.06167647058823535,0.0,0.0
0,-0.15,17,2026089570,N17_K-0.15_s0,intervals_24_decimal6__minus__centers_24_standard,secondary_intervals_vs_centers,low_polar_active,low_polar_active,0.13959401021330597,0.04204922768117831,-0.008604806759123465,-0.02989443006346354,-0.06490820950286183,-0.006249762431211836,-0.14819881697242943,-0.07194365774464184,-0.0486392117912314,-0.0366422397386095,-0.05705882352941183,0.1323529411764706,nan,nan,nan,-0.019852941176470608,0.0,0.0
0,0.0,17,2026089420,N17_K+0_s0,centers_24_standard__minus__moments_m1_m3,primary_vs_moments,low_polar_active,low_polar_active,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02941176470588236,-0.0811764705882353,nan,nan,nan,0.0,0.0,0.0
0,0.0,17,2026089420,N17_K+0_s0,intervals_24_decimal6__minus__moments_m1_m3,primary_vs_moments,low_polar_active,low_polar_active,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07058823529411762,-0.03764705882352942,nan,nan,nan,0.0,0.0,0.0
0,0.0,17,2026089420,N17_K+0_s0,intervals_24_decimal6__minus__centers_24_standard,secondary_intervals_vs_centers,low_polar_active,low_polar_active,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04117647058823526,0.04352941176470587,nan,nan,nan,0.0,0.0,0.0
0,0.08,17,2026089500,N17_K+0.08_s0,centers_24_standard__minus__moments_m1_m3,primary_vs_moments,polar_locked,partial_polar_order,-0.2759001775575822,-0.21026409252012257,-0.3184134923573232,-0.2977632072341134,-0.5356013989201818,-0.34805018940032717,-0.042513314799740964,-0.08749911471399086,0.15630094835082076,0.028311716471767723,0.007058823529411784,0.18,5.0,nan,nan,0.014399999999999991,-1.0,-1.0
0,0.08,17,2026089500,N17_K+0.08_s0,intervals_24_decimal6__minus__moments_m1_m3,primary_vs_moments,polar_locked,partial_polar_order,-0.41981494989652246,-0.41094815420034014,-0.6029613232813482,-0.3655541348067719,-0.6233280653451373,-0.4071160963063534,-0.1831463733848258,0.04539401939356824,0.05895561224329782,0.1892683759257333,-0.009411764705882342,0.32235294117647056,48.0,nan,nan,0.025788235294117633,-1.0,-1.0
0,0.08,17,2026089500,N17_K+0.08_s0,intervals_24_decimal6__minus__centers_24_standard,secondary_intervals_vs_centers,partial_polar_order,partial_polar_order,-0.14391477233894023,-0.20068406168021757,-0.2845478309240251,-0.06779092757265848,-0.08772666642495552,-0.059065906906026255,-0.14063305858508485,0.1328931341075591,-0.09734533610752294,0.1609566594539656,-0.016470588235294126,0.14235294117647057,43.0,nan,nan,0.01138823529411764,0.0,0.0
0,0.15,17,2026089570,N17_K+0.15_s0,centers_24_standard__minus__moments_m1_m3,primary_vs_moments,polar_locked,partial_polar_order,-0.19366196126832047,-0.15122712613918343,-0.24882536251941034,-0.26573618298752977,-0.5173507501314052,-0.32251577818740307,-0.05516340125108987,-0.11450905684834634,0.09878063037229035,-0.009837521989472853,0.015294117647058902,0.24,1.0,64.0,nan,0.03600000000000001,-1.0,-1.0
0,0.15,17,2026089570,N17_K+0.15_s0,intervals_24_decimal6__minus__moments_m1_m3,primary_vs_moments,polar_locked,high_r2_nonpolar,-0.27800114904028983,-0.15845915696850954,-0.16047066811938726,-0.2524347932334412,-0.49897902448159015,-0.3277286662139829,0.11753048092090257,-0.09397563626493166,0.31507027315307756,0.014555551897101893,-0.0005882352941175562,0.36058823529411765,7.0,11.0,nan,0.054088235294117666,-1.0,-1.0
0,0.15,17,2026089570,N17_K+0.15_s0,intervals_24_decimal6__minus__centers_24_standard,secondary_intervals_vs_centers,partial_polar_order,high_r2_nonpolar,-0.08433918777196936,-0.007232030829326108,0.08835469440002308,0.013301389754088566,0.01837172564981504,-0.0052128880265798205,0.17269388217199244,0.020533420583414674,0.21628964278078722,0.024393073886574745,-0.01588235294117646,0.12058823529411766,6.0,-53.0,nan,0.018088235294117655,0.0,0.0
