run_id,n_agents,coupling,seed_index,init_seed,final_r1,final_r2,final_r3,mean_r1,mean_r2,mean_r3,t_r1_gt_0.5,t_r1_gt_0.9,early_growth_r1,mean_activity,mean_p_stay_emp,mean_tau_social,omega_coll,mean_omega,omega_coll_predicted,engine_residual,representation,protocol_version,match_group,cluster_phenotype,locking
N17_K+0.08_s0,17,0.08,0,2026089500,0.22599507070257474,0.09724783489780282,0.03908009647784982,0.21783890227759897,0.09160770915978166,0.07249087871646816,nan,nan,0.02381308860239492,0.803921568627451,0.19607843137254902,-0.17647058823529413,-0.01411764705882353,8.163404592832033e-19,-0.01411764705882353,0.0,moments_m1_m3,matched-rep-collective-v0.1-moments-smoke,matched_rep_collective_v0_1,partial_or_disordered,0
N17_K+0.08_s0,17,0.08,0,2026089500,0.28011244464333523,0.10694089485789919,0.0846241841085886,0.25618966123842585,0.08971155818203815,0.09111476032927239,nan,nan,0.1046729690398034,0.9411764705882353,0.058823529411764705,0.1568627450980392,0.012549019607843161,8.163404592832033e-19,0.012549019607843137,2.42861286636753e-17,centers_24_standard,matched-rep-collective-v0.1-centers-smoke,matched_rep_collective_v0_1,partial_or_disordered,0
N17_K+0.08_s0,17,0.08,0,2026089500,0.2521745700557023,0.06397212626340983,0.03467865389497449,0.23857686251917465,0.07526141725657949,0.06251383313740441,nan,nan,0.07147429154790345,0.8431372549019608,0.1568627450980392,-0.13725490196078433,-0.010980392156862738,8.163404592832033e-19,-0.010980392156862747,8.673617379884035e-18,intervals_24_decimal6,matched-rep-collective-v0.1-intervals-smoke,matched_rep_collective_v0_1,partial_or_disordered,0
