block,representation,profile,concentration,a0,a1,b1,R1,phi1,phi1_degrees,phi1_reportable,phi1_raw_degrees,a2,b2,R2,phi2,phi2_degrees,phi2_reportable,phi2_raw_degrees,activity,mean_stay,mean_entropy,entropy_units,entropy_normalized_by_log3,no_stay_directional_controller,hard_directional_controller,a0_fourier_range,a0_unweighted_mean_g,a0_density_weighted_mean_g,a0_mirror_even_mean_g,g_prime0_M6_diagnostic,g_prime0_order_range_diagnostic,g_prime0_sign_flip_diagnostic,n_fixed_points_diagnostic
block_1,intervals_24_decimal6,unimodal_k9,9.0,0.1736860807791402,-0.07682177000564942,0.027698358301401865,0.08166261935178014,nan,nan,0,160.1730537053327,0.45353649944501634,0.11110738308828909,0.4669477560772373,0.24024842903969829,13.765221018622958,1,13.765221018622958,0.9675925925925927,0.03240740740740741,0.540960193966117,nats,0,0,0,0.025087628155626013,0.1712962962962963,0.1606173263613217,0.1712962962962963,1.3192513183612302,3.3408930160866546,1,12
block_1,intervals_24_decimal6,bimodal_equal_sep2_k6,6.0,-0.1499372567330582,0.1967737931078995,-0.09126083766933808,0.21690658391616358,-0.43425865122949026,-24.88118793249339,1,-24.88118793249339,-0.24187858239525034,0.07752761477575536,0.2539995662877278,2.831415489452687,162.22815759360722,1,162.22815759360722,0.9722222222222222,0.027777777777777776,0.5046214532394238,nats,0,0,0,0.007808641284446249,-0.1481481481481481,-0.14843917363191855,-0.1481481481481481,-1.8971586966185099,1.9898504019784045,0,11
block_1,intervals_24_decimal6,antipodal_equal_k6,6.0,0.17790554694081534,-0.0842715397989125,-0.058906269509990644,0.1028184857292858,nan,nan,0,-145.04623985851768,0.21908569316577162,-0.048647503734640773,0.22442174709581628,-0.21850275848517087,-12.519285873166627,1,-12.519285873166627,0.5625000000000001,0.4375,0.7668562858359902,nats,0,0,0,0.011681929342539393,0.1689814814814815,0.17279121169734246,0.1689814814814815,0.15090996536809895,1.2517214691576772,1,13
block_1,intervals_24_decimal6,asymmetric_w075_sep2_k6,6.0,-0.0031129809016228753,0.263555245128729,-0.23488314969388943,0.3530318133610433,-0.7279376364484603,-41.70775431722526,1,-41.70775431722526,-0.1829477848460907,-0.16607348460621535,0.24708357749826745,-2.404504356521891,-137.76795144952416,1,-137.76795144952416,0.9907407407407407,0.009259259259259259,0.5252997177463201,nats,0,0,0,0.01373053748887222,-0.009259259259259264,-0.00597288162095489,-0.009259259259259262,-0.6061118762764597,2.3840075247070462,0,14
block_1,intervals_24_decimal6,sparse_N8_unimodal_k6,6.0,0.3117569965912851,0.1674223876803973,0.04730664575750156,0.17397751184975313,0.2753797694350693,15.778098551915178,1,15.778098551915178,0.08434284771563935,-0.3375159307916635,0.34789469599139694,-1.3259184300278295,-75.96953001920679,1,-75.96953001920679,0.8912037037037036,0.1087962962962963,0.4835152950785811,nats,0,0,0,0.011120345979834079,0.3125,0.311633233188943,0.31249999999999994,0.5499778095145249,3.1284235974103423,0,13
block_1,intervals_24_decimal6,sparse_N16_antipodal_k6,6.0,0.023874003908218578,0.03336821261106546,-0.0025586944874166884,0.03346616993827057,nan,nan,0,-4.384893787176221,0.019678987958738695,-0.0618543332601157,0.06490932991591916,nan,nan,0,-72.35150446974788,0.6458333333333334,0.35416666666666663,0.7689784240332724,nats,0,0,0,0.009106815776883251,0.020833333333333332,0.018788760113722398,0.02083333333333333,0.8452815154387808,1.7675338673491148,1,22
block_1,moments_m1_m3,unimodal_k9,9.0,-0.012193106331036528,0.9219016062735006,-0.048583199503228015,0.923180859270615,-0.05265019531462428,-3.016633982067433,1,-3.016633982067433,0.44525784223411635,0.13180515899572096,0.4643567012640913,0.28780129115517183,16.489799321607133,1,16.489799321607133,1.0,0.0,0.1864111543632308,nats,0,1,1,0.019281959590225214,0.004629629629629636,-0.009280462961072293,0.004629629629629638,4.172907086247956,4.776218608896719,0,5
block_1,moments_m1_m3,bimodal_equal_sep2_k6,6.0,0.06069794866954388,1.1518605208938724,0.01813292364697171,1.152003238933767,0.015740990894315864,0.9018923435981583,1,0.9018923435981583,0.09975950716024302,0.004447568973403818,0.09985860072436306,nan,nan,0,2.5527220934732275,1.0,0.0,0.15544673764244732,nats,0,1,1,0.006052014601010604,0.055555555555555546,0.05900498298770893,0.05555555555555555,3.569772471096653,5.3195099089424245,0,2
block_1,moments_m1_m3,antipodal_equal_k6,6.0,0.020854904407540956,-0.01979200785698024,-0.01393354212402658,0.02420469316336794,nan,nan,0,-144.85451529187375,0.1111575759949266,0.048991053502457485,0.12147481230423257,nan,nan,0,23.78477507316624,0.08101851851851853,0.9189814814814814,0.1441785247875954,nats,0,0,0,0.006588472522672056,0.025462962962962965,0.022705954753106782,0.025462962962962965,0.4052684239539546,0.6238097172897805,0,26
block_1,moments_m1_m3,asymmetric_w075_sep2_k6,6.0,0.01350050233542702,0.7491804397795939,-0.6628068217190453,1.0002920644819933,-0.7243026239861939,-41.49948344465994,1,-41.49948344465994,0.12410367189131051,-0.426097951364594,0.44380309320013756,-1.2873805416068518,-73.76147166133869,1,-73.76147166133869,1.0,0.0,0.16767351575934264,nats,0,1,1,0.01795472773424675,0.009259259259259262,0.018886151350916616,0.009259259259259276,-0.7024460509109127,1.9870737895698511,1,7
