block,representation,profile,concentration,harmonic,center_a,center_b,cov_aa,cov_ab,cov_bb,axis_major,axis_minor,angle_radians,angle_degrees,contains_origin,note
block_1,intervals_24_decimal6,unimodal_k9,9.0,1,-0.062469568150288375,0.016889200042391573,0.0035511583643915534,-0.00038300563406805046,0.0038630933270277705,0.1571268631954497,0.14047553173002297,2.162837083023866,123.92143663165356,1,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,intervals_24_decimal6,unimodal_k9,9.0,2,0.40654055527169264,0.09631660104646976,0.004080040514870146,-0.00010423985410076876,0.002729485360806341,0.15650347880213172,0.1276937507850748,3.065014128033082,175.61237368426575,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,intervals_24_decimal6,bimodal_equal_sep2_k6,6.0,1,0.1767083241504981,-0.08466003838977372,0.0029725620723443534,-0.00023690426280689183,0.0029995277571494058,0.13896935861143084,0.12833192063038537,2.327768844143225,133.3713304514527,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,intervals_24_decimal6,bimodal_equal_sep2_k6,6.0,2,-0.21346777736125122,0.061481195993851684,0.003308569256427007,-0.00010257784398490436,0.0027928849710794684,0.14121238946083767,0.1289019307561677,2.9522746647815103,169.15287825538044,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,intervals_24_decimal6,antipodal_equal_k6,6.0,1,-0.07191620123062892,-0.05633292502350713,0.0022071157833157507,8.444038847689915e-05,0.0024091955701349504,0.12090566670547254,0.1141940697721082,1.2227257082801393,70.05702258659628,1,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,intervals_24_decimal6,antipodal_equal_k6,6.0,2,0.19175497374352457,-0.04333768979908397,0.002574236888198277,-0.0004133135402330497,0.0019007882453372196,0.12884143519547006,0.10105364422803648,2.6980130287703648,154.58475961985025,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,intervals_24_decimal6,asymmetric_w075_sep2_k6,6.0,1,0.23197971764647204,-0.2087162199916737,0.002552025272263918,0.0005352606824228112,0.003538114343182593,0.15034833162533862,0.11783138279067594,1.1575817149783862,66.32454670977732,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,intervals_24_decimal6,asymmetric_w075_sep2_k6,6.0,2,-0.17309500733837654,-0.13979524182221867,0.0038050193296456166,-0.00028275571765932887,0.0032230866099067965,0.15324883890072385,0.13646772858711795,2.756048675433371,157.909957234953,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,intervals_24_decimal6,sparse_N8_unimodal_k6,6.0,1,0.14916053598535836,0.03770708688514497,0.0031267343917500906,-0.0005174731978874868,0.0029461347896834805,0.14608204410398623,0.12265976027281694,2.442575414219644,139.94926237720446,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,intervals_24_decimal6,sparse_N8_unimodal_k6,6.0,2,0.07754098679817989,-0.3001474858948486,0.004391814023988229,0.00011763903916324204,0.002501487140653062,0.16234867575832027,0.12224515131491405,-3.0796789378095872,-176.45260539182166,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,intervals_24_decimal6,sparse_N16_antipodal_k6,6.0,1,0.03297994817531447,-0.009764711800666221,0.002974033509255919,3.775708855125763e-05,0.0030643064437110346,0.13580068473908813,0.13317910412666834,1.2224913899385597,70.04359713456125,1,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,intervals_24_decimal6,sparse_N16_antipodal_k6,6.0,2,0.014774408975335758,-0.05232239478611107,0.003389554888446165,0.0005111108517790849,0.0024102525026425898,0.14702203417948206,0.11460306204238309,-2.7381735557121845,-156.88578831663796,1,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,moments_m1_m3,unimodal_k9,9.0,1,0.8209195005672015,-0.04045910371826869,0.0014005351523731127,-6.460871133065737e-05,0.0014669101484056299,0.09500148614162741,0.09030456517402313,2.1189329961846486,121.40591775239054,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,moments_m1_m3,unimodal_k9,9.0,2,0.39051448553356466,0.11609728280757883,0.001980541259203058,-0.0002877305455885598,0.001594133499986026,0.11307201643575976,0.09290993588564372,2.651856537161109,151.94018745350888,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,moments_m1_m3,bimodal_equal_sep2_k6,6.0,1,1.024582117349008,0.019246448232296667,0.0010805323893165065,4.186836233826377e-05,0.0019035013731775337,0.10685265654920986,0.08038185295035737,1.5200960370143983,87.0950873754872,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,moments_m1_m3,bimodal_equal_sep2_k6,6.0,2,0.08842539108327592,0.004002319870289359,0.0016749879341199753,-0.00017598495558960835,0.0010960423958817566,0.10164149794797915,0.07919302921379667,2.8684703758772163,164.35124619606935,1,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,moments_m1_m3,antipodal_equal_k6,6.0,1,-0.01860709263913696,-0.010326047121066025,0.00048224634453415514,4.052732143550397e-05,0.0006464297324225292,0.06268758606751068,0.053223014319778376,1.3415054679455063,76.86260150700005,1,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,moments_m1_m3,antipodal_equal_k6,6.0,2,0.10241763734934418,0.04207314757272415,0.000652865213586388,4.331661730062636e-05,0.0004836151325589741,0.06304110698208935,0.05324472305203312,-2.905045309699118,-166.4468355400346,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,moments_m1_m3,asymmetric_w075_sep2_k6,6.0,1,0.6697585602837499,-0.5883262996232588,0.0012344965685718062,0.00022786811328993754,0.0016465455263940652,0.10232981183307777,0.08240310176759501,1.1529467713976773,66.05898400432145,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,moments_m1_m3,asymmetric_w075_sep2_k6,6.0,2,0.10979712760387603,-0.3827916014172278,0.0014230349975817283,0.00014327303211081,0.001731546574747678,0.10349711331706711,0.09049260293861568,1.1965454952455266,68.55700687295958,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,moments_m1_m3,sparse_N8_unimodal_k6,6.0,1,0.8496177398550759,-0.21616161575804343,0.0010539686640983557,0.00012959067766260906,0.0021146878214550104,0.11297593249603403,0.07887541867913174,1.450971722004345,83.13455586367833,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,moments_m1_m3,sparse_N8_unimodal_k6,6.0,2,0.45539187898786504,0.130225947825768,0.001803094056970097,-0.00011134315150469693,0.001307531340532239,0.10462396071401524,0.08769850986750637,2.9304316644157185,167.90136652251786,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,moments_m1_m3,sparse_N16_antipodal_k6,6.0,1,0.00420956450920834,-0.025289975691903013,0.0004896756145649246,-6.178152868624509e-05,0.0006458206116797763,0.06323096765321565,0.05296347904507429,1.9055139512359247,109.17790720911584,1,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,moments_m1_m3,sparse_N16_antipodal_k6,6.0,2,0.05859870093211098,0.014459746635741155,0.0005061203776641318,-4.534501637008375e-06,0.000347737535400501,0.05507430881600892,0.0456363881440374,3.1129938765480296,178.36141077627133,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,centers_24_standard,unimodal_k9,9.0,1,-0.06650816450157096,0.10599120189095002,0.0030222232858109844,-0.00031901693863818826,0.0027804730051398732,0.13938187255499837,0.12385210013531958,2.5372867008408915,145.37581937285577,1,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,centers_24_standard,unimodal_k9,9.0,2,-0.18989998313251966,-0.025482577447171847,0.0033090398385401468,-0.0002514459758695858,0.002872141015236998,0.14322299538295238,0.12853598538231695,2.713840569001015,155.49161087514003,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,centers_24_standard,bimodal_equal_sep2_k6,6.0,1,0.6306956925622325,0.20660979980144906,0.0019775751446881613,1.127301664799521e-05,0.003805497952363417,0.15099974367069136,0.10884922988107901,1.5646295209618648,89.64666805269063,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,centers_24_standard,bimodal_equal_sep2_k6,6.0,2,-0.2830538929859447,0.07283314398433231,0.0035133843215735807,-0.0003359649610118263,0.0027174020049225635,0.14760194431422125,0.12468039705771052,2.7910481127549915,159.91527727881453,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,centers_24_standard,antipodal_equal_k6,6.0,1,0.04900028527581016,-0.03558170499583047,0.0009878375939536244,-0.000536381651153647,0.001937500046442641,0.11426095963072253,0.06686919967384936,1.9938918670483516,114.24158878733041,1,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,centers_24_standard,antipodal_equal_k6,6.0,2,0.04521010014215392,-0.018408517596699505,0.0016341157375993924,-0.00033412969396853873,0.0012877568424765294,0.10491897587650825,0.0806120616019494,2.595284622141915,148.6988554839363,1,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,centers_24_standard,asymmetric_w075_sep2_k6,6.0,1,0.5378308723923207,-0.3502692747452938,0.0016493565511711225,-0.0002159924564308953,0.0022179943639676456,0.11715308216188743,0.09719182701878581,1.8956313086815284,108.61167350031255,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,centers_24_standard,asymmetric_w075_sep2_k6,6.0,2,-0.10419875714728906,-0.08105386440924559,0.0034354721724543257,-0.0006874859768268503,0.002487248155099142,0.15081927558380967,0.11286857391385448,2.6580611471092173,152.29568541706038,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,centers_24_standard,sparse_N8_unimodal_k6,6.0,1,-0.5677958464897267,0.18292943867245057,0.001998587872299682,0.0003443612406810918,0.0021678862317186377,0.12085648595486617,0.10176930619450289,0.9059161814156895,51.90517378772683,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,centers_24_standard,sparse_N8_unimodal_k6,6.0,2,0.08317604433148212,-0.14609058000597008,0.002569322662719041,-0.00045450452651454154,0.0024850378302620716,0.1337024286416793,0.11138528752629856,2.4024231441726984,137.6487067656449,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,centers_24_standard,sparse_N16_antipodal_k6,6.0,1,0.012173574043390235,0.059122305555854286,0.001941670605682839,0.0004120432813784723,0.001957519485452709,0.11895431402939664,0.09597775975333585,0.7950130066072061,45.55088993659914,1,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,centers_24_standard,sparse_N16_antipodal_k6,6.0,2,0.12385169585634284,0.11721133931774677,0.0025360039617080784,0.00028819585722338655,0.00148124595982305,0.12504158502759602,0.09183579092876887,-2.891528844286362,-165.67239911794914,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
