run_id,n_agents,coupling,seed_index,n_agent_steps,mean_R,R_p50,R_p90,R_p99,Q_risk,q_peer_reject,teacher_log_loss,teacher_brier,pred_stay_frac,obs_stay_frac,pred_mean_action,obs_mean_action,mean_r1_run
N9_K-0.15_s0,9,-0.15,0,900,0.13259255234279632,0.1321244293143148,0.1441035426719911,0.15166766387370653,0.0,0.0,0.8704796423660175,0.5073416480321353,0.22602938280130622,0.0,-0.2040257567372512,-0.4777777777777778,0.045355170185673074
N9_K-0.15_s1,9,-0.15,1,900,0.1339847080488589,0.134098599583279,0.14489260831170162,0.15058300405173036,0.0,0.0,0.8789140776022024,0.5168037292030332,0.22546941250527747,0.0022222222222222222,-0.20117509973531023,-0.4222222222222222,0.03723346554743894
N9_K-0.15_s2,9,-0.15,2,900,0.13295430522250617,0.13236470733006325,0.1446513734619923,0.15140118908104255,0.0,0.0,0.8688929256420143,0.5066817712454439,0.22699284576518608,0.0,-0.2125164799722515,-0.42,0.027202036827738765
N9_K-0.15_s3,9,-0.15,3,900,0.13223578157618474,0.13159641989938595,0.14345060738116444,0.1513328579047339,0.0,0.0,0.8723435121355594,0.5081121995353315,0.22711749324206187,0.0011111111111111111,-0.22160538706800556,-0.46111111111111114,0.03554848749895111
N9_K+0_s0,9,0.0,0,900,0.12704566772180906,0.12660712835952187,0.13620316827594003,0.14324890717951178,0.0,0.0,0.7345162302494006,0.42451668642272594,0.1726386032207773,0.0,-0.16170494794506063,0.1,0.1620334474965275
N9_K+0_s1,9,0.0,1,900,0.13238190047835743,0.1320456056379235,0.14352298847311604,0.15122771562275855,0.0,0.0,0.8373979098943377,0.4965693425996283,0.19879731744512943,0.0022222222222222222,-0.13803397396716915,0.051111111111111114,0.1100712769032266
N9_K+0_s2,9,0.0,2,900,0.12708907215153745,0.12692004547542576,0.1368546240692125,0.14646365691681487,0.0,0.0,0.6840250227797272,0.3908123560931671,0.1576037979991924,0.0,-0.12117026939643027,0.042222222222222223,0.34602097552997685
N9_K+0_s3,9,0.0,3,900,0.13253998755473617,0.13196001216103703,0.1450600980097285,0.1545327160386083,0.0,0.0,0.8194742627129741,0.4801698103976813,0.19717711487242023,0.0011111111111111111,-0.12124716237085548,0.1388888888888889,0.22696196071889024
N9_K+0.06_s0,9,0.06,0,900,0.12922532106892454,0.1309492811854403,0.14239895949089662,0.15279134462397959,0.0,0.0,0.434809685136007,0.21938441900800976,0.07873862606705427,0.023333333333333334,0.04559483135325525,0.058888888888888886,0.9974282993527716
N9_K+0.06_s1,9,0.06,1,900,0.12494423087831083,0.12093641173241355,0.1403348737434927,0.14844570064287302,0.0,0.0,0.49862301437681195,0.2653215053444415,0.07994197851924467,0.03111111111111111,0.009590409321958582,0.04888888888888889,0.9994202285490421
N9_K+0.06_s2,9,0.06,2,900,0.1243851618475248,0.12362021538889834,0.13509026945064584,0.1426720444974673,0.0,0.0,0.5279493314136865,0.2729440039402128,0.06450228754461479,0.05333333333333334,0.019388290042776236,0.03111111111111111,0.9981409496873731
N9_K+0.06_s3,9,0.06,3,900,0.12562346406755126,0.123504301662491,0.1382938629222646,0.14753192119499112,0.0,0.0,0.4967051321347299,0.2546509077790476,0.08711751330950676,0.04111111111111111,-0.053912452895854175,-0.03666666666666667,0.9986667559655904
N9_K+0.08_s0,9,0.08,0,900,0.12078417348079708,0.1186584296468772,0.1314561620403654,0.13894435678613637,0.0,0.0,0.5239449276292103,0.2713088001739961,0.06695279676335893,0.056666666666666664,-0.036699667469444835,0.04111111111111111,0.998931566889625
N9_K+0.08_s1,9,0.08,1,900,0.1204436242455101,0.11828997987089335,0.13131235400514255,0.14328196949242386,0.0,0.0,0.48597565445063956,0.2296556404806591,0.07938503473020155,0.07333333333333333,-0.09730043065359904,-0.024444444444444446,0.9983399146372719
N9_K+0.08_s2,9,0.08,2,900,0.12371515722299556,0.12259916647464464,0.1340488476263633,0.1404923353237684,0.0,0.0,0.5598225003298962,0.30892444367598615,0.06743611435197133,0.03111111111111111,-0.012246844175192157,0.04888888888888889,0.9978452950775236
N9_K+0.08_s3,9,0.08,3,900,0.11966510223596837,0.11828997987089335,0.13074780213127582,0.13831933075301725,0.0,0.0,0.5077864018402974,0.24779660210590587,0.07048094429574565,0.07888888888888888,-0.07013767242885045,-0.052222222222222225,0.9985125940352403
N9_K+0.1_s0,9,0.1,0,900,0.11988375447492614,0.11828997987089335,0.12967226934770845,0.14392797973014246,0.0,0.0,0.5271675521570328,0.2667482076249491,0.07474505761188896,0.06,-0.07436854285059093,-0.035555555555555556,0.998226033612498
N9_K+0.1_s1,9,0.1,1,900,0.11932413350832355,0.11806832062676231,0.12820572946113143,0.1398818706961176,0.0,0.0,0.496189176712746,0.24455683290525657,0.06963978543758886,0.06777777777777778,-0.07795679353815727,-0.07666666666666666,0.9983418525669803
N9_K+0.1_s2,9,0.1,2,900,0.12041462369738702,0.11828997987089335,0.13218501495204765,0.1432634879773267,0.0,0.0,0.47740102455989963,0.22611748277797905,0.07633332068030439,0.07111111111111111,-0.10120727997599399,-0.011111111111111112,0.9977701231288448
N9_K+0.1_s3,9,0.1,3,900,0.12022529493233444,0.1186584296468772,0.13007230214179447,0.1407783887867828,0.0,0.0,0.5271931775408589,0.2722514970739493,0.06684253420276941,0.06222222222222222,-0.08597785327826923,-0.035555555555555556,0.9984716513572873
N9_K+0.15_s0,9,0.15,0,900,0.11849019227371496,0.11798935942986677,0.12375231799667083,0.1367279250764524,0.0,0.0,0.5050058904105786,0.24588984371002362,0.07426066244756874,0.07888888888888888,-0.0956552830129228,0.016666666666666666,0.9946125374129646
