profile,offset_radians,n_planned,n_valid,p_retard,p_stay,p_advance,g_mean,g_standard_error,g_odd,g_even
broad_kappa_2,2.7488935718910694,50,50,0.52,0.0,0.48,-0.04,0.14274281139196338,0.27999999999999997,-0.32
broad_kappa_2,2.879793265790643,50,50,0.58,0.0,0.42,-0.16,0.14101671633432072,-0.08,-0.08
broad_kappa_2,3.0106929596902186,50,50,0.7,0.0,0.3,-0.4,0.13093073414159542,-0.51,0.10999999999999999
narrow_kappa_12,-3.141592653589793,50,50,0.0,0.9,0.1,0.1,0.04285714285714286,0.0,0.1
narrow_kappa_12,-3.0106929596902186,50,50,0.08,0.16,0.76,0.68,0.0877845228327841,0.2,0.48000000000000004
narrow_kappa_12,-2.8797932657906435,50,50,0.02,0.68,0.3,0.28,0.07021831844254005,0.020000000000000018,0.26
narrow_kappa_12,-2.748893571891069,50,50,0.46,0.06,0.48,0.02,0.13847566646917295,0.06999999999999999,-0.049999999999999996
narrow_kappa_12,-2.6179938779914944,50,50,0.16,0.14,0.7,0.54,0.10770329614269007,0.21000000000000002,0.33
narrow_kappa_12,-2.4870941840919194,50,50,0.08,0.0,0.92,0.84,0.07751234266428875,0.78,0.06
narrow_kappa_12,-2.356194490192345,50,50,0.1,0.0,0.9,0.8,0.08571428571428572,0.66,0.14
narrow_kappa_12,-2.2252947962927703,50,50,0.4,0.0,0.6,0.2,0.13997084244475305,0.52,-0.31999999999999995
narrow_kappa_12,-2.0943951023931957,50,50,0.78,0.0,0.22,-0.56,0.11835608672690272,-0.12000000000000002,-0.44000000000000006
narrow_kappa_12,-1.9634954084936207,50,50,0.04,0.0,0.96,0.92,0.05598833697790121,0.78,0.14
narrow_kappa_12,-1.832595714594046,50,50,0.82,0.0,0.18,-0.64,0.10976784407027741,-0.28,-0.36
narrow_kappa_12,-1.7016960206944713,50,50,0.64,0.0,0.36,-0.28,0.13714285714285715,0.2,-0.48000000000000004
narrow_kappa_12,-1.5707963267948966,50,50,0.86,0.0,0.14,-0.72,0.0991391518451284,-0.76,0.040000000000000036
narrow_kappa_12,-1.4398966328953218,50,50,0.6,0.0,0.4,-0.2,0.13997084244475305,-0.08,-0.12000000000000001
narrow_kappa_12,-1.3089969389957472,50,50,0.58,0.0,0.42,-0.16,0.14101671633432072,0.06000000000000001,-0.22000000000000003
narrow_kappa_12,-1.1780972450961726,50,50,0.5,0.0,0.5,0.0,0.14285714285714285,-0.08,0.08
narrow_kappa_12,-1.0471975511965979,50,50,0.34,0.0,0.66,0.32,0.1353453632265944,-0.18000000000000002,0.5
narrow_kappa_12,-0.9162978572970228,50,50,0.46,0.0,0.54,0.08,0.14239926622145274,-0.21,0.29
narrow_kappa_12,-0.7853981633974483,50,50,0.7,0.1,0.2,-0.5,0.11517511068997928,-0.6699999999999999,0.16999999999999998
narrow_kappa_12,-0.6544984694978737,50,50,0.58,0.0,0.42,-0.16,0.14101671633432072,-0.009999999999999995,-0.15000000000000002
narrow_kappa_12,-0.5235987755982987,50,50,0.66,0.1,0.24,-0.42,0.12152097324649563,-0.32,-0.09999999999999999
narrow_kappa_12,-0.39269908169872414,50,50,0.24,0.72,0.04,-0.2,0.06998542122237651,-0.21000000000000002,0.009999999999999995
narrow_kappa_12,-0.2617993877991496,50,50,0.22,0.72,0.06,-0.16,0.0720544012166771,-0.25,0.09000000000000001
narrow_kappa_12,-0.130899693899575,50,50,0.24,0.7,0.06,-0.18,0.07390009803644321,0.04000000000000001,-0.22
narrow_kappa_12,0.0,50,50,0.0,1.0,0.0,0.0,0.0,0.0,0.0
narrow_kappa_12,0.130899693899575,50,50,0.32,0.62,0.06,-0.26,0.0798467920713264,-0.04000000000000001,-0.22
narrow_kappa_12,0.2617993877991496,50,50,0.02,0.62,0.36,0.34,0.07345691504104251,0.25,0.09000000000000001
narrow_kappa_12,0.39269908169872414,50,50,0.28,0.22,0.5,0.22,0.12219088445910341,0.21000000000000002,0.009999999999999995
narrow_kappa_12,0.5235987755982987,50,50,0.28,0.22,0.5,0.22,0.12219088445910341,0.32,-0.09999999999999999
narrow_kappa_12,0.6544984694978737,50,50,0.44,0.26,0.3,-0.14,0.12125197242241684,0.009999999999999995,-0.15000000000000002
narrow_kappa_12,0.7853981633974478,50,50,0.08,0.0,0.92,0.84,0.07751234266428877,0.6699999999999999,0.16999999999999998
narrow_kappa_12,0.9162978572970228,50,50,0.24,0.02,0.74,0.5,0.12205719636167901,0.21,0.29
narrow_kappa_12,1.0471975511965974,50,50,0.16,0.0,0.84,0.68,0.10474458731327634,0.18000000000000002,0.5
narrow_kappa_12,1.1780972450961729,50,50,0.42,0.0,0.58,0.16,0.14101671633432072,0.08,0.08
narrow_kappa_12,1.3089969389957474,50,50,0.64,0.0,0.36,-0.28,0.13714285714285712,-0.06000000000000001,-0.22000000000000003
narrow_kappa_12,1.439896632895322,50,50,0.52,0.0,0.48,-0.04,0.14274281139196338,0.08,-0.12000000000000001
narrow_kappa_12,1.5707963267948966,50,50,0.1,0.0,0.9,0.8,0.08571428571428572,0.76,0.040000000000000036
narrow_kappa_12,1.7016960206944711,50,50,0.84,0.0,0.16,-0.68,0.10474458731327634,-0.2,-0.48000000000000004
narrow_kappa_12,1.8325957145940457,50,50,0.54,0.0,0.46,-0.08,0.14239926622145274,0.28,-0.36
narrow_kappa_12,1.9634954084936203,50,50,0.82,0.0,0.18,-0.64,0.10976784407027741,-0.78,0.14
narrow_kappa_12,2.0943951023931957,50,50,0.66,0.0,0.34,-0.32,0.1353453632265944,0.12000000000000002,-0.44000000000000006
narrow_kappa_12,2.2252947962927694,50,50,0.92,0.0,0.08,-0.84,0.07751234266428877,-0.52,-0.31999999999999995
narrow_kappa_12,2.356194490192345,50,50,0.76,0.0,0.24,-0.52,0.12202375145178643,-0.66,0.14
narrow_kappa_12,2.4870941840919194,50,50,0.86,0.0,0.14,-0.72,0.0991391518451284,-0.78,0.06
narrow_kappa_12,2.617993877991494,50,50,0.44,0.0,0.56,0.12,0.14182484166846693,-0.21000000000000002,0.33
narrow_kappa_12,2.7488935718910694,50,50,0.56,0.0,0.44,-0.12,0.14182484166846693,-0.06999999999999999,-0.049999999999999996
narrow_kappa_12,2.879793265790643,50,50,0.38,0.0,0.62,0.24,0.13868184113727539,-0.020000000000000018,0.26
narrow_kappa_12,3.0106929596902186,50,50,0.36,0.0,0.64,0.28,0.13714285714285712,-0.2,0.48000000000000004
