block,profile,concentration,representation_a,representation_b,response_l2_between,response_l2_within_mean,response_l2_ratio,complex_low_order_between,complex_low_order_within_mean,complex_low_order_ratio,c1_chordal_between,c1_chordal_within_mean,c1_chordal_ratio,c2_chordal_between,c2_chordal_within_mean,c2_chordal_ratio,mean_tv_between,mean_tv_within_mean,mean_tv_ratio,mean_js_between,mean_js_within_mean,mean_js_ratio,mean_sym_kl_between,mean_sym_kl_within_mean,mean_sym_kl_ratio
block_1,kappa_2,2.0,intervals_24_decimal6,moments_m1_m3,0.7492505650424389,0.036968678141560525,20.267172176765623,0.6368449907891933,0.027597780614323244,23.075949464525813,0.6226598147529022,0.01839023745596515,33.858171556720876,0.11512115637134095,0.01833425308153335,6.279020795632706,0.1724537037037037,0.005208333333333332,33.111111111111114,0.11769876876200581,0.0009281851301535719,126.805272933571,3.498487218554325,0.016950352453022365,206.3961341364628
block_1,kappa_2,2.0,intervals_24_decimal6,centers_24_standard,0.033938969417903316,0.018323124587586382,1.8522479206901432,0.02683161128410999,0.010153634697588535,2.642562203905409,0.018265635654706857,0.0068058933172101006,2.6837969394140284,0.01728195983546294,0.006722210063520578,2.5708747081926173,0.009259259259259257,0.003472222222222221,2.666666666666667,0.003378448407360446,0.0004537620565676657,7.445418492933524,0.08702265561392923,0.001911767577647476,45.51947455925311
block_1,kappa_2,2.0,moments_m1_m3,centers_24_standard,0.7695399512756332,0.04034350680515203,19.074691622428812,0.6588593519879652,0.02756303585118724,23.903729456549893,0.6408938205375709,0.018268461469227323,35.08198113000032,0.1318256863505603,0.0185014310828046,7.125161602935695,0.1724537037037037,0.005208333333333333,33.111111111111114,0.11769876903104098,0.0010927448390633684,107.70928841167066,3.5075723041342277,0.017687988177404388,198.30250161603988
block_1,kappa_4,4.0,intervals_24_decimal6,moments_m1_m3,0.7809562209703141,0.03301397120612039,23.655325077206538,0.6808969209447014,0.018029015128542974,37.766728581126245,0.6622498009449427,0.008284422505117236,79.93916299366373,0.14021986058934593,0.01429711657948659,9.807562231851175,0.17708333333333337,0.004050925925925927,43.714285714285715,0.11950734702160519,0.0008381368799875487,142.58690898243324,3.555441563464238,0.017140066449424497,207.43452622866684
block_1,kappa_4,4.0,intervals_24_decimal6,centers_24_standard,0.17926368145093674,0.009593187000730504,18.68656176902276,0.08659400772118776,0.004518353570771179,19.1649472235543,0.039860013998809375,0.002917117244033863,13.664179621279105,0.06967062987885192,0.003119879987898126,22.331189067881187,0.03587962962962962,0.001736111111111111,20.666666666666664,0.02240948600451947,0.00015511420880357833,144.47087844090854,0.6560002864976741,0.0006268530527005755,1046.4977137329522
block_1,kappa_4,4.0,moments_m1_m3,centers_24_standard,0.8356328454885006,0.023420784205389882,35.67911467696263,0.7383673582797778,0.013510661557771796,54.65071825850331,0.7002319921551049,0.005367305261083372,130.4624868706956,0.20893375633536462,0.011177236591588464,18.692791784742187,0.1689814814814815,0.002314814814814815,73.0,0.11635194874329494,0.0006830226711839704,170.3485896619028,3.4750875484881365,0.01651321339672392,210.44284143857573
block_1,kappa_6,6.0,intervals_24_decimal6,moments_m1_m3,0.7937698622458323,0.033433738933937335,23.74158223267414,0.697187995354149,0.015708663822185054,44.38238689464621,0.6727309629342698,0.010392615947864801,64.7316292942091,0.17015250708722213,0.010580447652291727,16.081787149182393,0.1736111111111111,0.00462962962962963,37.49999999999999,0.1180618195925497,0.0006755613360145212,174.76106653624706,3.506160308889196,0.011663107316573978,300.6197416966858
block_1,kappa_6,6.0,intervals_24_decimal6,centers_24_standard,0.11175171495185093,0.011316920843325105,9.874745657319307,0.05363894666661394,0.0034328213933571567,15.625324046980865,0.03803073671574096,0.00238493249325765,15.946252912087104,0.030502648448556446,0.0022171792274570164,13.757412152711407,0.02199074074074074,0.0028935185185185192,7.599999999999999,0.009718865458705355,0.0005204471272109429,18.67406879693697,0.22674354883462344,0.011036254263873403,20.54533571021977
block_1,kappa_6,6.0,moments_m1_m3,centers_24_standard,0.8371443164207845,0.022116818090612226,37.851028705441195,0.7438971134551288,0.012275842428827895,60.59845731712903,0.7106681761411401,0.008007683454607152,88.74828533990853,0.20065504714054644,0.008363268424834711,23.99241982293688,0.17129629629629628,0.001736111111111111,98.66666666666666,0.11723439771555448,0.00015511420880357833,755.7940605171046,3.498122600867202,0.0006268530527005755,5580.45077039471
block_1,kappa_9,9.0,intervals_24_decimal6,moments_m1_m3,0.8113174037373625,0.03061918167265526,26.49703092692111,0.7379836020083399,0.01618427975155515,45.59879174959435,0.7022153213692939,0.006044078275310874,116.1823671671717,0.19919618891090898,0.013310895170838428,14.964898029345834,0.17824074074074076,0.004629629629629629,38.50000000000001,0.11677377193368914,0.0003353750557586861,348.1886023679468,3.299863931018298,0.001353007934186071,2438.9095197755782
block_1,kappa_9,9.0,intervals_24_decimal6,centers_24_standard,0.381789222432406,0.02015783794584467,18.9399886762711,0.1494861679342052,0.009934780318833842,15.046751225169725,0.04212800258336546,0.0056314752476315936,7.480811107370677,0.11934617427562323,0.007152308907452142,16.68638419004441,0.08101851851851853,0.003472222222222222,23.33333333333334,0.04857408642913793,0.00026255591640270967,185.0047300196227,1.4053980020423067,0.0010605356394056485,1325.1775327700707
block_1,kappa_9,9.0,moments_m1_m3,centers_24_standard,0.8427259798891984,0.023643516030615687,35.64300583711675,0.7436898829364799,0.012864710656379903,57.808519973798795,0.7385223939773841,0.004963670699493154,148.78553366821762,0.08248913769965191,0.010389895399569912,7.939361709364903,0.20949074074074076,0.002314814814814815,90.5,0.13752873130318422,0.00010089315759667202,1363.112569565576,3.9213303084347846,0.0004048310993213955,9686.336635223866
block_1,kappa_12,12.0,intervals_24_decimal6,moments_m1_m3,0.6605643925139124,0.017794633247322243,37.12155138759687,0.5681660442252939,0.00974765515853418,58.287458366626595,0.5313888664169828,0.0064753529162110855,82.06330578317169,0.17370601840789654,0.006520621570711678,26.639487742721098,0.15625000000000003,0.0017361111111111117,89.99999999999999,0.10306851879419067,0.00010673593419116681,965.6402932642375,3.049782894483873,0.0004312945845225837,7071.229280237296
block_1,kappa_12,12.0,intervals_24_decimal6,centers_24_standard,0.438862933828131,0.01649003288515012,26.613830116939496,0.279378923169834,0.00799608163867428,34.93947858393226,0.238581089843821,0.0037478672370952525,63.65782850641501,0.13079249708831325,0.006347725470131264,20.604624082082207,0.08101851851851853,0.002314814814814815,35.0,0.05278858251741866,0.0004205773344792581,125.51456816563677,1.4454216192341147,0.005990896485846254,241.26967018191425
block_1,kappa_12,12.0,moments_m1_m3,centers_24_standard,0.825961564287665,0.027889208131985352,29.615812696395377,0.7718362062001272,0.014731501083361158,52.39358853062814,0.7651736704046028,0.00827847532395058,92.42929893030755,0.09384061906085882,0.010788427048910915,8.69826700736063,0.20717592592592593,0.0028935185185185184,71.60000000000001,0.1357189093430714,0.0004225614964476658,321.18143864032857,3.8883388874314133,0.005995339830557969,648.5602146541769
block_2,kappa_2,2.0,intervals_24_decimal6,moments_m1_m3,0.7643700986855851,0.036968678141560525,20.676154439676147,0.6677747643548531,0.027597780614323244,24.19668355535365,0.6584565303604673,0.01839023745596515,35.8046779948938,0.09578688656261951,0.01833425308153335,5.224477165044596,0.17939814814814814,0.005208333333333332,34.44444444444445,0.12056850177756001,0.0009281851301535719,129.8970408603847,3.570576174120037,0.016950352453022365,210.6490814285917
block_2,kappa_2,2.0,intervals_24_decimal6,centers_24_standard,0.034407457590022235,0.018323124587586382,1.877816058366635,0.026566612090351487,0.010153634697588535,2.616463254942685,0.01796634203150016,0.0068058933172101006,2.6398212834263166,0.017388609884611165,0.006722210063520578,2.586740033456251,0.009259259259259259,0.003472222222222221,2.6666666666666674,0.003364716130378204,0.0004537620565676657,7.41515532574384,0.08666481045517067,0.001911767577647476,45.3322942958453
block_2,kappa_2,2.0,moments_m1_m3,centers_24_standard,0.7819503627196734,0.04034350680515203,19.3823101818163,0.6885669740451543,0.02756303585118724,24.981536060204895,0.6761815065827089,0.018268461469227323,37.0135989679107,0.11236634472791783,0.0185014310828046,6.0733866599298985,0.17939814814814814,0.005208333333333333,34.44444444444444,0.12056850201599358,0.0010927448390633684,110.3354577444971,3.57228604570272,0.017687988177404388,201.96112807595355
block_2,kappa_4,4.0,intervals_24_decimal6,moments_m1_m3,0.7808885436589225,0.03301397120612039,23.653275117479815,0.6845840957469173,0.018029015128542974,37.97124196002837,0.6670566508210626,0.008284422505117236,80.51939050779048,0.13924263665802286,0.01429711657948659,9.739211111827073,0.17592592592592593,0.004050925925925927,43.42857142857142,0.11890297476461582,0.0008381368799875487,141.86581882231724,3.540900284743364,0.017140066449424497,206.5861468618901
block_2,kappa_4,4.0,intervals_24_decimal6,centers_24_standard,0.17545855734946397,0.009593187000730504,18.289913178603015,0.08357303098000202,0.004518353570771179,18.496345996610007,0.0456941034639745,0.002917117244033863,15.664129906821142,0.06343232756990001,0.003119879987898126,20.331656286764606,0.032407407407407406,0.001736111111111111,18.666666666666668,0.020963959084508328,0.00015511420880357833,135.1517649234511,0.6198912432593399,0.0006268530527005755,988.8940328020369
block_2,kappa_4,4.0,moments_m1_m3,centers_24_standard,0.8363768965872472,0.023420784205389882,35.71088351494096,0.7449343358161962,0.013510661557771796,55.13677717636887,0.710503547876884,0.005367305261083372,132.37621363340742,0.20263528600749897,0.011177236591588464,18.129283060894863,0.17129629629629628,0.002314814814814815,73.99999999999999,0.11719310340631672,0.0006830226711839704,171.58010758730885,3.496655313005597,0.01651321339672392,211.74893274856507
block_2,kappa_6,6.0,intervals_24_decimal6,moments_m1_m3,0.7986672143013371,0.033433738933937335,23.88806157395217,0.7107160081543156,0.015708663822185054,45.24356853003529,0.689006266618218,0.010392615947864801,66.29767424050503,0.1631160881369598,0.010580447652291727,15.416747334091182,0.17592592592592593,0.00462962962962963,37.99999999999999,0.11908720785392643,0.0006755613360145212,176.27889801462328,3.5360259017430655,0.011663107316573978,303.1804308889587
block_2,kappa_6,6.0,intervals_24_decimal6,centers_24_standard,0.12351682360807804,0.011316920843325105,10.914348992811961,0.05518925122577297,0.0034328213933571567,16.07693640355701,0.0376479293814923,0.00238493249325765,15.78574214906514,0.03493699791274242,0.0022171792274570164,15.757408097681507,0.02083333333333333,0.0028935185185185192,7.199999999999997,0.01007865140479799,0.0005204471272109429,19.365370424483103,0.22278208555462614,0.011036254263873403,20.186385727256354
block_2,kappa_6,6.0,moments_m1_m3,centers_24_standard,0.8414183620163456,0.022116818090612226,38.044277371594276,0.7567706963071823,0.012275842428827895,61.647149732879,0.7258547892007781,0.008007683454607152,90.64479050844146,0.19789999508711548,0.008363268424834711,23.662996933047346,0.1747685185185185,0.001736111111111111,100.66666666666666,0.11867992463556562,0.00015511420880357833,765.113174034562,3.5342316441055366,0.0006268530527005755,5638.054451325625
block_2,kappa_9,9.0,intervals_24_decimal6,moments_m1_m3,0.8099005820076989,0.03061918167265526,26.45075856912884,0.7475567765224139,0.01618427975155515,46.190302441514646,0.7110148804463922,0.006044078275310874,117.63826477078864,0.20226662725041036,0.013310895170838428,15.195569092418145,0.1840277777777778,0.004629629629629629,39.75000000000001,0.11850713245297959,0.0003353750557586861,353.3570264636782,3.354837826853002,0.001353007934186071,2479.540394470171
block_2,kappa_9,9.0,intervals_24_decimal6,centers_24_standard,0.38258468623702013,0.02015783794584467,18.97945043832868,0.13985928524730162,0.009934780318833842,14.077743116489817,0.037485092751726144,0.0056314752476315936,6.6563539931194935,0.1139683562953494,0.007152308907452142,15.934484621686764,0.08564814814814814,0.003472222222222222,24.666666666666664,0.050661889449426796,0.00026255591640270967,192.95657147455523,1.4548988129739422,0.0010605356394056485,1371.8528250397176
block_2,kappa_9,9.0,moments_m1_m3,centers_24_standard,0.8402494353223771,0.023643516030615687,35.5382606476274,0.752352400489061,0.012864710656379903,58.481874997783365,0.7460488265405332,0.004963670699493154,150.3018374318653,0.08883415488612108,0.010389895399569912,8.550052860955496,0.20949074074074073,0.002314814814814815,90.49999999999999,0.1367000649475961,0.00010089315759667202,1354.8992637743074,3.9149982274027226,0.0004048310993213955,9670.695344219603
block_2,kappa_12,12.0,intervals_24_decimal6,moments_m1_m3,0.6554767689790645,0.017794633247322243,36.83564363866287,0.5631935131421625,0.00974765515853418,57.777332495095536,0.5223335267111063,0.0064753529162110855,80.6648739412243,0.18207423680131618,0.006520621570711678,27.922834476260537,0.15509259259259262,0.0017361111111111117,89.33333333333331,0.10242750220690872,0.00010673593419116681,959.6346627131068,3.0358955947718385,0.0004312945845225837,7039.030175007614
