block_a,block_b,profile,concentration,representation,comparison,response_l2,complex_low_order,c1_chordal,c2_chordal,mean_tv,mean_js,mean_sym_kl
block_1,block_2,kappa_2,2.0,intervals_24_decimal6,within_representation_across_blocks,0.01494829592399488,0.01018837946072454,0.006927669303947928,0.006555032062249329,0.0034722222222222207,0.0002892023476578694,0.0011741318532654502
block_1,block_2,kappa_4,4.0,intervals_24_decimal6,within_representation_across_blocks,0.019186374001461007,0.009036707141542357,0.005834234488067726,0.006239759975796252,0.003472222222222222,0.00031022841760715666,0.001253706105401151
block_1,block_2,kappa_6,6.0,intervals_24_decimal6,within_representation_across_blocks,0.02263384168665021,0.006865642786714313,0.0047698649865153,0.004434358454914033,0.0057870370370370385,0.0010408942544218858,0.022072508527746806
block_1,block_2,kappa_9,9.0,intervals_24_decimal6,within_representation_across_blocks,0.027133503587884245,0.013254349414009088,0.006711882823449314,0.010073308678720659,0.005787037037037036,0.0004970378145647237,0.002008712474270324
block_1,block_2,kappa_12,12.0,intervals_24_decimal6,within_representation_across_blocks,0.006395458000487013,0.003012235713847304,0.001944744829355758,0.0020799199919320274,0.0011574074074074082,0.00010475177222275907,0.0004268512398108682
block_1,block_2,kappa_2,2.0,moments_m1_m3,within_representation_across_blocks,0.05898906035912617,0.04500718176792195,0.029852805607982376,0.030113474100817373,0.006944444444444444,0.0015671679126492745,0.032726573052779276
block_1,block_2,kappa_4,4.0,moments_m1_m3,within_representation_across_blocks,0.046841568410779764,0.027021323115543592,0.010734610522166744,0.022354473183176928,0.00462962962962963,0.0013660453423679408,0.03302642679344784
block_1,block_2,kappa_6,6.0,moments_m1_m3,within_representation_across_blocks,0.04423363618122445,0.02455168485765579,0.016015366909214304,0.016726536849669422,0.003472222222222222,0.00031022841760715666,0.001253706105401151
block_1,block_2,kappa_9,9.0,moments_m1_m3,within_representation_across_blocks,0.034104859757426276,0.019114210089101212,0.005376273727172436,0.016548481662956197,0.003472222222222222,0.00017371229695264844,0.0006973033941018179
block_1,block_2,kappa_12,12.0,moments_m1_m3,within_representation_across_blocks,0.029193808494157474,0.016483074603221057,0.011005961003066413,0.01096132314949133,0.002314814814814815,0.00010872009615957455,0.00043573792923429916
block_1,block_2,kappa_2,2.0,centers_24_standard,within_representation_across_blocks,0.021697953251177883,0.010118889934452532,0.0066841173304722735,0.006889388064791827,0.003472222222222222,0.000618321765477462,0.002649403302029502
block_1,block_2,kappa_4,4.0,centers_24_standard,within_representation_across_blocks,0.0,0.0,0.0,0.0,0.0,0.0,0.0
block_1,block_2,kappa_6,6.0,centers_24_standard,within_representation_across_blocks,0.0,0.0,0.0,0.0,0.0,0.0,0.0
block_1,block_2,kappa_9,9.0,centers_24_standard,within_representation_across_blocks,0.013182172303805095,0.006615211223658596,0.004551067671813873,0.004231309136183624,0.001157407407407408,2.8074018240695595e-05,0.000112358804540973
block_1,block_2,kappa_12,12.0,centers_24_standard,within_representation_across_blocks,0.026584607769813234,0.012979927563501258,0.0055509896448347465,0.0106155309483305,0.003472222222222222,0.0007364028967357571,0.01155494173188164
