block,representation,profile,concentration,a0,a1,b1,R1,phi1,phi1_degrees,phi1_reportable,phi1_raw_degrees,a2,b2,R2,phi2,phi2_degrees,phi2_reportable,phi2_raw_degrees,activity,mean_stay,mean_entropy,entropy_units,entropy_normalized_by_log3,no_stay_directional_controller,hard_directional_controller,a0_fourier_range,a0_unweighted_mean_g,a0_density_weighted_mean_g,a0_mirror_even_mean_g,g_prime0_M6_diagnostic,g_prime0_order_range_diagnostic,g_prime0_sign_flip_diagnostic,n_fixed_points_diagnostic
block_1,intervals_24_decimal6,kappa_2,2.0,-0.013256147177792665,1.2604183897526855,0.16102379389499177,1.2706624962699928,0.1270659363519786,7.280341872846318,1,7.280341872846318,-0.006657617596884127,-0.032575736489770524,0.03324909743011542,nan,nan,0,-101.55067439166598,0.9641203703703705,0.03587962962962963,0.022981426947853927,nats,0,0,0,0.015026628766594831,-0.01967592592592593,-0.009649789300611599,-0.01967592592592593,3.2856494816662116,3.617018279347592,0,2
block_1,intervals_24_decimal6,kappa_4,4.0,-0.06594461679832445,1.2405213453590096,0.23194630451942827,1.2620191347485767,nan,nan,0,10.590586059035548,0.043629857076914295,-0.12250000886265883,0.13003775067227,nan,nan,0,-70.39602934086578,0.9641203703703705,0.03587962962962963,0.016767701430564618,nats,0,0,0,0.024221140904211097,-0.07523148148148148,-0.060161921639224056,-0.07523148148148148,3.8130377005680307,3.658936182861587,0,2
block_1,intervals_24_decimal6,kappa_6,6.0,-0.07606687154618795,1.2320558027285367,0.22805913569029865,1.2529854230631994,0.18303285512192036,10.48701011071549,1,10.48701011071549,0.0511451974550407,-0.1609523407061933,0.16888305776932638,-1.2631210920625187,-72.37150758913782,1,-72.37150758913782,0.980324074074074,0.019675925925925927,0.03431208900750843,nats,0,0,0,0.020913984080924042,-0.08680555555555555,-0.073034633964944,-0.08680555555555555,3.9841884989572485,4.525605376426299,0,2
block_1,intervals_24_decimal6,kappa_9,9.0,-0.08295224764234799,1.2375218466753886,0.20167751858513958,1.2538477349748347,0.16154866356934094,9.256056608502073,1,9.256056608502073,0.05218782436310141,-0.16339423162097627,0.17152621939156462,-1.261639372472579,-72.28661131021242,1,-72.28661131021242,0.9837962962962963,0.016203703703703706,0.03259175865487199,nats,0,0,0,0.014630390093928747,-0.0949074074074074,-0.08306381106883781,-0.0949074074074074,4.079314776079183,5.68166365716861,0,2
block_1,intervals_24_decimal6,kappa_12,12.0,-0.0447918094254713,1.2263624594958524,0.29605677783546763,1.2615920488664454,0.2368782357575123,13.572123167410357,1,13.572123167410357,0.02379228100258213,-0.08666829929253628,0.08987472802499306,nan,nan,0,-74.64925909691664,0.9432870370370371,0.05671296296296296,0.004811255743032697,nats,0,0,0,0.015089995524436822,-0.054398148148148154,-0.04235098263414805,-0.054398148148148154,2.961490430045523,1.853575131430631,0,3
block_1,moments_m1_m3,kappa_2,2.0,0.05466599016265409,1.0280298633928289,0.7386922262369475,1.2659034738598263,nan,nan,0,35.69918515095394,-0.0964163488601435,0.03950928835093215,0.10419739053123162,nan,nan,0,157.7172660954344,1.0,0.0,0.014215002039372482,nats,0,1,1,0.008147705449404373,0.043981481481481476,0.047632927114232726,0.043981481481481476,-0.6407947341527807,1.4739763083025208,1,2
block_1,moments_m1_m3,kappa_4,4.0,0.007432551290007236,0.9621710748161048,0.8328588819716795,1.2725671276957826,0.7134833785741472,40.87958634503338,1,40.87958634503338,-0.008326965791028415,0.007738610068765778,0.011367693041306163,nan,nan,0,137.09735658471476,1.0,0.0,0.007967666196004464,nats,0,1,1,0.006274304518191507,0.004629629629629638,0.004753486286652893,0.004629629629629638,-0.7924566821523625,1.7269533450433254,1,2
block_1,moments_m1_m3,kappa_6,6.0,-0.008596309762550389,0.9553789725708728,0.8412612884461229,1.2729766441960384,0.721966106405042,41.36561084850182,1,41.36561084850182,0.025232865413678016,0.0072155120964316755,0.02624425864448337,nan,nan,0,15.958246998274163,1.0,0.0,0.012515589135175129,nats,0,1,1,0.008454206417647242,-0.009259259259259252,-0.011382222491868042,-0.009259259259259252,-0.9025635872523501,1.8901743210957354,1,2
block_1,moments_m1_m3,kappa_9,9.0,0.025833402104264755,0.9490136021536092,0.8418879140089736,1.2686221174277823,0.7256527254142643,41.576838558402955,1,41.576838558402955,-0.04701185804012327,0.00934413900851036,0.04793148996427159,nan,nan,0,168.758325173072,1.0,0.0,0.024735367626569082,nats,0,1,1,0.003950667923400306,0.020833333333333332,0.02411823469514408,0.020833333333333332,-0.6329737802459052,1.4881432494821567,1,2
block_1,moments_m1_m3,kappa_12,12.0,0.056523271522866236,0.9965100272419319,0.7751621803711548,1.262500946641815,0.6611049576388967,37.87852388788385,1,37.87852388788385,-0.10371841081567718,0.03129272945489961,0.10833625274517816,nan,nan,0,163.21098918399227,1.0,0.0,0.03259175865487199,nats,0,1,1,0.007704127026254691,0.04629629629629631,0.05165666334364019,0.04629629629629631,-0.5466012591439499,1.340772599094465,1,2
