run_id,n_agents,coupling,seed_index,t_bin,log_loss,brier,pred_stay,obs_stay,mean_r1_bin
N9_K-0.15_s0,9,-0.15,0,t0_9,0.8944956349880003,0.5252226084374915,0.22011946540678615,0.0,0.15993306063375717
N9_K-0.15_s0,9,-0.15,0,t10_19,0.8724042615377278,0.5125056600099253,0.23026945705584798,0.011111111111111112,0.041069459428941135
N9_K-0.15_s0,9,-0.15,0,t20_29,0.9119862392592966,0.5377450590318665,0.2255757735037238,0.0,0.03953262612185583
N9_K-0.15_s0,9,-0.15,0,t30_39,0.8821944427298472,0.5107086884024178,0.2170085590179372,0.0,0.04521124641704735
N9_K-0.15_s1,9,-0.15,1,t0_9,0.9332307249441718,0.5520004432944641,0.22246478523032778,0.0,0.06016717785544627
N9_K-0.15_s1,9,-0.15,1,t10_19,0.8906413021224722,0.524398229503589,0.22688920442770386,0.0,0.04305159554962297
N9_K-0.15_s1,9,-0.15,1,t20_29,0.876876621937422,0.5125900394687556,0.22980568140760751,0.0,0.03622971630052122
N9_K-0.15_s1,9,-0.15,1,t30_39,0.8887995107695897,0.5205122850743497,0.2300639541491904,0.0,0.03685203488738715
N9_K+0_s0,9,0.0,0,t0_9,0.8507230874327406,0.5104509018946385,0.17991522311787445,0.0,0.3549391430775627
N9_K+0_s0,9,0.0,0,t10_19,0.7810943129477307,0.46505196562761936,0.16331865082452923,0.011111111111111112,0.3592258827224827
N9_K+0_s0,9,0.0,0,t20_29,0.7037607717088458,0.4056896143915308,0.15980866954022963,0.0,0.3644715970593849
N9_K+0_s0,9,0.0,0,t30_39,0.7118566268193969,0.4128689482931761,0.16304896952332681,0.0,0.35872912980911253
N9_K+0_s1,9,0.0,1,t0_9,0.9791985594401892,0.5913382045799439,0.23855356989154136,0.011111111111111112,0.0995180197291377
N9_K+0_s1,9,0.0,1,t10_19,0.9302883655852553,0.5542317862662128,0.2581566746469534,0.011111111111111112,0.08686132159306606
N9_K+0_s1,9,0.0,1,t20_29,1.0045397089281403,0.6035163697379394,0.26306617825428114,0.011111111111111112,0.08614294843730583
N9_K+0_s1,9,0.0,1,t30_39,0.9116916373995336,0.539711010542013,0.2666902092143665,0.022222222222222223,0.09431963578739785
N9_K+0.15_s0,9,0.15,0,t0_9,0.515928973392331,0.29521308213133174,0.08177433989546984,0.0,0.7532038862003805
N9_K+0.15_s0,9,0.15,0,t10_19,0.5305555029062595,0.24666936697383895,0.07081612249062534,0.1111111111111111,0.9945564947949148
N9_K+0.15_s0,9,0.15,0,t20_29,0.47876949002738467,0.22056360299989544,0.073625683233194,0.08888888888888889,0.9961436153371066
N9_K+0.15_s0,9,0.15,0,t30_39,0.4105969842410881,0.1869564056600301,0.07581478665314857,0.044444444444444446,0.9958741187357403
N9_K+0.15_s1,9,0.15,1,t0_9,0.6877661521020317,0.40763740763678147,0.13611587455266785,0.0,0.36588727726956327
N9_K+0.15_s1,9,0.15,1,t10_19,0.47828746735731614,0.2733262494762745,0.053110659979190504,0.011111111111111112,0.7735179997740296
N9_K+0.15_s1,9,0.15,1,t20_29,0.5476914067630178,0.29202395834425837,0.07641082164742176,0.044444444444444446,0.9677007197776497
N9_K+0.15_s1,9,0.15,1,t30_39,0.4445866657651408,0.2042570916186391,0.0739393033733254,0.06666666666666667,0.995987014377692
N17_K-0.15_s0,17,-0.15,0,t0_9,0.8764519183363435,0.5468977285453381,0.1583779583619113,0.011764705882352941,0.06136994883870108
N17_K-0.15_s0,17,-0.15,0,t10_19,0.8378598987889043,0.5286020515057374,0.12765600662114743,0.0058823529411764705,0.04891577068868799
N17_K-0.15_s0,17,-0.15,0,t20_29,0.8688810418988024,0.5434608592831017,0.14791544675181803,0.0058823529411764705,0.04777533129677072
N17_K-0.15_s0,17,-0.15,0,t30_39,0.8850498652131538,0.5588503399339324,0.16491073125760616,0.0,0.04319135885943595
N17_K-0.15_s1,17,-0.15,1,t0_9,0.8590652393934534,0.5401827391802728,0.16031927363042914,0.0058823529411764705,0.04721831868706999
N17_K-0.15_s1,17,-0.15,1,t10_19,0.7986030204435385,0.4963742983307745,0.12698482717846987,0.0,0.028678489028533587
