representation,scheme,d_shape,d_native,local_density,u_ensemble,d_orientation,policy_a,g_peer,e_tv,peer_count,bin_sparsity
intervals_24_decimal6,acquisition_block_holdout,4.095768194997973,0.0,0.24415444243677342,0.0,6.530577237349291,0.0,0,0.0560775734076299,8,0.20833333333333334
intervals_24_decimal6,acquisition_block_holdout,5.320124039086975,0.0,0.18796554227927686,0.0,5.6106937399530805,0.0,0,0.10530112739629995,8,0.25
intervals_24_decimal6,acquisition_block_holdout,4.095768194997976,0.0,0.24415444243677328,0.0,6.596190052977344,0.0,0,0.2862912308609217,8,0.20833333333333334
intervals_24_decimal6,acquisition_block_holdout,4.095768194997979,0.0,0.24415444243677306,0.0,6.748479284141927,0.0,0,0.10246232743574248,8,0.20833333333333334
intervals_24_decimal6,acquisition_block_holdout,5.320124039086971,0.0,0.187965542279277,0.0,5.733698567281509,0.0,0,0.24256631817118235,8,0.25
intervals_24_decimal6,acquisition_block_holdout,4.095768194997973,0.0,0.24415444243677342,0.0,5.6408448450333495,0.0,0,0.10304322152698474,8,0.25
intervals_24_decimal6,acquisition_block_holdout,4.095768194997989,0.0,0.24415444243677248,0.0,6.613445940320395,0.0,0,0.1754489638798452,8,0.20833333333333334
intervals_24_decimal6,acquisition_block_holdout,5.383837850316306,0.0,0.18574110658649368,0.0,5.922675280714944,0.0,0,0.2854366961161596,8,0.25
intervals_24_decimal6,acquisition_block_holdout,8.075756775474458,0.0,0.1238274043909958,0.0,6.959220410961485,0.0,0,0.04664084124663407,8,0.20833333333333334
intervals_24_decimal6,acquisition_block_holdout,8.075756775474458,0.0,0.1238274043909958,0.0,5.449138079279117,0.0,0,0.08697209543767771,8,0.20833333333333334
intervals_24_decimal6,acquisition_block_holdout,5.383837850316306,0.0,0.18574110658649368,0.0,4.421651900083847,0.0,0,0.08437870062041812,8,0.25
intervals_24_decimal6,acquisition_block_holdout,4.095768194997988,0.0,0.24415444243677253,0.0,5.449138079279117,0.0,0,0.03846708457324907,8,0.20833333333333334
intervals_24_decimal6,acquisition_block_holdout,4.095768194997975,0.0,0.2441544424367733,0.0,4.428477605390762,0.0,0,0.17567655569662868,8,0.25
intervals_24_decimal6,acquisition_block_holdout,5.32012403908697,0.0,0.18796554227927703,0.0,5.759112256831721,0.0,0,0.038462017360687425,8,0.25
intervals_24_decimal6,acquisition_block_holdout,5.32012403908697,0.0,0.18796554227927703,0.0,5.871042018201396,0.0,0,0.26334251639720296,8,0.25
intervals_24_decimal6,acquisition_block_holdout,4.095768194997979,0.0,0.24415444243677306,0.0,6.573410950211446,0.0,0,0.2012339533935216,8,0.20833333333333334
intervals_24_decimal6,acquisition_block_holdout,5.320124039086971,0.0,0.187965542279277,0.0,4.286431857864393,0.0,0,0.08143724941051464,8,0.25
intervals_24_decimal6,acquisition_block_holdout,4.095768194997979,0.0,0.24415444243677306,0.0,3.559208534092515,0.0,0,0.04326381713243526,8,0.20833333333333334
intervals_24_decimal6,acquisition_block_holdout,4.09576819499798,0.0,0.244154442436773,0.0,3.0127922102547893,0.0,0,0.27025399564704666,8,0.20833333333333334
intervals_24_decimal6,acquisition_block_holdout,5.320124039086968,0.0,0.18796554227927711,0.0,4.286431857864392,0.0,0,0.01531531640474712,8,0.25
intervals_24_decimal6,acquisition_block_holdout,4.095768194997984,0.0,0.24415444243677278,0.0,4.125206501993282,0.0,0,0.3977435726265707,8,0.20833333333333334
intervals_24_decimal6,acquisition_block_holdout,5.320124039086968,0.0,0.18796554227927711,0.0,4.286431857864392,0.0,0,0.18076343861503952,8,0.25
