block,representation,profile,concentration,offset_index,offset_radians,g,activity,entropy,p_retard,p_stay,p_advance
feature_block_1,intervals_n24_d2_o0,kappa_2,2.0,0,-3.060726315293831,0.0,0.0,-0.0,0.0,1.0,0.0
feature_block_1,intervals_n24_d2_o0,kappa_2,2.0,1,-2.92640177655781,0.6666666666666667,1.0,0.45056120886630463,0.16666666666666666,0.0,0.8333333333333334
feature_block_1,intervals_n24_d2_o0,kappa_2,2.0,2,-2.746279632217894,0.3333333333333333,1.0,0.6365141682948128,0.3333333333333333,0.0,0.6666666666666666
feature_block_1,intervals_n24_d2_o0,kappa_2,2.0,3,-2.518873672395674,0.6666666666666667,1.0,0.45056120886630463,0.16666666666666666,0.0,0.8333333333333334
feature_block_1,intervals_n24_d2_o0,kappa_2,2.0,4,-2.360717942934366,0.6666666666666667,1.0,0.45056120886630463,0.16666666666666666,0.0,0.8333333333333334
feature_block_1,intervals_n24_d2_o0,kappa_2,2.0,5,-2.125472971056087,0.6666666666666667,1.0,0.45056120886630463,0.16666666666666666,0.0,0.8333333333333334
feature_block_1,intervals_n24_d2_o0,kappa_2,2.0,6,-1.955683617054956,-0.3333333333333333,1.0,0.6365141682948128,0.6666666666666666,0.0,0.3333333333333333
feature_block_1,intervals_n24_d2_o0,kappa_2,2.0,7,-1.81130581486731,0.3333333333333333,1.0,0.6365141682948128,0.3333333333333333,0.0,0.6666666666666666
feature_block_1,intervals_n24_d2_o0,kappa_2,2.0,8,-1.70513797996314,0.6666666666666667,1.0,0.45056120886630463,0.16666666666666666,0.0,0.8333333333333334
feature_block_1,intervals_n24_d2_o0,kappa_2,2.0,9,-1.459132129739855,-0.3333333333333333,1.0,0.6365141682948128,0.6666666666666666,0.0,0.3333333333333333
feature_block_1,intervals_n24_d2_o0,kappa_2,2.0,10,-1.326501968991361,1.0,1.0,-0.0,0.0,0.0,1.0
feature_block_1,intervals_n24_d2_o0,kappa_2,2.0,11,-1.193267876314604,0.0,1.0,0.6931471805599453,0.5,0.0,0.5
feature_block_1,intervals_n24_d2_o0,kappa_2,2.0,12,-1.01205578829373,0.0,1.0,0.6931471805599453,0.5,0.0,0.5
feature_block_1,intervals_n24_d2_o0,kappa_2,2.0,13,-0.815390451126862,0.6666666666666667,1.0,0.45056120886630463,0.16666666666666666,0.0,0.8333333333333334
feature_block_1,intervals_n24_d2_o0,kappa_2,2.0,14,-0.582253411155328,1.0,1.0,-0.0,0.0,0.0,1.0
feature_block_1,intervals_n24_d2_o0,kappa_2,2.0,15,-0.424110634258503,0.6666666666666667,1.0,0.45056120886630463,0.16666666666666666,0.0,0.8333333333333334
feature_block_1,intervals_n24_d2_o0,kappa_2,2.0,16,-0.252363301580937,0.0,0.0,-0.0,0.0,1.0,0.0
feature_block_1,intervals_n24_d2_o0,kappa_2,2.0,17,-0.126277469898986,0.0,0.0,-0.0,0.0,1.0,0.0
feature_block_1,intervals_n24_d2_o0,kappa_2,2.0,18,0.126277469898986,-0.3333333333333333,0.3333333333333333,0.6365141682948128,0.3333333333333333,0.6666666666666666,0.0
feature_block_1,intervals_n24_d2_o0,kappa_2,2.0,19,0.252363301580937,-0.16666666666666666,0.16666666666666666,0.45056120886630463,0.16666666666666666,0.8333333333333334,0.0
