block,representation,profile,concentration,harmonic,center_a,center_b,cov_aa,cov_ab,cov_bb,axis_major,axis_minor,angle_radians,angle_degrees,contains_origin,note,feature_axis,feature_value
feature_block_1,intervals_n24_d2_o0,kappa_2,2.0,1,-0.17191405728059894,-0.08719280204294409,0.006841707765692146,-2.7149807208620472e-05,0.005106642530307225,0.20247072446530825,0.17491061411303943,3.1259500435502585,179.1037444641657,1,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test,precision,2.0
feature_block_1,intervals_n24_d2_o0,kappa_2,2.0,2,-0.049780885702787485,-0.062254830883085116,0.006861435195960738,0.00026082838848402214,0.004648627697544443,0.20320373806628544,0.16634414506470566,-3.0258340535385386,-173.36752077472025,1,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test,precision,2.0
feature_block_1,intervals_n24_d2_o0,kappa_6,6.0,1,-0.1261146038308416,-0.10748072691744008,0.004260293653641409,-0.0004052031442528648,0.00493646642590968,0.17525086891809444,0.15617040343272856,2.0085217607228785,115.07981994960593,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test,precision,2.0
feature_block_1,intervals_n24_d2_o0,kappa_6,6.0,2,0.006786381671948513,-0.23439184137027338,0.004994561439725566,-0.0002029441660118667,0.0042240360459420406,0.17385457270067883,0.15813755898109907,2.899176556126197,166.1105807293039,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test,precision,2.0
feature_block_1,intervals_n24_d2_o0,kappa_9,9.0,1,-0.1246745384039764,0.0180058469651213,0.0037144171174964993,6.0744369242988825e-05,0.004529891130646407,0.16482610129494726,0.14909002956631912,1.496850552871242,85.76321924134605,1,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test,precision,2.0
feature_block_1,intervals_n24_d2_o0,kappa_9,9.0,2,0.033310777021259216,-0.1438210838161935,0.004018680433901461,-0.0002683772404573837,0.004071032838739687,0.16078003032768953,0.15039618385160422,2.3075807042753573,132.21463524080409,1,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test,precision,2.0
feature_block_1,intervals_n24_d2_o0,kappa_12,12.0,1,-0.12884939941775617,0.011261149197286246,0.004065986500757869,-0.0002690998832100165,0.004927753202976638,0.17316629690199128,0.15459335754842163,1.849927213736193,105.99302175347964,1,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test,precision,2.0
feature_block_1,intervals_n24_d2_o0,kappa_12,12.0,2,0.07137250961824049,-0.22492626445669775,0.004447894360088074,0.0003523010156326222,0.004264502960420851,0.1681699564053541,0.15465731611782577,-2.483508039428832,-142.29452904608172,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test,precision,2.0
feature_block_1,intervals_n24_d3_o0,kappa_2,2.0,1,0.1793524947061978,-0.020896619600416874,0.0053490263273639005,-0.00029425269342085015,0.0059035812014077305,0.19008475702712577,0.17688240222558638,1.978341753789854,113.35063292666807,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test,precision,3.0
feature_block_1,intervals_n24_d3_o0,kappa_2,2.0,2,0.011294403394508731,-0.11437635990728368,0.0057666421500252195,-0.00017028403335319755,0.005815242623524385,0.18901537723257877,0.18348198597965448,2.2853209352793042,130.9392444243941,1,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test,precision,3.0
feature_block_1,intervals_n24_d3_o0,kappa_6,6.0,1,-0.14338036804797522,-0.12833545555935597,0.005015929308034414,-6.922964192162062e-05,0.00509802603971993,0.17544492262061012,0.17267450310845384,2.0885919308428056,119.66750276237227,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test,precision,3.0
feature_block_1,intervals_n24_d3_o0,kappa_6,6.0,2,0.07958728692927165,-0.1399244737175805,0.005797263749178364,0.0003069041507131811,0.004823699078050118,0.187790768688217,0.16843321949953863,-2.860329256324327,-163.8847944051774,1,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test,precision,3.0
