field_id,source_bucket,p_stay_v1,p_stay_v2_excl_replay,replay_p_stay_obs
replay_neg_N9_K-0.15_s1_t39_a05,neg,0.2258671660839045,0.015544041453049181,0.0
replay_neg_N17_K-0.15_s0_t02_a11,neg,0.10068074785828206,0.022866813560579555,0.0
replay_neg_N17_K-0.15_s1_t39_a04,neg,0.10971350853293092,0.02654867256637168,0.0
replay_neg_N9_K-0.15_s0_t02_a06,neg,0.23532288408256688,0.18947410115128083,0.0
replay_neg_N9_K-0.15_s1_t02_a05,neg,0.22318043627236717,0.015544041453869516,0.0
replay_neg_N17_K-0.15_s1_t20_a09,neg,0.10000000000000003,0.02654867256637168,0.0
replay_neg_N17_K-0.15_s0_t39_a11,neg,0.09166065979821113,0.02286228334154318,0.0
replay_neg_N17_K-0.15_s1_t02_a15,neg,0.1097181489179652,0.02654867256637168,0.0
replay_neg_N9_K-0.15_s0_t39_a03,neg,0.23042160959338895,0.015544041450857379,0.0
replay_neg_N9_K-0.15_s1_t20_a03,neg,0.22515323545310859,0.2787162172299863,0.0
replay_neg_N17_K-0.15_s0_t20_a14,neg,0.10346838933650442,0.026548672566371678,0.0
replay_neg_N9_K-0.15_s0_t20_a07,neg,0.23758886165183693,0.015544041450817205,0.0
replay_pos_N9_K+0.15_s1_t39_a05,pos,0.06767842877779018,0.010989010989010986,0.0
replay_pos_N17_K+0.15_s0_t02_a11,pos,0.09999999999999998,0.02654867256637168,0.0
replay_pos_N17_K+0.15_s1_t39_a04,pos,0.13966523551280877,0.015544041450777202,0.0
replay_pos_N9_K+0.15_s0_t02_a06,pos,0.03846153846153849,0.010989010989010988,0.0
replay_pos_N9_K+0.15_s1_t02_a05,pos,0.20969151308383427,0.01554404147142498,0.0
replay_pos_N17_K+0.15_s1_t10_a09,pos,0.1314541035850831,0.015544041450777202,0.0
replay_pos_N17_K+0.15_s0_t39_a11,pos,0.1396468860462463,0.015544041450777202,0.0
replay_pos_N17_K+0.15_s1_t02_a15,pos,0.10000000000000002,0.026548672566371674,0.0
replay_pos_N9_K+0.15_s0_t39_a03,pos,0.03952497857375295,0.010989010989010988,0.0
replay_pos_N9_K+0.15_s1_t10_a03,pos,0.03846153846153848,0.010989010989010988,0.0
replay_pos_N17_K+0.15_s0_t10_a14,pos,0.13808310507025914,0.0155440414507772,0.0
replay_pos_N9_K+0.15_s0_t10_a07,pos,0.09596002861888647,0.010989010989010986,0.0
replay_zero_N17_K+0_s1_t39_a08,zero,0.10971798926982122,0.02654867256637168,0.0
replay_zero_N17_K+0_s0_t20_a13,zero,0.09999999999999994,0.026548672566371678,0.0
replay_zero_N17_K+0_s1_t20_a13,zero,0.11944442353187183,0.01921210447763712,0.0
replay_zero_N17_K+0_s0_t00_a07,zero,0.0805030334666047,0.015544041450777204,0.0
replay_zero_N17_K+0_s1_t00_a09,zero,0.1,0.02654867256637168,0.0
replay_zero_N9_K+0_s1_t20_a00,zero,0.21721982901831394,0.015544041463415589,0.0
replay_anchor_control_exact_antipodal_8_8_r00,stage_b_anchor,0.9009615384615379,0.9056267806267803,1.0
replay_anchor_control_small_imbalance_9_7_r00,stage_b_anchor,0.12500000000000003,0.024714567380439267,0.0
replay_anchor_control_lowrisk_sparse_N8_unimodal_k6,stage_b_anchor,0.09618161655934633,0.14991744007288046,1.0
replay_anchor_control_sparse_N16_antipodal_equal,stage_b_anchor,0.9018162393162388,0.909330484330484,1.0
replay_anchor_al_f00_n17_p16,stage_b_anchor,0.13958122331052483,0.2922732154030878,0.0
replay_anchor_al_f10_n9_p8,stage_b_anchor,0.23791210396958204,0.015544041450817208,0.0
