block,representation,M,a1,b1,phi1_raw_degrees
block_1,moments_m1_m3,2,0.9991261075551152,0.7958340715651282,38.53837877230045
block_1,moments_m1_m3,4,0.9872289882671486,0.7759174075784145,38.16574763260627
block_1,moments_m1_m3,6,0.9965100272419319,0.7751621803711548,37.87852388788385
block_1,moments_m1_m3,8,0.9953577358920089,0.7730375632495464,37.834448197380176
block_1,moments_m1_m3,12,0.997763589288139,0.7795960501096996,38.00205738930843
block_2,moments_m1_m3,2,1.0044637120165327,0.7882448433586469,38.12276566462658
block_2,moments_m1_m3,4,0.9934253212901292,0.7679763014177021,37.706136145603594
block_2,moments_m1_m3,6,1.0026308150713998,0.7660152063388501,37.380017476717555
block_2,moments_m1_m3,8,1.0019367865861089,0.7642389663709708,37.334999459178235
block_2,moments_m1_m3,12,1.0023258769899104,0.7710169934477882,37.56848745343204
block_1,centers_24_standard,2,1.2525101691428588,0.06805873195199375,3.110271763995477
block_1,centers_24_standard,4,1.2865482057049538,0.06590207293038346,2.9323528532748573
block_1,centers_24_standard,6,1.2751026668433194,0.06250736418004585,2.8064747644670875
block_1,centers_24_standard,8,1.2634563906276939,0.06721988074331657,3.0454456081271646
block_1,centers_24_standard,12,1.2605915320471264,0.07345026696414246,3.334654720880983
block_2,centers_24_standard,2,1.2529638548488933,0.06113279314777875,2.793277405904836
block_2,centers_24_standard,4,1.2871845939018263,0.05951413372099042,2.6472364246036757
block_2,centers_24_standard,6,1.2756944184792958,0.056988005880534764,2.5578248022226004
block_2,centers_24_standard,8,1.2639991148160266,0.062315691455336664,2.822421004214348
block_2,centers_24_standard,12,1.2600405817875533,0.06890514647600281,3.1300942185995417
block_1,intervals_24_decimal6,2,1.2075616697695624,0.32983508071743933,15.277201243345433
block_1,intervals_24_decimal6,4,1.2297690399412415,0.31489623335148187,14.362631582123266
block_1,intervals_24_decimal6,6,1.2263624594958524,0.29605677783546763,13.572123167410357
block_1,intervals_24_decimal6,8,1.2281781978748012,0.29751847323789227,13.617226188191006
block_1,intervals_24_decimal6,12,1.2348838988318747,0.29594109147844677,13.476821549182299
block_2,intervals_24_decimal6,2,1.207746615345663,0.32751512842714403,15.172500952555028
block_2,intervals_24_decimal6,4,1.2300126824696798,0.3127245529969267,14.264926389562415
block_2,intervals_24_decimal6,6,1.2265741419568297,0.29412358798782706,13.48450498765857
block_2,intervals_24_decimal6,8,1.2283308494102065,0.29568157288721053,13.534634821010098
block_2,intervals_24_decimal6,12,1.2347989626546445,0.29412488700710604,13.397992459474679
