block,representation,profile,concentration,a0,a1,b1,R1,phi1,phi1_degrees,phi1_reportable,phi1_raw_degrees,a2,b2,R2,phi2,phi2_degrees,phi2_reportable,phi2_raw_degrees,activity,mean_stay,mean_entropy,entropy_units,entropy_normalized_by_log3,no_stay_directional_controller,hard_directional_controller,a0_fourier_range,a0_unweighted_mean_g,a0_density_weighted_mean_g,a0_mirror_even_mean_g,g_prime0_M6_diagnostic,g_prime0_order_range_diagnostic,g_prime0_sign_flip_diagnostic,n_fixed_points_diagnostic,family
block_1,intervals_24_decimal6,kappa_2,2.0,0.1508095654447381,0.6935995348817785,0.0104195632133934,0.6936777941420479,0.0150213184806535,0.8606581516633167,1,0.8606581516633167,0.0808749744426395,-0.0439307080431642,0.0920362352569429,,,0,-28.510493113314865,0.9826388888888892,0.0173611111111111,0.4729856488486249,nats,0,0,0,0.0065475019261528,0.1516203703703703,0.1460705608906265,0.1516203703703703,0.7551487852580432,2.7514713151370502,1,10,GPT
block_1,intervals_24_decimal6,kappa_4,4.0,0.1030031133884275,0.3619131665007272,0.0297759092289868,0.3631359867281071,0.0820887429533357,4.703338516760412,1,4.703338516760412,-0.0669419078490656,-0.0292965068139912,0.0730719121001704,,,0,-156.36385378672824,0.9849537037037036,0.0150462962962962,0.5729789380534664,nats,0,0,0,0.0137346471491202,0.1099537037037037,0.1125763830700738,0.1099537037037037,-1.21145020743417,1.425842285306009,1,12,GPT
block_1,intervals_24_decimal6,kappa_6,6.0,0.2172370759799168,0.2928128323861906,0.182247753803032,0.3448965041520049,0.5567300443651892,31.898281870256422,1,31.898281870256422,0.0509689181201291,-0.1482795739304117,0.1567949701339965,-1.2397134311318412,-71.03034740953674,1,-71.03034740953674,0.980324074074074,0.0196759259259259,0.5309696421115085,nats,0,0,0,0.0168803199196215,0.2118055555555555,0.2150810774287111,0.2118055555555555,1.896387922238337,4.096978486981601,1,18,GPT
block_1,intervals_24_decimal6,kappa_9,9.0,0.2122510055540524,0.0306418331521257,-0.0949027580841868,0.0997269042480935,,,0,-72.10597151236756,0.4492386642247331,0.0686108554972993,0.4544478264074918,0.1515558283606159,8.6835093256724,1,8.6835093256724,0.9733796296296297,0.0266203703703703,0.4842781500163309,nats,0,0,0,0.0067950427224958,0.2071759259259259,0.2087717523529428,0.2071759259259259,1.303077225451566,4.661658848068322,1,10,GPT
block_1,intervals_24_decimal6,kappa_12,12.0,0.1420211333796809,0.0537297428652539,0.1785464390613233,0.1864556681086557,1.278487757224014,73.25195264808222,1,73.25195264808222,0.4026636128435243,-0.071334213420293,0.4089334360412359,-0.1753366840870492,-10.04605199200654,1,-10.04605199200654,0.9722222222222222,0.0277777777777777,0.5272592962474967,nats,0,0,0,0.0158246661639636,0.1527777777777778,0.1437442702158268,0.1527777777777777,3.451138065485765,3.950318693114794,0,9,GPT
block_1,moments_m1_m3,kappa_2,2.0,0.012677186719996,0.9729693791136038,0.0218099977385078,0.973213793929199,0.0224121604726841,1.2841222048547296,1,1.2841222048547296,0.447028797140513,-0.064727468679653,0.4516905917490084,-0.1437954926221261,-8.238874840252397,1,-8.238874840252397,1.0,0.0,0.2165314927511668,nats,0,1,1,0.0140257196276922,0.0069444444444444,0.0073001892463134,0.0069444444444444,3.750931269165045,5.834006670391996,0,6,GPT
block_1,moments_m1_m3,kappa_4,4.0,0.110519441935558,0.9832810439855932,-0.2452473061114978,1.01340409147405,-0.2444301673026858,-14.004816972120512,1,-14.004816972120512,0.3981306699957758,0.2160077180076068,0.4529540425144024,0.4971091853892246,28.48225827998898,1,28.48225827998898,1.0,0.0,0.159810499184178,nats,0,1,1,0.0063196371308895,0.1134259259259259,0.110065416656744,0.1134259259259259,4.188152762169245,6.119203003440029,0,4,GPT
block_1,moments_m1_m3,kappa_6,6.0,0.1046411921821002,0.8628810766773323,-0.2196192964113805,0.8903911431747634,-0.2492269347361815,-14.279651501365612,1,-14.279651501365612,0.5689052524747308,0.1708909189836247,0.5940175860060078,0.2918104754651674,16.71950866185995,1,16.71950866185995,1.0,0.0,0.2060354710631847,nats,0,1,1,0.013213950431437,0.1111111111111111,0.109259983004367,0.1111111111111111,3.925985833242953,5.946139654484373,0,4,GPT
block_1,moments_m1_m3,kappa_9,9.0,-0.0157077297385564,0.9841376072181176,0.0024067173946851,0.9841405500382654,0.0024455041441844,0.1401170662435239,1,0.1401170662435239,0.4480658756042308,0.0556742765110502,0.4515115213878987,0.1236210617695227,7.082965098319704,1,7.082965098319704,1.0,0.0,0.1632704521079739,nats,0,1,1,0.0214300280710064,0.0023148148148148,-0.0128037044128357,0.0023148148148148,4.3290896203267,5.281771071453019,0,4,GPT
block_1,moments_m1_m3,kappa_12,12.0,0.0121342827524915,0.9859083155985584,-0.0610339928270113,0.9877957051165968,-0.0618274557836502,-3.5424522744348685,1,-3.5424522744348685,0.3707904083537747,0.0721159438630106,0.3777383172070473,0.1920942966218707,11.00619246496734,1,11.00619246496734,1.0,0.0,0.2200132454550412,nats,0,1,1,0.0050008357744388,0.0162037037037037,0.013576473805979,0.0162037037037037,4.205590144042837,5.672146270896861,0,7,GPT
