block,representation,profile,concentration,harmonic,center_a,center_b,cov_aa,cov_ab,cov_bb,axis_major,axis_minor,angle_radians,angle_degrees,contains_origin,note
block_1,intervals_24_decimal6,kappa_2,2.0,1,1.2603584065020208,0.16121598218440625,4.17314527534089e-06,-1.0656071404158649e-05,2.9502451815561133e-05,0.0141438876657058,0.0013101861595694805,1.9205371120283627,110.03867091746896,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,intervals_24_decimal6,kappa_2,2.0,2,-0.006760477859896022,-0.032413569387322094,1.2544172526582786e-05,-1.3893249985557391e-05,1.8795216585343385e-05,0.013386775305379073,0.0029262750580593983,2.245552999419838,128.66070953969972,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,intervals_24_decimal6,kappa_4,4.0,1,1.2405334112592739,0.23183611269811347,2.3015570993852464e-07,-2.1018967739538224e-06,1.9195570031860335e-05,0.010788352380406875,0.0,1.679860870384785,96.24893804222121,1,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,intervals_24_decimal6,kappa_4,4.0,2,0.043611426914614865,-0.12238289472447669,5.369830905489046e-07,-3.4122494878394306e-06,2.168307861493089e-05,0.011538228284400246,0.0,1.726885442665379,98.94324756730713,1,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,intervals_24_decimal6,kappa_6,6.0,1,1.232020006085715,0.22794091644981365,3.09420996742576e-05,2.893173214152566e-06,3.61907871109643e-05,0.01498383882573446,0.0133307496099463,1.1537550387378521,66.10529431163172,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,intervals_24_decimal6,kappa_6,6.0,2,0.05118275958343434,-0.16110736038337867,7.472324395682323e-06,-2.028431959825959e-05,6.294445345136633e-05,0.020416369834683822,0.0022519926211209203,1.8865199648973825,108.08963195578824,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,intervals_24_decimal6,kappa_9,9.0,1,1.237501209244013,0.201670060923544,2.800064251840181e-06,-1.9064572576494267e-06,4.6076966644921196e-05,0.016630415754530725,0.004034138026555781,1.614735403781834,92.51752366705192,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,intervals_24_decimal6,kappa_9,9.0,2,0.052191654631636455,-0.16332066930518996,8.185945242487439e-06,-3.30856740754613e-06,3.6455694828333734e-05,0.014856381896251046,0.006837888618705645,1.6857621305039887,96.58705534086045,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,intervals_24_decimal6,kappa_12,12.0,1,1.2263589667352686,0.2960886754679582,4.2286673513153204e-08,-3.8618300046653623e-07,3.5268158372151917e-06,0.004624300072229629,1.5423654530622543e-11,1.6798608703847484,96.24893804221911,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,intervals_24_decimal6,kappa_12,12.0,2,0.023797616049563847,-0.08670220075358982,9.866028802068741e-08,-6.269350435682308e-07,3.983847571694549e-06,0.0049457255387630955,3.671564164567052e-11,1.726885442665379,98.94324756730713,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
