block,representation,profile,concentration,fourier_order,g_prime0,n_fixed_points_fitted,status
block_1,centers_24_standard,kappa_4,4.0,2,1.3887397070337588,2,diagnostic_only_not_primary
block_1,centers_24_standard,kappa_4,4.0,4,2.9500997907103965,2,diagnostic_only_not_primary
block_1,centers_24_standard,kappa_4,4.0,6,4.3740420625606715,2,diagnostic_only_not_primary
block_1,centers_24_standard,kappa_4,4.0,8,5.815406744351474,2,diagnostic_only_not_primary
block_1,centers_24_standard,kappa_4,4.0,12,7.76989126804552,2,diagnostic_only_not_primary
block_1,centers_24_standard,kappa_6,6.0,2,1.3887397070337588,2,diagnostic_only_not_primary
block_1,centers_24_standard,kappa_6,6.0,4,2.9500997907103965,2,diagnostic_only_not_primary
block_1,centers_24_standard,kappa_6,6.0,6,4.3740420625606715,2,diagnostic_only_not_primary
block_1,centers_24_standard,kappa_6,6.0,8,5.815406744351474,2,diagnostic_only_not_primary
block_1,centers_24_standard,kappa_6,6.0,12,7.76989126804552,2,diagnostic_only_not_primary
block_1,centers_24_standard,kappa_9,9.0,2,1.1884972609952893,2,diagnostic_only_not_primary
block_1,centers_24_standard,kappa_9,9.0,4,2.649172733683356,2,diagnostic_only_not_primary
block_1,centers_24_standard,kappa_9,9.0,6,3.5498298042935486,2,diagnostic_only_not_primary
block_1,centers_24_standard,kappa_9,9.0,8,4.152772659249258,2,diagnostic_only_not_primary
block_1,centers_24_standard,kappa_9,9.0,12,4.684371928403655,2,diagnostic_only_not_primary
block_1,centers_24_standard,kappa_12,12.0,2,1.2522864739224324,2,diagnostic_only_not_primary
block_1,centers_24_standard,kappa_12,12.0,4,2.4976889445618164,2,diagnostic_only_not_primary
block_1,centers_24_standard,kappa_12,12.0,6,3.4167180782018036,2,diagnostic_only_not_primary
block_1,centers_24_standard,kappa_12,12.0,8,4.203324881435359,2,diagnostic_only_not_primary
block_1,centers_24_standard,kappa_12,12.0,12,4.689266681236812,2,diagnostic_only_not_primary
block_2,intervals_24_decimal6,kappa_2,2.0,2,1.2612930363381745,2,diagnostic_only_not_primary
block_2,intervals_24_decimal6,kappa_2,2.0,4,2.4890767054004,2,diagnostic_only_not_primary
block_2,intervals_24_decimal6,kappa_2,2.0,6,3.389559246117835,2,diagnostic_only_not_primary
block_2,intervals_24_decimal6,kappa_2,2.0,8,4.168982167591807,2,diagnostic_only_not_primary
block_2,intervals_24_decimal6,kappa_2,2.0,12,4.860628638768842,2,diagnostic_only_not_primary
block_2,intervals_24_decimal6,kappa_4,4.0,2,1.3497733605089846,2,diagnostic_only_not_primary
block_2,intervals_24_decimal6,kappa_4,4.0,4,2.7420592193535147,2,diagnostic_only_not_primary
block_2,intervals_24_decimal6,kappa_4,4.0,6,3.822714332905017,2,diagnostic_only_not_primary
block_2,intervals_24_decimal6,kappa_4,4.0,8,4.659175229629251,2,diagnostic_only_not_primary
block_2,intervals_24_decimal6,kappa_4,4.0,12,5.032576046503536,2,diagnostic_only_not_primary
block_2,intervals_24_decimal6,kappa_6,6.0,2,1.3630369719078919,2,diagnostic_only_not_primary
block_2,intervals_24_decimal6,kappa_6,6.0,4,2.8033148238822854,2,diagnostic_only_not_primary
block_2,intervals_24_decimal6,kappa_6,6.0,6,4.002276021581301,2,diagnostic_only_not_primary
block_2,intervals_24_decimal6,kappa_6,6.0,8,4.993647169938503,2,diagnostic_only_not_primary
block_2,intervals_24_decimal6,kappa_6,6.0,12,5.839268260296476,2,diagnostic_only_not_primary
block_2,intervals_24_decimal6,kappa_9,9.0,2,1.3733590896363805,2,diagnostic_only_not_primary
block_2,intervals_24_decimal6,kappa_9,9.0,4,2.832806554198718,2,diagnostic_only_not_primary
block_2,intervals_24_decimal6,kappa_9,9.0,6,4.068515585153084,2,diagnostic_only_not_primary
block_2,intervals_24_decimal6,kappa_9,9.0,8,5.23482897963763,2,diagnostic_only_not_primary
block_2,intervals_24_decimal6,kappa_9,9.0,12,6.9812212678680385,2,diagnostic_only_not_primary
block_2,intervals_24_decimal6,kappa_12,12.0,2,1.2800074114918836,2,diagnostic_only_not_primary
block_2,intervals_24_decimal6,kappa_12,12.0,4,2.3789795380997,2,diagnostic_only_not_primary
block_2,intervals_24_decimal6,kappa_12,12.0,6,2.9582648859331964,2,diagnostic_only_not_primary
block_2,intervals_24_decimal6,kappa_12,12.0,8,3.129475544384876,2,diagnostic_only_not_primary
block_2,intervals_24_decimal6,kappa_12,12.0,12,3.0982481545263583,2,diagnostic_only_not_primary
block_2,moments_m1_m3,kappa_2,2.0,2,0.8700791945410751,2,diagnostic_only_not_primary
block_2,moments_m1_m3,kappa_2,2.0,4,0.1718468748570845,2,diagnostic_only_not_primary
