n_agents,peer_count,n_steps,coupling,omega_halfwidth,seed,final_r,mean_r,q_high_risk,q_peer_reject,mean_R_proxy_note
9,8,100,-0.15,0.05,2026081417,0.26700269231199686,0.18435659361446835,0.0,0.0,u_ensemble=0 single-model
9,8,100,-0.15,0.05,2026081427,0.005479545898943385,0.10378531925043928,0.0,0.0,u_ensemble=0 single-model
9,8,100,0.0,0.05,2026081417,0.2338739504576905,0.24987399622753023,0.0,0.0,u_ensemble=0 single-model
9,8,100,0.0,0.05,2026081427,0.2715142939043153,0.13863142699711653,0.0,0.0,u_ensemble=0 single-model
9,8,100,0.15,0.05,2026081417,0.9759427417076387,0.8917937110895464,0.0,0.0,u_ensemble=0 single-model
9,8,100,0.15,0.05,2026081427,0.9920482820999014,0.8111984963585437,0.0,0.0,u_ensemble=0 single-model
17,16,100,-0.15,0.05,2026089417,0.14866146191209442,0.12650413286674275,0.0,0.0,u_ensemble=0 single-model
17,16,100,-0.15,0.05,2026089427,0.12986941437426516,0.08113547179131324,0.0,0.0,u_ensemble=0 single-model
17,16,100,0.0,0.05,2026089417,0.35612561370874035,0.23273459939529947,0.0,0.0,u_ensemble=0 single-model
17,16,100,0.0,0.05,2026089427,0.2508524070559334,0.1030588700799989,0.0,0.0,u_ensemble=0 single-model
17,16,100,0.15,0.05,2026089417,0.9933938320888236,0.8736154624729167,0.0,0.0,u_ensemble=0 single-model
17,16,100,0.15,0.05,2026089427,0.9933652568613742,0.7771208734803136,0.0,0.0,u_ensemble=0 single-model
