representation,n_offsets,broad_a1,narrow_a1,broad_a2,narrow_a2,narrow_minus_broad_a2,broad_a0,narrow_a0,broad_activity,narrow_activity,switching_probability,passes
baseline_intervals_24_decimal6,48,0.5714413384887697,-0.03852128578230945,0.11397046376188573,0.33176266305613455,0.2177921992942488,0.017916666666666664,0.01208333333333333,0.9104166666666668,0.8483333333333333,1.0,True
centers_24_half_shift,36,0.6082686168155687,-0.31838332102304795,0.022174770747132724,0.28348420758631837,0.26130943683918567,-0.3458333333333333,-0.2048611111111111,0.9694444444444444,0.9493055555555555,0.0,False
centers_24_standard,36,0.6805423476666173,-0.24168106313586632,0.1541282622694829,-0.09428751747289814,-0.24841577974238105,-0.32916666666666666,-0.34305555555555556,0.9430555555555556,0.9208333333333333,0.0,False
counts_100,36,0.37796876924793793,-0.38253531554260145,0.26577480620571137,0.3078139928323639,0.042039186626652514,-0.06458333333333333,0.16319444444444442,0.8604166666666667,0.9173611111111113,0.0,False
intervals_12,36,0.35243598615171284,-0.1750573347226862,0.40961988201388977,0.47505974958984365,0.06543986757595388,0.061111111111111116,0.38055555555555565,0.9430555555555556,0.9402777777777778,0.1368,False
intervals_24_decimal4,36,0.8001545105767454,0.25907290853958803,0.1827269512635943,0.22799473194010003,0.04526778067650572,-0.17013888888888895,-0.20208333333333334,0.9395833333333334,0.9159722222222223,0.0022,False
intervals_48,36,1.0376836207484912,0.9024158871764121,0.19793475719149423,0.3249127539783695,0.12697799678687527,-0.12083333333333335,-0.28611111111111115,0.9486111111111111,0.9444444444444444,0.0,False
moments_m1_m3,36,1.0267585956330985,1.0483659218316275,0.36351113152350717,0.3383975777645667,-0.025113553758940477,0.04722222222222223,0.12708333333333333,0.9763888888888889,0.9729166666666667,0.0,False
