representation,scheme,fold,row_index,e_tv,e_nll,d_shape,d_native,d_orientation,local_density,u_ensemble,g_peer,policy_a,peer_count
intervals_24_decimal6,leave_one_profile_out,kappa_2,0,0.1213585733350495,0.7599423785835323,6.290266236641657,1.96005377949387,3.043468426636974,0.15897578296048326,0.06556882551611459,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,1,0.11947625143375909,0.7507658848309284,6.256441552245607,1.96005377949387,3.127544948534993,0.1598352660452926,0.06079426075032277,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,2,0.15584466161113708,0.7541911863549192,6.16962891851888,1.9600537794938704,3.2407394257279947,0.16208430250940706,0.043266838928244435,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,3,0.4958811520949756,0.9844153591147555,6.037964834201309,1.96005377949387,3.202618173312599,0.1656187188000207,0.10865024471355533,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,4,0.030950310668478108,0.6358031890463062,6.15860648662128,1.9600537794938702,3.2913038138728474,0.16237439462520645,0.15955789307327412,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,5,0.2992639131273445,0.3556239437577405,6.322149898985407,1.96005377949387,3.3470410814440217,0.158174041422283,0.15366571986605726,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,6,0.18062448582554136,0.5456009321825035,6.401483912443807,1.9600537794938702,3.0610993081800038,0.15621378006685385,0.11732411014160012,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,7,0.11409883164879345,0.6520189262846353,6.214038420982359,1.9600537794938704,2.993283119970917,0.16092594416915643,0.07591393624365426,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,8,0.40649996799038524,0.6057951562891266,6.061913885339144,1.9600537794938702,3.3278660979831414,0.16496440215333963,0.05541732496052243,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,9,0.41490440686868046,0.695226175903536,6.028070765811963,1.96005377949387,3.2838464169189083,0.16589055418384807,0.05460056075003141,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,10,0.06233245825908638,0.7128223243985156,6.22404371406919,1.96005377949387,3.0373624220885054,0.16066725202130921,0.05339599918098185,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,11,0.026785066692839497,0.7064561459727106,6.378739575808669,1.9600537794938704,3.0777698912879696,0.15677078333664757,0.0536031069199269,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,12,0.11962388567215433,0.7449748564026999,6.331980535308703,1.9600537794938704,3.1712299209684582,0.1579284703141064,0.07680828385338002,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,13,0.25322823533725153,0.6117151708150811,6.177506845408369,1.96005377949387,3.3163426545378516,0.1618776028946503,0.06848829584120979,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,14,0.14304736338563165,0.668992752621805,6.054462203904561,1.9600537794938702,3.3051823593048733,0.1651674362348969,0.06071381961950445,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,15,0.23607767948963032,0.6516188123118664,6.152511442681115,1.96005377949387,3.1012299492683315,0.1625352523626066,0.06043921818041562,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,16,0.26764916035932323,0.810167692724586,6.24202606148356,1.96005377949387,3.097370886380454,0.16020439359753766,0.07676815523447185,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,17,0.1368639930197498,1.1599431192663783,6.282165397991907,1.96005377949387,3.3417873797778963,0.15918078188766724,0.08628651841105091,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,18,0.40489720979535293,1.2244452236207783,6.282165397991904,1.9600537794938704,3.3417873797778954,0.1591807818876673,0.06979120884110275,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,19,0.21655917745117717,0.884994837879868,6.242026061483557,1.9600537794938702,3.0973708863804537,0.16020439359753774,0.05598270642398643,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,20,0.32309590331793514,0.8454127125352048,6.152511442681112,1.9600537794938702,3.1012299492683324,0.1625352523626067,0.0443802682018375,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,21,0.2914181943082123,0.5211706103275797,6.05446220390456,1.96005377949387,3.305182359304872,0.16516743623489694,0.04331432789706082,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,22,0.03282287535468524,0.5957543966551282,6.177506845408367,1.96005377949387,3.316342654537852,0.1618776028946504,0.1052195154158903,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,23,0.19684480085906986,0.3260809264341927,6.331980535308705,1.96005377949387,3.171229920968461,0.15792847031410634,0.13050126909995238,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,24,0.22914482086851345,0.2602547581703493,6.378739575808669,1.96005377949387,3.0777698912879683,0.15677078333664757,0.14688166655782647,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,25,0.16501561450123725,0.2935440264060999,6.224043714069191,1.96005377949387,3.0373624220885054,0.1606672520213092,0.17415207375738093,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,26,0.23399846263702134,0.26657110224228225,6.028070765811963,1.9600537794938702,3.3295585836915915,0.16589055418384807,0.17178089477565558,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,27,0.36359170784993566,0.45191495282642125,6.061913885339146,1.9600537794938702,3.327866097983144,0.16496440215333957,0.11083544419057818,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,28,0.3687475261818492,0.5461806847241677,6.214038420982359,1.9600537794938702,2.9932831199709167,0.16092594416915643,0.08635012148267097,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,29,0.31014163372357684,0.6116459910954499,6.401483912443807,1.9600537794938704,3.061099308180002,0.15621378006685385,0.08066642101066895,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,30,0.42738094295147305,0.5575346052643164,6.322149898985408,1.9600537794938704,3.347041081444021,0.15817404142228295,0.09668393634009521,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,31,0.3571758419245759,0.6746627122459476,6.158606486621276,1.9600537794938704,3.2913038138728483,0.16237439462520656,0.06605221060104073,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,32,0.02884263214232677,0.7224641877478698,6.037964834201305,1.9600537794938704,3.264296437670425,0.16561871880002077,0.045524246689883564,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,33,0.0839770679948933,0.7450210302433028,6.169628918518879,1.9600537794938704,3.2918778848575343,0.16208430250940709,0.07866557702251074,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,34,0.20860205861750525,0.8137761595298354,6.256441552245607,1.96005377949387,3.1275449485349927,0.1598352660452926,0.09958949341616374,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,35,0.15009113727718518,0.8788693979368166,6.290266236641655,1.9600537794938702,3.043468426636974,0.15897578296048334,0.08335650863036918,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,180,0.0866091687989685,0.7846262650630895,6.290266236641657,1.96005377949387,3.043468426636974,0.15897578296048326,0.06556882551611459,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,181,0.11947625143375909,0.7507658848309284,6.256441552245607,1.96005377949387,3.127544948534993,0.1598352660452926,0.06079426075032277,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,182,0.06920920981758273,0.7530222231980549,6.16962891851888,1.9600537794938704,3.2407394257279947,0.16208430250940706,0.043266838928244435,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,183,0.2875478187616422,0.857020228098785,6.037964834201309,1.96005377949387,3.202618173312599,0.1656187188000207,0.10865024471355533,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,184,0.10894967915561915,0.7167757329214801,6.15860648662128,1.9600537794938702,3.2913038138728474,0.16237439462520645,0.15955789307327412,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,185,0.2992639131273445,0.3556239437577405,6.322149898985407,1.96005377949387,3.3470410814440217,0.158174041422283,0.15366571986605726,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,186,0.13895781915887467,0.5753451356809328,6.401483912443807,1.9600537794938702,3.0610993081800038,0.15621378006685385,0.11732411014160012,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,187,0.030765498315460108,0.6896011184958232,6.214038420982359,1.9600537794938704,2.993283119970917,0.16092594416915643,0.07591393624365426,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,188,0.44816663465705187,0.594509152657001,6.061913885339144,1.9600537794938702,3.3278660979831414,0.16496440215333963,0.05541732496052243,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,189,0.16490440686868046,0.7120181310316646,6.028070765811963,1.96005377949387,3.2838464169189083,0.16589055418384807,0.05460056075003141,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,190,0.1456657915924197,0.7006585710438326,6.22404371406919,1.96005377949387,3.0373624220885054,0.16066725202130921,0.05339599918098185,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,191,0.1706165175148592,0.7574668463201415,6.378739575808669,1.9600537794938704,3.0777698912879696,0.15677078333664757,0.0536031069199269,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,192,0.24462388567215432,0.8003798276066744,6.331980535308703,1.9600537794938704,3.1712299209684582,0.1579284703141064,0.07680828385338002,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,193,0.1282282353372515,0.6620920576147578,6.177506845408369,1.96005377949387,3.3163426545378516,0.1618776028946503,0.06848829584120979,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,194,0.22638069671896494,0.6408301188389304,6.054462203904561,1.9600537794938702,3.3051823593048733,0.1651674362348969,0.06071381961950445,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,195,0.3194110128229637,0.6260618833047246,6.152511442681115,1.96005377949387,3.1012299492683315,0.1625352523626066,0.06043921818041562,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,196,0.10098249369265658,0.7558765452879929,6.24202606148356,1.96005377949387,3.097370886380454,0.16020439359753766,0.07676815523447185,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,197,0.15950646906156024,1.0303866201188097,6.282165397991907,1.96005377949387,3.3417873797778963,0.15918078188766724,0.08628651841105091,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,198,0.22742423841011153,1.2852115436378782,6.282165397991904,1.9600537794938704,3.3417873797778954,0.1591807818876673,0.06979120884110275,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,199,0.13322584411784383,0.8344999793077236,6.242026061483557,1.9600537794938702,3.0973708863804537,0.16020439359753774,0.05598270642398643,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,200,0.07309590331793517,0.7524275231901387,6.152511442681112,1.9600537794938702,3.1012299492683324,0.1625352523626067,0.0443802682018375,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,201,0.24975152764154562,0.5469528392530864,6.05446220390456,1.96005377949387,3.305182359304872,0.16516743623489694,0.04331432789706082,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,202,0.14563153743677093,0.4556653178516543,6.177506845408367,1.96005377949387,3.316342654537852,0.1618776028946504,0.1052195154158903,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,203,0.03963231935020693,0.59408472916515,6.331980535308705,1.96005377949387,3.171229920968461,0.15792847031410634,0.13050126909995238,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,204,0.22914482086851345,0.2602547581703493,6.378739575808669,1.96005377949387,3.0777698912879683,0.15677078333664757,0.14688166655782647,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,205,0.12334894783457054,0.35555656948936076,6.224043714069191,1.96005377949387,3.0373624220885054,0.1606672520213092,0.17415207375738093,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,206,0.23399846263702134,0.26657110224228225,6.028070765811963,1.9600537794938702,3.3295585836915915,0.16589055418384807,0.17178089477565558,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,207,0.36359170784993566,0.45191495282642125,6.061913885339146,1.9600537794938702,3.327866097983144,0.16496440215333957,0.11083544419057818,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,208,0.3687475261818492,0.5461806847241677,6.214038420982359,1.9600537794938702,2.9932831199709167,0.16092594416915643,0.08635012148267097,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,209,0.35180830039024347,0.5981574135362137,6.401483912443807,1.9600537794938704,3.061099308180002,0.15621378006685385,0.08066642101066895,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,210,0.38571427628480637,0.5724878715413905,6.322149898985408,1.9600537794938704,3.347041081444021,0.15817404142228295,0.09668393634009521,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,211,0.3155091752579093,0.680177097151871,6.158606486621276,1.9600537794938704,3.2913038138728483,0.16237439462520656,0.06605221060104073,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,212,0.310955829245421,0.7283122044595901,6.037964834201305,1.9600537794938704,3.264296437670425,0.16561871880002077,0.045524246689883564,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,213,0.12495812341631138,0.7010230752484284,6.169628918518879,1.9600537794938704,3.2918778848575343,0.16208430250940709,0.07866557702251074,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,214,0.06475313839809022,0.7466681790815418,6.256441552245607,1.96005377949387,3.1275449485349927,0.1598352660452926,0.09958949341616374,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,215,0.0800130375518263,0.7752410980198082,6.290266236641655,1.9600537794938702,3.043468426636974,0.15897578296048334,0.08335650863036918,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_4,36,0.5127602408327321,0.8847385706195824,4.380521458937422,1.0875059908678921,2.933563193425885,0.22828332411424113,0.015451970864452528,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_4,37,0.3817934379291295,0.5691319434473346,4.382056106633748,1.08750599086756,2.934079040902155,0.2282033766035438,0.04112451213928977,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_4,38,0.09563550067900954,1.031469889203743,4.388156621443529,1.0875059908681566,3.080658728881755,0.22788612309627174,0.05483237497616475,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_4,39,0.022257952771808028,0.659272942675018,4.439807143541409,1.0875059908680418,3.0468512206174627,0.22523500856443748,0.16284011920563315,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_4,40,0.031667190759083606,0.6275351778066137,4.527667357656522,1.0875059908673281,3.018718165183068,0.2208642819815258,0.16169955936643524,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_4,41,0.32429458193649946,0.5596874844312075,4.925159123495346,1.0875059908674367,3.043625304882452,0.20303912521922904,0.0933832910133543,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_4,42,0.022930984790986576,0.7023915737052038,5.243214132151601,1.0875059908681495,2.8144402567410376,0.19072270839902564,0.07519007380451616,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_4,43,0.17930842248588783,0.6458338771515358,5.277149989125864,1.0875059908673794,2.7126163692427783,0.18949622467820842,0.07571014216031886,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_4,44,0.02332982194200075,0.7029786833282582,5.394780797040901,1.0875059908681557,2.8695196747990774,0.18536434335728924,0.08265632300837096,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_4,45,0.17905977919105637,0.7609712199523808,5.388470682624013,1.0875059908681135,2.9467732066756827,0.18558141240791384,0.08399840892316102,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_4,46,0.16581729046165583,0.7518057517591997,5.246601737110498,1.0875059908673623,2.7120786547956786,0.19059956331862493,0.06959030040626431,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_4,47,0.21668961532091618,0.8051568574053357,5.273762234766486,1.08750599086813,2.8912484630210735,0.18961795308245982,0.13010765660063014,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_4,48,0.39066076377860737,0.8385628070484962,4.908832589534157,1.0875059908674654,3.1345338646334473,0.20371442328916312,0.0837126946690981,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_4,49,0.05879112648435916,0.7083574350921796,4.575833442571838,1.0875059908674298,3.1829519334692176,0.21853942293798875,0.06074979419247461,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_4,50,0.09183781830235568,0.7271487017147948,4.422659680960501,1.0875059908676739,3.0277282895074995,0.22610828599473493,0.04830762630892164,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_4,51,0.16546713460967533,0.7701381295331434,4.390778310788167,1.0875059908680447,2.9858814096916473,0.22775005459578646,0.07784174338805704,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_4,52,0.6316571964502404,1.0943857441973777,4.38300480640032,1.0875059908673368,2.917235321832066,0.2281539820672205,0.0896183557844034,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_4,53,0.2622818328213505,0.8318050532829208,4.380745239434554,1.0875059908681548,2.832867389434577,0.228271662775139,0.09814082873772856,0,0.0,240.0
