representation,scheme,fold,row_index,e_tv,e_nll,d_shape,d_native,d_orientation,local_density,u_ensemble,g_peer,policy_a,peer_count
intervals_24_decimal6,leave_one_profile_out,kappa_2,0,0.12313405879003336,0.7600784627373903,6.34499938493767,1.96005377949387,3.1014562312236356,0.15760442820118942,0.06447893584079088,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,1,0.11994847684563531,0.7494057828107245,6.311259582681136,1.96005377949387,3.1740986889829235,0.15844697669291272,0.060080076589855536,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,2,0.15656157495474016,0.7544867928344492,6.224674235497761,1.9600537794938704,3.314078614775783,0.16065097741135592,0.04347103437911678,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,3,0.4983274977416023,0.9890485446466761,6.093381788607494,1.96005377949387,3.2535480952476825,0.16411248050625227,0.11072191230523203,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,4,0.030825548479190945,0.6357612851136859,6.21368165317376,1.9600537794938702,3.3535312050332755,0.1609351839724892,0.1595614426286671,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,5,0.29796796102382106,0.353776236430573,6.376804716401843,1.96005377949387,3.3660896320691376,0.15681835095684993,0.15359616605463433,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,6,0.18636218022714376,0.549983819329385,6.455951838168663,1.9600537794938702,3.1198297818295986,0.15489582714787822,0.11246310984422463,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,7,0.10975297097361089,0.6500556226403623,6.268965750315908,1.9600537794938704,3.0190956590067666,0.1595159456644994,0.07770916134642449,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,8,0.40585646848041546,0.604720441179763,6.117260627245541,1.9600537794938702,3.3577633524946715,0.16347186443979853,0.05551935491468855,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,9,0.4177274181461266,0.6998728174249923,6.083516905748107,1.96005377949387,3.2868154054492353,0.1643786013079267,0.05452392424435584,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,10,0.06112306136526255,0.7124844740554899,6.278944960381333,1.96005377949387,3.057716818304308,0.15926242486751596,0.05305942801254166,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,11,0.026752814440776967,0.7064065235165092,6.43325999827631,1.9600537794938704,3.165401208490492,0.15544218642926513,0.0527879449325978,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,12,0.12342609708860645,0.746797542591211,6.386611607445277,1.9600537794938704,3.242826310027734,0.156577550266911,0.07773913620774028,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,13,0.25310024310750445,0.611576305373763,6.232530870457058,1.96005377949387,3.343313784490531,0.16044846319817196,0.06677181646071621,0,0.0,240.0
intervals_24_decimal6,leave_one_profile_out,kappa_2,14,0.1413211768389366,0.6679422324815091,6.109830799183237,1.9600537794938702,3.3716407622892497,0.16367065355290694,0.05974639653304389,0,0.0,240.0
