representation,model,holdout_block,g_rmse,activity_rmse,mean_tv,mean_js,log_loss,brier,moments_stay_exact_balance,moments_stay_small_imbalance,moments_stay_gap
intervals_24_decimal6,kernel_nn,block_2,0.4235429440963242,0.19395352603959345,0.2640754149971021,0.08641607056055225,0.7699944303597032,0.1461212681416779,0.27628530110506044,0.20991824018827598,0.06636706091678446
intervals_24_decimal6,kernel_hurdle,block_2,0.427213609085367,0.21407876430753153,0.2716930579088256,0.09005221972993409,0.7732487814392239,0.16000030988503183,0.3810466401414678,0.14497540853417332,0.23607123160729446
intervals_24_decimal6,softmax_stump_boost,block_2,0.5114970127441951,0.22168678180893944,0.3071150546849917,0.10173595434651667,0.843225030687423,0.20453214086632415,0.247968616047177,0.07236259622379862,0.17560601982337837
moments_m1_m3,kernel_nn,block_2,0.4441684378757116,0.284505151366222,0.3202019223332599,0.1291050719643569,0.49649045842367817,0.2200575723333503,0.6105718884408251,0.4008155678758815,0.2097563205649436
moments_m1_m3,kernel_hurdle,block_2,0.44597215476413443,0.1221788249281651,0.2275088828861399,0.08312843099341252,0.38065815949441595,0.12183707930372337,0.8751453359858526,0.1297752080245036,0.745370127961349
moments_m1_m3,softmax_stump_boost,block_2,0.47536036825882244,0.182593224294831,0.2903455626531294,0.1087415230090105,0.5076563283962602,0.16299416819315535,0.6765278022609401,0.10057540686630652,0.5759523953946336
centers_24_standard,kernel_nn,block_2,0.45616271314312584,0.22186379904704695,0.2932402726748071,0.10454486710504202,0.7210232215297603,0.17787752842243149,0.29878135576520576,0.23297942785778816,0.0658019279074176
centers_24_standard,kernel_hurdle,block_2,0.46375995918290963,0.21969190310195177,0.2920631803086163,0.10272445073159012,0.7019824544288938,0.17993344830350305,0.44425950486295296,0.15407013341483475,0.2901893714481182
centers_24_standard,softmax_stump_boost,block_2,0.6061633348726511,0.2276749710874886,0.35336741614986056,0.1283470327850869,0.820135154474016,0.2614708329615,0.34642019148493636,0.079464153905582,0.2669560375793544
