representation,n_agents,peer_count,q_ood_canonical,q_ood_native,q_ood_peer_count,q_ood_near_zero,q_ood_combined
intervals_24_decimal6,16,15,0.5875,0.9375,1.0,0.0,1.0
intervals_24_decimal6,17,16,0.3911764705882353,0.9176470588235294,0.0,0.0,0.9294117647058823
moments_m1_m3,16,15,0.5875,0.19375,1.0,0.0,1.0
moments_m1_m3,17,16,0.3911764705882353,0.1411764705882353,0.0,0.0,0.42941176470588244
centers_24_standard,16,15,0.5875,0.9375,1.0,0.0,1.0
centers_24_standard,17,16,0.3911764705882353,0.9176470588235294,0.0,0.0,0.9294117647058823
