representation,field_id,role,bucket,peer_count,n_obs,p_retard_obs,p_stay_obs,p_advance_obs,p_retard_hat,p_stay_hat,p_advance_hat,e_tv,R_pre,R_bank_moments,d_shape,d_native,u_ensemble,g_peer,policy_a
intervals_24_decimal6,al_f00_n17_p16,active_learning,high_occupancy_high_risk,16,16,0.625,0.375,0.0,0.20243075015940842,0.13719522214316174,0.6603740276974297,0.6603740276974297,0.31891801250991947,0.4914511445274745,7.351410278776457,3.2058201499959758,0.22966790773922538,0,0.0
intervals_24_decimal6,al_f01_n17_p16,active_learning,high_occupancy_high_risk,16,16,0.75,0.25,0.0,0.36123374531764635,0.20099547933728176,0.4377707753450719,0.4377707753450719,0.28553526351664926,0.49330752787582255,6.037437411392919,2.33888508246242,0.1207545731891711,0,0.0
intervals_24_decimal6,al_f02_n17_p16,active_learning,high_occupancy_high_risk,16,16,0.9375,0.0,0.0625,0.6346712370513583,0.10047996111352112,0.26484880183512044,0.3028287629486416,0.3255522034714329,0.6341891301733826,4.3921386869767565,4.427398145951332,0.1556046154984497,0,0.0
intervals_24_decimal6,al_f03_n17_p16,active_learning,high_occupancy_high_risk,16,16,0.5,0.125,0.375,0.35175029039826805,0.2640643736272624,0.38418533597446924,0.1482497096017318,0.3548656415215716,0.6165494305501064,3.268072052621738,4.474786483935876,0.13379472624036018,0,0.0
intervals_24_decimal6,al_f04_n17_p16,active_learning,high_occupancy_high_risk,16,16,0.0,0.5625,0.4375,0.44390164976257157,0.18080972557415936,0.3752886246632691,0.4439016497625715,0.31034775666599257,0.4297651217236177,7.527487772119713,4.32637292735132,0.10042939021278441,0,0.0
intervals_24_decimal6,al_f05_n17_p16,active_learning,high_occupancy_high_risk,16,16,0.25,0.0,0.75,0.2874955016608938,0.14127375721873872,0.5712307411203675,0.17876925887963252,0.37362088617811484,0.6015426781997408,1.0304338332140457,3.9570083409917247,0.07413972619981506,0,0.0
intervals_24_decimal6,al_f06_n17_p16,active_learning,high_occupancy_high_risk,16,16,0.8125,0.0,0.1875,0.5351672598823637,0.12535270072760474,0.33948003939003174,0.2773327401176364,0.35492075585102634,0.5927109284884508,2.4810726685698614,3.8268343236508984,0.18659637783696284,0,0.0
intervals_24_decimal6,al_f07_n17_p16,active_learning,high_occupancy_high_risk,16,16,0.625,0.0,0.375,0.324689235972034,0.27787221088625136,0.3974385531417147,0.300310764027966,0.37334225072213545,0.5849109768849361,4.41771518206806,4.45222758519107,0.14315827003417025,0,0.0
intervals_24_decimal6,al_f08_n17_p16,active_learning,high_occupancy_high_risk,16,16,0.25,0.375,0.375,0.35060030498581934,0.18261450285479733,0.4667851921593832,0.1923854971452026,0.3207498015195198,0.5840810764758803,4.136884604026711,4.4349417469405585,0.09933887644946508,0,0.0
intervals_24_decimal6,al_f09_n17_p16,active_learning,high_occupancy_high_risk,16,16,0.3125,0.0,0.6875,0.2972472693617166,0.08646986824588615,0.6162828623923972,0.0864698682458862,0.2958927896183233,0.6023263602028424,4.077619111306107,3.805559079477488,0.08328137460479496,0,0.0
