representation,regime,n_agents,t,agent,peer_count_query,abs_z1,abs_z2,abs_z3,d_canonical,d_native,d_peer,policy_a,nn_train_index,nn_canonical_dist,nn_source_family,nn_profile,nn_representation,nn_peer_count,nn_abs_z1,nn_abs_z2,nn_abs_z3
intervals_24_decimal6,t0_only,9,0,0,8,0.492795242051305,0.18824639739377835,0.2999312242227562,3.2863112704361166,5.188556145229092,0.0,0,410,2.6679552411493463,stimulus_manifold,bimodal_equal_sep2_k6,intervals_24_decimal6,240,0.4929498359221393,0.28958835711343767,0.4439513934485052
intervals_24_decimal6,t0_only,9,0,1,8,0.7214618849305254,0.2795084971874736,0.2500000000000002,2.947422159600815,4.463068655025728,0.0,0,40,2.701867000764177,transmutation,kappa_4,intervals_24_decimal6,240,0.8635226110245506,0.5682386944877243,0.29528391653682157
intervals_24_decimal6,t0_only,9,0,2,8,0.6198678023814436,0.47539624287169907,0.24999999999999994,2.7972210924234275,5.027547631649873,0.0,0,65,2.0395060494541153,transmutation,kappa_4,intervals_24_decimal6,240,0.8635226110245507,0.5682386944877251,0.2952839165368304
intervals_24_decimal6,t0_only,9,0,3,8,0.49960439810364227,0.34314488523577424,0.4717427908683277,2.8695608063472773,4.746437809110494,0.0,0,413,2.5118158796392605,stimulus_manifold,bimodal_equal_sep2_k6,intervals_24_decimal6,240,0.4929498359220877,0.28958835711414227,0.44395139345139384
intervals_24_decimal6,t0_only,9,0,4,8,0.5560534308167889,0.40435329569143813,0.42677669529663675,2.8406254204357118,5.1462260218691185,0.0,0,60,2.522537562257168,transmutation,kappa_4,intervals_24_decimal6,240,0.8635226110245504,0.568238694487725,0.29528391653682967
intervals_24_decimal6,t0_only,9,0,5,8,0.5109235250727513,0.2795084971874738,0.1657067870177959,2.9132154648501927,5.052780452558321,0.0,0,14,2.812524719016556,transmutation,kappa_2,intervals_24_decimal6,240,0.697774657964008,0.302225342035992,0.09332397389202395
intervals_24_decimal6,t0_only,9,0,6,8,0.4909203925643034,0.29600715665405414,0.3952847075210475,3.001958779579756,4.975000095313786,0.0,0,410,2.3881134113379536,stimulus_manifold,bimodal_equal_sep2_k6,intervals_24_decimal6,240,0.4929498359221393,0.28958835711343767,0.4439513934485052
intervals_24_decimal6,t0_only,9,0,7,8,0.5266822833589658,0.3415063509461097,0.17677669529663695,2.8645939326821654,4.888372535588554,0.0,0,14,2.7500556293732434,transmutation,kappa_2,intervals_24_decimal6,240,0.697774657964008,0.302225342035992,0.09332397389202395
intervals_24_decimal6,k0_drift,9,0,0,8,0.492795242051305,0.18824639739377835,0.2999312242227562,3.2863112704361166,5.188556145229092,0.0,0,410,2.6679552411493463,stimulus_manifold,bimodal_equal_sep2_k6,intervals_24_decimal6,240,0.4929498359221393,0.28958835711343767,0.4439513934485052
intervals_24_decimal6,k0_drift,9,0,1,8,0.7214618849305254,0.2795084971874736,0.2500000000000002,2.947422159600815,4.463068655025728,0.0,0,40,2.701867000764177,transmutation,kappa_4,intervals_24_decimal6,240,0.8635226110245506,0.5682386944877243,0.29528391653682157
intervals_24_decimal6,k0_drift,9,0,2,8,0.6198678023814436,0.47539624287169907,0.24999999999999994,2.7972210924234275,5.027547631649873,0.0,0,65,2.0395060494541153,transmutation,kappa_4,intervals_24_decimal6,240,0.8635226110245507,0.5682386944877251,0.2952839165368304
intervals_24_decimal6,k0_drift,9,0,3,8,0.49960439810364227,0.34314488523577424,0.4717427908683277,2.8695608063472773,4.746437809110494,0.0,0,413,2.5118158796392605,stimulus_manifold,bimodal_equal_sep2_k6,intervals_24_decimal6,240,0.4929498359220877,0.28958835711414227,0.44395139345139384
intervals_24_decimal6,k0_drift,9,0,4,8,0.5560534308167889,0.40435329569143813,0.42677669529663675,2.8406254204357118,5.1462260218691185,0.0,0,60,2.522537562257168,transmutation,kappa_4,intervals_24_decimal6,240,0.8635226110245504,0.568238694487725,0.29528391653682967
intervals_24_decimal6,k0_drift,9,0,5,8,0.5109235250727513,0.2795084971874738,0.1657067870177959,2.9132154648501927,5.052780452558321,0.0,0,14,2.812524719016556,transmutation,kappa_2,intervals_24_decimal6,240,0.697774657964008,0.302225342035992,0.09332397389202395
intervals_24_decimal6,k0_drift,9,0,6,8,0.4909203925643034,0.29600715665405414,0.3952847075210475,3.001958779579756,4.975000095313786,0.0,0,410,2.3881134113379536,stimulus_manifold,bimodal_equal_sep2_k6,intervals_24_decimal6,240,0.4929498359221393,0.28958835711343767,0.4439513934485052
intervals_24_decimal6,k0_drift,9,0,7,8,0.5266822833589658,0.3415063509461097,0.17677669529663695,2.8645939326821654,4.888372535588554,0.0,0,14,2.7500556293732434,transmutation,kappa_2,intervals_24_decimal6,240,0.697774657964008,0.302225342035992,0.09332397389202395
intervals_24_decimal6,k0_drift,9,1,0,8,0.4633778574680429,0.15491420936593453,0.2048738751118921,3.168024744605691,5.307976681549463,0.0,0,1920,3.0765082845321787,sparse_peer,sparse_peer16_antipodal_10_6_r03_k6,intervals_24_decimal6,16,0.21991956444489003,0.24789780851606155,0.11548494156391076
intervals_24_decimal6,k0_drift,9,1,1,8,0.7024556623298319,0.30618621784789735,0.2999312242227562,3.1239336064682175,5.0506897974802545,0.0,0,40,2.5494457617417696,transmutation,kappa_4,intervals_24_decimal6,240,0.8635226110245506,0.5682386944877243,0.29528391653682157
intervals_24_decimal6,k0_drift,9,1,2,8,0.6198678023814436,0.47539624287169907,0.24999999999999994,2.7972210924234275,5.027547631649873,0.0,0,65,2.0395060494541153,transmutation,kappa_4,intervals_24_decimal6,240,0.8635226110245507,0.5682386944877251,0.2952839165368304
intervals_24_decimal6,k0_drift,9,1,3,8,0.4967952759584175,0.241481456572267,0.49999999999999994,3.32636207082168,5.434097411255582,0.0,0,497,2.8494636386899863,stimulus_manifold,asymmetric_w075_sep2_k6,intervals_24_decimal6,240,0.6247795856232543,0.4289037033103909,0.4450775747796602
intervals_24_decimal6,k0_drift,9,1,4,8,0.5560534308167889,0.40435329569143813,0.42677669529663675,2.8406254204357118,5.1462260218691185,0.0,0,60,2.522537562257168,transmutation,kappa_4,intervals_24_decimal6,240,0.8635226110245504,0.568238694487725,0.29528391653682967
intervals_24_decimal6,k0_drift,9,1,5,8,0.5266822833589658,0.3415063509461097,0.17677669529663695,2.8645939326821654,4.888372535588554,0.0,0,14,2.7500556293732434,transmutation,kappa_2,intervals_24_decimal6,240,0.697774657964008,0.302225342035992,0.09332397389202395
intervals_24_decimal6,k0_drift,9,1,6,8,0.46253598559163595,0.12500000000000006,0.2999312242227562,3.4323316277241585,5.317539506915206,0.0,0,410,2.8290323211567197,stimulus_manifold,bimodal_equal_sep2_k6,intervals_24_decimal6,240,0.4929498359221393,0.28958835711343767,0.4439513934485052
intervals_24_decimal6,k0_drift,9,1,7,8,0.5109235250727513,0.2795084971874738,0.1657067870177959,2.9132154648501927,5.052780452558321,0.0,0,14,2.812524719016556,transmutation,kappa_2,intervals_24_decimal6,240,0.697774657964008,0.302225342035992,0.09332397389202395
intervals_24_decimal6,k0_drift,9,2,0,8,0.5189471383915323,0.20930866774983045,0.23096988312782174,3.3319579170083804,5.69522726533438,0.0,0,19,3.1462328734176377,transmutation,kappa_2,intervals_24_decimal6,240,0.6977746579640081,0.30222534203599205,0.0933239738920241
