representation,distance,spearman_tv,spearman_nll,holdout_log_loss,holdout_mean_tv
intervals_24_decimal6,d_canonical,-0.33136011072437327,-0.4367345872246891,0.7699969344339606,0.26457442171556733
intervals_24_decimal6,d_native,0.07624656280828589,-0.04636157617998119,0.7699969344339606,0.26457442171556733
intervals_24_decimal6,d_combined,-0.04715480248826395,-0.1553187249032698,0.7699969344339606,0.26457442171556733
intervals_24_decimal6,d_peer,0.33218322957493285,0.21910763799748442,0.7699969344339606,0.26457442171556733
moments_m1_m3,d_canonical,-0.5495840678954639,-0.4369528530527458,0.49160404395641333,0.3184255781087102
moments_m1_m3,d_native,-0.5147056811109187,-0.3723794574854447,0.49160404395641333,0.3184255781087102
moments_m1_m3,d_combined,-0.38543629856334066,-0.23651706579049986,0.49160404395641333,0.3184255781087102
moments_m1_m3,d_peer,0.4340620050539266,0.2986190229405992,0.49160404395641333,0.3184255781087102
centers_24_standard,d_canonical,-0.4727826980807581,-0.4960870296563724,0.7206892353606625,0.2935556020735307
centers_24_standard,d_native,-0.060941261266135874,-0.14526465494579424,0.7206892353606625,0.2935556020735307
centers_24_standard,d_combined,-0.1188773598053604,-0.18933044122605977,0.7206892353606625,0.2935556020735307
centers_24_standard,d_peer,0.28460276175304106,0.15719699921122177,0.7206892353606625,0.2935556020735307
