representation,model,g_rmse,activity_rmse,mean_tv,mean_js,log_loss,brier,moments_stay_exact_balance,moments_stay_small_imbalance,moments_stay_gap
intervals_24_decimal6,kernel_nn,0.42433860446733596,0.19407621867451558,0.26457442171556733,0.08672128378541535,0.7699969344339606,0.14652999360314067,0.27595951253385986,0.20929897680663412,0.06666053572722574
intervals_24_decimal6,kernel_hurdle,0.4280069227833148,0.212782001894852,0.270772515452777,0.08966580538029394,0.7707790017770945,0.1595092334707924,0.38924111912393156,0.1461799201773517,0.24306119894657985
intervals_24_decimal6,softmax_stump_boost,0.5122663104667722,0.22099393462361228,0.3070206158216663,0.10151510672398638,0.8412920179024742,0.20446586513025786,0.24611233246774955,0.07067317418991749,0.17543915827783207
moments_m1_m3,kernel_nn,0.4414574774822936,0.28420196915945267,0.3184255781087102,0.12835556183609734,0.49160404395641333,0.21859849112368063,0.6124393438081833,0.4036393948154995,0.20879994899268384
moments_m1_m3,kernel_hurdle,0.44291377686248795,0.1160577491562097,0.22299273675933148,0.08108070565320011,0.37326933464598383,0.11829040857610545,0.8803251869658114,0.13087460536086595,0.7494505816049455
moments_m1_m3,softmax_stump_boost,0.4750446268417407,0.17615563585523691,0.2874351306636671,0.10709837787404167,0.5037552219670159,0.1593799108109486,0.6794375807213291,0.09532937740780761,0.5841082033135214
centers_24_standard,kernel_nn,0.45580018695024616,0.22294423124307897,0.2935556020735307,0.10478403137176957,0.7206892353606625,0.1784331005787909,0.2980692705364684,0.23239944286012218,0.06566982767634624
centers_24_standard,kernel_hurdle,0.4628472496990509,0.22149896036388708,0.29201890651715956,0.10266259584884696,0.7004354260560809,0.180706472440412,0.41425948183760675,0.15524242555377943,0.2590170562838273
centers_24_standard,softmax_stump_boost,0.6061981647490219,0.22752614632263948,0.3528235926896149,0.12802639388096007,0.8171731395997935,0.2613903283631879,0.3472059975301259,0.07581330339349461,0.27139269413663125
