representation,ablation,model,m_g_rmse,m_activity_rmse,m_mean_tv,m_mean_js,m_log_loss,m_brier,moments_stay_exact_balance,moments_stay_small_imbalance,moments_stay_gap
intervals_24_decimal6,canonical_only,global_empirical,0.5496537141637764,0.25887286236541956,0.3433504749397007,0.12191532075455326,0.9342260111570145,0.2515823410509154,0.09053736064498707,0.09053736064498707,0.0
intervals_24_decimal6,canonical_only,kernel_nn,0.4512411706717756,0.21283457937673372,0.28689179681572496,0.09609642761845831,0.79151652400988,0.16975713432232398,0.29101526348675805,0.21682097870019412,0.07419428478656392
intervals_24_decimal6,canonical_only,hurdle_multinomial,0.5303354814172865,0.24940712087765968,0.3479789023029708,0.12321493015598496,0.9066121601030601,0.23393372934177778,0.19161245575733366,0.1806604718856962,0.010951983871637455
intervals_24_decimal6,native_only,global_empirical,0.5496537141637764,0.25887286236541956,0.3433504749397007,0.12191532075455326,0.9342260111570145,0.2515823410509154,0.09053736064498707,0.09053736064498707,0.0
intervals_24_decimal6,native_only,kernel_nn,0.4492290687132571,0.21642728197073444,0.2880270005998267,0.09657998591725393,0.805482364681048,0.1711645306603498,0.2337691084461284,0.19141863249993962,0.042350475946188765
intervals_24_decimal6,native_only,hurdle_multinomial,0.5205384362591041,0.25609900067025315,0.3426934578392193,0.12219254486834122,0.921021402134199,0.23386017902799022,0.1379810535460852,0.13850674072504013,-0.0005256871789549311
intervals_24_decimal6,canonical_plus_native,global_empirical,0.5496537141637764,0.25887286236541956,0.3433504749397007,0.12191532075455326,0.9342260111570145,0.2515823410509154,0.09053736064498707,0.09053736064498707,0.0
intervals_24_decimal6,canonical_plus_native,kernel_nn,0.42433860446733596,0.19407621867451558,0.26457442171556733,0.08672128378541535,0.7699969344339606,0.14652999360314067,0.27595951253385986,0.20929897680663412,0.06666053572722574
intervals_24_decimal6,canonical_plus_native,hurdle_multinomial,0.5129611088253464,0.24841478367569442,0.33869615181408724,0.11995875071749054,0.8934477864239486,0.22412940670662754,0.1914729164198604,0.18120780932302896,0.010265107096831427
intervals_24_decimal6,drop_abs_z1_block,global_empirical,0.5496537141637764,0.25887286236541956,0.3433504749397007,0.12191532075455326,0.9342260111570145,0.2515823410509154,0.09053736064498707,0.09053736064498707,0.0
intervals_24_decimal6,drop_abs_z1_block,kernel_nn,0.4261008695232143,0.19696733229424282,0.2671060030238656,0.08797737926963473,0.7734809485963455,0.14897517049088566,0.2705332179098762,0.20824365735680977,0.06228956055306645
intervals_24_decimal6,drop_abs_z1_block,hurdle_multinomial,0.513701193377609,0.2493813335606994,0.33935489073599023,0.12028115313510937,0.8971800059288614,0.22523103233155903,0.18334423752570078,0.1755601376216781,0.007784099904022679
intervals_24_decimal6,drop_z2_z3,global_empirical,0.5496537141637764,0.25887286236541956,0.3433504749397007,0.12191532075455326,0.9342260111570145,0.2515823410509154,0.09053736064498707,0.09053736064498707,0.0
intervals_24_decimal6,drop_z2_z3,kernel_nn,0.43215529745504877,0.2003363113251218,0.2725485475783692,0.09007670780911191,0.7799525530265062,0.15358105701226504,0.26788512492610345,0.21390888670307812,0.05397623822302533
intervals_24_decimal6,drop_z2_z3,hurdle_multinomial,0.5161880238280218,0.24951396059690534,0.3408573139041767,0.12080562834647603,0.8990143416971408,0.2266108627708702,0.1849883263536977,0.17713312633929024,0.007855200014407454
intervals_24_decimal6,drop_peer_count,global_empirical,0.5496537141637764,0.25887286236541956,0.3433504749397007,0.12191532075455326,0.9342260111570145,0.2515823410509154,0.09053736064498707,0.09053736064498707,0.0
intervals_24_decimal6,drop_peer_count,kernel_nn,0.43090288267546484,0.19774961575912392,0.2689670874374955,0.08774997311095523,0.7778732742108725,0.15149601294833442,0.26230510506697413,0.18975022924721568,0.07255487581975845
intervals_24_decimal6,drop_peer_count,hurdle_multinomial,0.5130888038406513,0.24909398422526163,0.33801132658043465,0.11960725182385137,0.8965008188526689,0.22470177977913752,0.17959408744832556,0.16958889115770312,0.010005196290622437
intervals_24_decimal6,symmetry_only,global_empirical,0.5496537141637764,0.25887286236541956,0.3433504749397007,0.12191532075455326,0.9342260111570145,0.2515823410509154,0.09053736064498707,0.09053736064498707,0.0
intervals_24_decimal6,symmetry_only,kernel_nn,0.5267158439293559,0.21094887289535771,0.3140875690274202,0.1044114341765076,0.8372262396483428,0.20546393058683945,0.36530921912675207,0.1380606626652742,0.22724855646147787
intervals_24_decimal6,symmetry_only,hurdle_multinomial,0.5445401415044653,0.25005351548034704,0.3531344750579504,0.12512537219086278,0.9223962221422753,0.2420521237609718,0.17968539380705253,0.16903781104772075,0.01064758275933178
intervals_24_decimal6,abs_z1_only,global_empirical,0.5496537141637764,0.25887286236541956,0.3433504749397007,0.12191532075455326,0.9342260111570145,0.2515823410509154,0.09053736064498707,0.09053736064498707,0.0
intervals_24_decimal6,abs_z1_only,kernel_nn,0.5437640250415006,0.21282315232176635,0.32224029289690775,0.10738145033165648,0.8489360140037961,0.21578019871092743,0.363754734848485,0.12991336326357683,0.23384137158490814
intervals_24_decimal6,abs_z1_only,hurdle_multinomial,0.5473351747069563,0.2542022853906503,0.35535792745548045,0.12649715489300414,0.9350963699937146,0.24671609958249166,0.1540359141919809,0.1503575939151148,0.0036783202768660983
moments_m1_m3,canonical_only,global_empirical,0.7736312916414576,0.4207014729572017,0.5778645682194171,0.2654816273416922,1.0294531511254332,0.5647372817259537,0.16853759209967986,0.16853759209967986,0.0
moments_m1_m3,canonical_only,kernel_nn,0.45911353677304856,0.274889754254661,0.32201867885372903,0.12927546244365606,0.4981053089429913,0.2187391853154106,0.6104152533200118,0.3834852764102401,0.22692997690977168
moments_m1_m3,canonical_only,hurdle_multinomial,0.7005780926779407,0.37354458365665116,0.5253850058654818,0.2295224052471133,0.8361995194185763,0.45470816593896185,0.32660448220798,0.29427905593886894,0.03232542626911106
moments_m1_m3,native_only,global_empirical,0.7736312916414576,0.4207014729572017,0.5778645682194171,0.2654816273416922,1.0294531511254332,0.5647372817259537,0.16853759209967986,0.16853759209967986,0.0
moments_m1_m3,native_only,kernel_nn,0.41883489143955704,0.28198378192668244,0.3001867190535779,0.11950876397667666,0.4957238743129578,0.206983613048105,0.660894272172373,0.40909804283736784,0.2517962293350051
moments_m1_m3,native_only,hurdle_multinomial,0.7030832449007837,0.4168009219440851,0.5516304387120048,0.24910469279417263,0.9369372976727707,0.5077475374302667,0.19698768247346404,0.19700912714115795,-2.1444667693909514e-05
moments_m1_m3,canonical_plus_native,global_empirical,0.7736312916414576,0.4207014729572017,0.5778645682194171,0.2654816273416922,1.0294531511254332,0.5647372817259537,0.16853759209967986,0.16853759209967986,0.0
moments_m1_m3,canonical_plus_native,kernel_nn,0.4414574774822936,0.28420196915945267,0.3184255781087102,0.12835556183609734,0.49160404395641333,0.21859849112368063,0.6124393438081833,0.4036393948154995,0.20879994899268384
moments_m1_m3,canonical_plus_native,hurdle_multinomial,0.6703833807806673,0.3735207114659384,0.510271893923511,0.22204842497423058,0.7995001618984131,0.43398352145448976,0.32660968264717344,0.2943204573390186,0.03228922530815481
moments_m1_m3,drop_abs_z1_block,global_empirical,0.7736312916414576,0.4207014729572017,0.5778645682194171,0.2654816273416922,1.0294531511254332,0.5647372817259537,0.16853759209967986,0.16853759209967986,0.0
moments_m1_m3,drop_abs_z1_block,kernel_nn,0.4696434197479147,0.30168095637519693,0.34443033182541205,0.1409411802507905,0.5196963195640407,0.24679957001543823,0.582684734774073,0.4095908702804424,0.17309386449363062
moments_m1_m3,drop_abs_z1_block,hurdle_multinomial,0.6967041182948416,0.3796082709044703,0.5276388372829275,0.2311816024020766,0.8438048752599114,0.45885197323311905,0.30663409225281985,0.28130077136783616,0.02533332088498369
moments_m1_m3,drop_z2_z3,global_empirical,0.7736312916414576,0.4207014729572017,0.5778645682194171,0.2654816273416922,1.0294531511254332,0.5647372817259537,0.16853759209967986,0.16853759209967986,0.0
moments_m1_m3,drop_z2_z3,kernel_nn,0.4239697325703081,0.26785809582494974,0.2985861161750172,0.11834548571824696,0.47495561289998545,0.19749710631632122,0.6520977144509147,0.39977915328613023,0.25231856116478446
moments_m1_m3,drop_z2_z3,hurdle_multinomial,0.6755413308783219,0.3792330661453264,0.5170481614570067,0.22604697940190308,0.8163871565079107,0.44390462254940555,0.30960626882061976,0.284633330817088,0.02497293800353173
moments_m1_m3,drop_peer_count,global_empirical,0.7736312916414576,0.4207014729572017,0.5778645682194171,0.2654816273416922,1.0294531511254332,0.5647372817259537,0.16853759209967986,0.16853759209967986,0.0
moments_m1_m3,drop_peer_count,kernel_nn,0.4252078468700946,0.2726709292773326,0.3050450670505304,0.1212060714146355,0.47864480850660945,0.2019250100293971,0.6253690238088038,0.38227951306299973,0.24308951074580404
moments_m1_m3,drop_peer_count,hurdle_multinomial,0.6697911028516405,0.37718995625400864,0.511533260477154,0.22308285322280857,0.80598714870685,0.43771845537795995,0.30707793326960064,0.2755411298831153,0.031536803386485346
moments_m1_m3,symmetry_only,global_empirical,0.7736312916414576,0.4207014729572017,0.5778645682194171,0.2654816273416922,1.0294531511254332,0.5647372817259537,0.16853759209967986,0.16853759209967986,0.0
moments_m1_m3,symmetry_only,kernel_nn,0.7588293384638931,0.15850097670987348,0.3961629822857898,0.15947170455368714,0.6817232989957092,0.3255948218837506,0.7797774326724866,0.16109912764581072,0.6186783050266759
moments_m1_m3,symmetry_only,hurdle_multinomial,0.7730217092466789,0.37725899467576823,0.5585144039708876,0.2477523899059267,0.9378050377315684,0.5122678050789856,0.3070469098189164,0.2754317914638742,0.031615118355042215
moments_m1_m3,abs_z1_only,global_empirical,0.7736312916414576,0.4207014729572017,0.5778645682194171,0.2654816273416922,1.0294531511254332,0.5647372817259537,0.16853759209967986,0.16853759209967986,0.0
moments_m1_m3,abs_z1_only,kernel_nn,0.7667184951036522,0.12746192496620565,0.38705252176380656,0.1547691144944893,0.6799156786193828,0.3182984388411406,0.81952043583988,0.10926108346690108,0.7102593523729789
moments_m1_m3,abs_z1_only,hurdle_multinomial,0.7732765341440124,0.400029737424619,0.5730157480837659,0.25837881355038994,0.9895789151585359,0.5390139853649024,0.24088564927220762,0.22999038615569578,0.010895263116511844
centers_24_standard,canonical_only,global_empirical,0.6413064923848169,0.28436270063972524,0.3995575868948453,0.1566372898221326,0.9440913800859275,0.3269302268601356,0.10519615785210046,0.10519615785210046,0.0
centers_24_standard,canonical_only,kernel_nn,0.5022977964746637,0.2401832460429569,0.32374921744834234,0.11778608599040363,0.7498676793334867,0.21268352569124874,0.3116314217692836,0.23664835699192688,0.07498306477735672
centers_24_standard,canonical_only,hurdle_multinomial,0.6261805646873704,0.272742185442147,0.403699494169729,0.15624004387833318,0.9100994877928368,0.30763349937573475,0.21283682584504712,0.19834846157921004,0.014488364265837078
centers_24_standard,native_only,global_empirical,0.6413064923848169,0.28436270063972524,0.3995575868948453,0.1566372898221326,0.9440913800859275,0.3269302268601356,0.10519615785210046,0.10519615785210046,0.0
centers_24_standard,native_only,kernel_nn,0.5002693091217564,0.24514374446287393,0.327900897592751,0.1201222595605849,0.7717249223743116,0.21527787399849796,0.2691788211236297,0.22759665845072982,0.04158216267289985
centers_24_standard,native_only,hurdle_multinomial,0.6221331769171591,0.2823149635113124,0.402215684953914,0.1573551161033972,0.9403353044223401,0.31307745284410904,0.14839749036583683,0.1486666188811325,-0.0002691285152956746
centers_24_standard,canonical_plus_native,global_empirical,0.6413064923848169,0.28436270063972524,0.3995575868948453,0.1566372898221326,0.9440913800859275,0.3269302268601356,0.10519615785210046,0.10519615785210046,0.0
centers_24_standard,canonical_plus_native,kernel_nn,0.45580018695024616,0.22294423124307897,0.2935556020735307,0.10478403137176957,0.7206892353606625,0.1784331005787909,0.2980692705364684,0.23239944286012218,0.06566982767634624
centers_24_standard,canonical_plus_native,hurdle_multinomial,0.615182953178282,0.2723037336012223,0.39876591868645467,0.15378202775259203,0.903820866156071,0.3004490179403244,0.2127961309409885,0.19865260064826185,0.014143530292726664
centers_24_standard,drop_abs_z1_block,global_empirical,0.6413064923848169,0.28436270063972524,0.3995575868948453,0.1566372898221326,0.9440913800859275,0.3269302268601356,0.10519615785210046,0.10519615785210046,0.0
centers_24_standard,drop_abs_z1_block,kernel_nn,0.46198309486924133,0.22622073258915215,0.29841265137914624,0.10699158386956352,0.7275914314700777,0.1834779197522403,0.29137070219419287,0.23042459018199882,0.06094611201219405
centers_24_standard,drop_abs_z1_block,hurdle_multinomial,0.6160082337425871,0.2736788773845702,0.3994781105010594,0.1543672902589954,0.9090608159395905,0.3020832639090488,0.20248476485242328,0.19162008617824328,0.010864678674180006
centers_24_standard,drop_z2_z3,global_empirical,0.6413064923848169,0.28436270063972524,0.3995575868948453,0.1566372898221326,0.9440913800859275,0.3269302268601356,0.10519615785210046,0.10519615785210046,0.0
centers_24_standard,drop_z2_z3,kernel_nn,0.4678527216481777,0.229013889617531,0.3033887237929246,0.10911586084532177,0.7335877064662785,0.1881141270334296,0.2896354041747706,0.23680636527465307,0.05282903890011756
centers_24_standard,drop_z2_z3,hurdle_multinomial,0.6167657130506451,0.2738192765783558,0.40019826592756713,0.15466055196424025,0.9090346065226491,0.30266546673627653,0.20448335437441031,0.1935203630039108,0.010962991370499525
centers_24_standard,drop_peer_count,global_empirical,0.6413064923848169,0.28436270063972524,0.3995575868948453,0.1566372898221326,0.9440913800859275,0.3269302268601356,0.10519615785210046,0.10519615785210046,0.0
centers_24_standard,drop_peer_count,kernel_nn,0.4684666230258211,0.22572886252418253,0.3007324033934677,0.10751830507053951,0.7321319314168634,0.1861607675093003,0.29940340472595545,0.22398224298612737,0.07542116173982807
centers_24_standard,drop_peer_count,hurdle_multinomial,0.6152881993652292,0.27217776971114654,0.3977051930996022,0.15329091729759214,0.9057665317304504,0.3004108916264539,0.20180877377318965,0.18803634978975364,0.013772423983436005
centers_24_standard,symmetry_only,global_empirical,0.6413064923848169,0.28436270063972524,0.3995575868948453,0.1566372898221326,0.9440913800859275,0.3269302268601356,0.10519615785210046,0.10519615785210046,0.0
centers_24_standard,symmetry_only,kernel_nn,0.6049914740434306,0.2149700823776648,0.3511249448165473,0.12654847334430394,0.7962883090201517,0.2523255463088114,0.41918523506830296,0.13806859429306526,0.2811166407752377
centers_24_standard,symmetry_only,hurdle_multinomial,0.6334718592318772,0.27263753878867675,0.4055983199430918,0.1571924916987958,0.9170261092099883,0.31214013955446646,0.2018071844122826,0.1877095734025639,0.014097611009718708
centers_24_standard,abs_z1_only,global_empirical,0.6413064923848169,0.28436270063972524,0.3995575868948453,0.1566372898221326,0.9440913800859275,0.3269302268601356,0.10519615785210046,0.10519615785210046,0.0
centers_24_standard,abs_z1_only,kernel_nn,0.6264505748946745,0.22475260532255065,0.36298599450097113,0.13307585204381467,0.8158574369473284,0.2719907617918455,0.42856516554433227,0.13868137317339121,0.2898837923709411
centers_24_standard,abs_z1_only,hurdle_multinomial,0.6374121756190383,0.2785887673922346,0.4082494149725822,0.15966089855726476,0.9370422831667017,0.3195646927893848,0.16911548857194386,0.16423614333045444,0.004879345241489419
