block,representation,profile,concentration,a0,a1,b1,R1,phi1,phi1_degrees,phi1_reportable,phi1_raw_degrees,a2,b2,R2,phi2,phi2_degrees,phi2_reportable,phi2_raw_degrees,activity,mean_stay,mean_entropy,entropy_units,entropy_normalized_by_log3,no_stay_directional_controller,hard_directional_controller,a0_fourier_range,a0_unweighted_mean_g,a0_density_weighted_mean_g,a0_mirror_even_mean_g,g_prime0_M6_diagnostic,g_prime0_order_range_diagnostic,g_prime0_sign_flip_diagnostic,n_fixed_points_diagnostic,epsilon
block_1,intervals_24_decimal6,antipodal_weps_m100_k6,-0.1,-0.1503309220502768,-0.17292919613331525,-0.42481343769891333,0.45866214551114104,-1.9573834215912953,-112.14980894605752,1,-112.14980894605752,0.31321999335342027,0.002371989546457116,0.31322897466665683,0.007572773943331405,0.4338879861595311,1,0.4338879861595311,0.9814814814814815,0.018518518518518517,0.4822791733698085,nats,0,0,0,0.021558754438138095,-0.1527777777777778,-0.14480996540573132,-0.1527777777777778,1.7309880381873097,4.253837448682498,0,11,-0.1
block_1,intervals_24_decimal6,antipodal_weps_m050_k6,-0.05,-0.1724895823559131,-0.07764923721233383,-0.056134774624449386,0.09581501428166159,nan,nan,0,-144.13579606077477,0.2987539755433716,-0.04845391762173792,0.30265776057432203,-0.16078663730370174,-9.212395719602831,1,-9.212395719602831,0.9930555555555556,0.006944444444444444,0.5360525674804345,nats,0,0,0,0.03445998291290958,-0.16898148148148145,-0.15608390090908789,-0.16898148148148148,1.1796813774739205,3.1636206614377533,0,15,-0.05
block_1,intervals_24_decimal6,antipodal_weps_m020_k6,-0.02,-0.0969495413493022,-0.1771239917446562,-0.2103781067859985,0.2750124656564172,-2.270587623044479,-130.09508781509015,1,-130.09508781509015,0.3467889638772985,0.14179888284217002,0.3746591899878845,0.3881474482519107,22.239210613607007,1,22.239210613607007,0.976851851851852,0.023148148148148147,0.576806309082238,nats,0,0,0,0.00834837076499298,-0.09722222222222221,-0.095915413064659,-0.09722222222222222,1.989069458081543,3.2530136209339915,1,11,-0.02
block_1,intervals_24_decimal6,antipodal_weps_p000_k6,0.0,0.19713117434837926,0.052823871836511084,-0.09672054056090375,0.11020537374462996,nan,nan,0,-61.35886295346727,0.27580069660442974,0.011719509458841421,0.2760495809622695,0.042467127696359096,2.4331871850445026,1,2.4331871850445026,0.550925925925926,0.4490740740740741,0.7390363666205954,nats,0,0,0,0.016664446900710755,0.18055555555555558,0.19090117988783292,0.18055555555555552,0.722336543802494,0.5261534981585482,0,13,0.0
block_1,intervals_24_decimal6,antipodal_weps_p020_k6,0.02,-0.19476569785741532,-0.08557246567540555,0.12005624555097895,0.14743184519487443,nan,nan,0,125.48012398271523,0.1760286895850898,0.04748460137648508,0.1823208351366557,0.2634833731561062,15.096485253715455,1,15.096485253715455,0.9699074074074076,0.03009259259259259,0.6104777926093161,nats,0,0,0,0.014855260409388116,-0.2013888888888889,-0.1905858012421927,-0.2013888888888889,1.7608307429719094,3.6407800046607335,0,11,0.02
block_1,intervals_24_decimal6,antipodal_weps_p050_k6,0.05,-0.033203075780678104,0.021351815826680106,0.43757310731076904,0.4380937391480256,1.5220390035858389,87.20641115976574,1,87.20641115976574,0.34386419481993347,0.017902648392483816,0.34432991345310976,0.05201617224624384,2.980307136135299,1,2.980307136135299,0.9976851851851851,0.0023148148148148147,0.5295126464543001,nats,0,0,0,0.007116321127452349,-0.034722222222222224,-0.03565714519961498,-0.034722222222222224,0.5562586553399533,2.6580787314372785,1,10,0.05
block_1,intervals_24_decimal6,antipodal_weps_p100_k6,0.1,-0.13503137594101927,0.059255469306227264,0.33945445144002906,0.3445874856188952,1.3979767592356631,80.09816816157992,1,80.09816816157992,0.36551608527382334,-0.02993794668194364,0.3667400840451338,-0.08172353822430589,-4.682413827128785,1,-4.682413827128785,0.9930555555555556,0.006944444444444444,0.5505324221106017,nats,0,0,0,0.017870077063513207,-0.14583333333333337,-0.13484428740511292,-0.14583333333333334,1.8803601191399744,2.5344922642497245,0,11,0.1
block_1,intervals_24_decimal6,antipodal_weps_p200_k6,0.2,0.031813035127184086,0.2077459776192682,0.3031924056167881,0.3675377885887116,0.970075735899212,55.58124547507233,1,55.58124547507233,0.34146924845603516,-0.10933726893236927,0.3585469090910124,-0.30988121030618804,-17.754885500950444,1,-17.754885500950444,0.9837962962962964,0.016203703703703703,0.5294629510099936,nats,0,0,0,0.02945654921991843,0.03935185185185185,0.028797131398216578,0.03935185185185184,2.4972983030885145,3.9347075787042876,1,14,0.2
block_1,moments_m1_m3,antipodal_weps_m100_k6,-0.1,0.06470677762717682,-1.1286032518598215,-0.10996574452189833,1.1339478670013092,-3.044463993096169,-174.4349376839563,1,-174.4349376839563,0.17610437245735938,0.09844013864539065,0.20175036776948907,0.5097171882410115,29.204643631485276,1,29.204643631485276,1.0,0.0,0.18940600865293733,nats,0,1,1,0.012041397211668164,0.07407407407407407,0.06471016946723047,0.07407407407407408,0.09855471608594134,0.911594193717874,1,6,-0.1
block_1,moments_m1_m3,antipodal_weps_m050_k6,-0.05,-0.11319528644148369,-1.1018954323108043,-0.3432880796514074,1.1541318162923009,-2.8395796560851627,-162.6959298848896,1,-162.6959298848896,0.2379813390513282,-0.1433500806015799,0.2778207395878549,-0.542151881534711,-31.063014667015533,1,-31.063014667015533,0.9930555555555556,0.006944444444444444,0.1805117642388244,nats,0,0,0,0.0059593815610825,-0.10416666666666669,-0.11058794451635105,-0.10416666666666667,0.9321108624748313,1.6323040380632197,1,2,-0.05
