representation,profile,epsilon,a1,b1,R1,phi1_degrees,R2,a0,activity
intervals_24_decimal6,antipodal_weps_m100_k6,-0.1,-0.12476337476136481,-0.36560816617198777,0.3863097602358612,-108.8421493145763,0.32691519697295773,-0.09633978055418804,0.9756944444444445
intervals_24_decimal6,antipodal_weps_m050_k6,-0.05,-0.06893302887717215,-0.15658975040279355,0.17109094774823777,-113.75977494988571,0.27130600623844686,-0.1458663787484026,0.9930555555555556
intervals_24_decimal6,antipodal_weps_m020_k6,-0.02,-0.10333043648001679,-0.21128432887332127,0.23519831362193175,-116.06134678033267,0.3991728592653744,-0.10121468349216042,0.9803240740740742
intervals_24_decimal6,antipodal_weps_p000_k6,0.0,0.010406904066630852,-0.09267376885323417,0.0932562656646444,-83.59274936581575,0.240296382250664,0.19511076126631924,0.5428240740740742
intervals_24_decimal6,antipodal_weps_p020_k6,0.02,-0.030790361697677435,0.13663350609025846,0.14005984920736742,102.69946973132926,0.2236132502185243,-0.20289131862437337,0.9722222222222223
intervals_24_decimal6,antipodal_weps_p050_k6,0.05,0.048367344464394266,0.3740419115131016,0.3771561368702786,82.63197063760747,0.4036021539204979,-0.029150340839364648,0.9988425925925926
intervals_24_decimal6,antipodal_weps_p100_k6,0.1,0.0753961519569082,0.31720742717795425,0.32604467728635955,76.62962775173513,0.32405300932733705,-0.11088837784599596,0.9895833333333334
intervals_24_decimal6,antipodal_weps_p200_k6,0.2,0.20018831368530807,0.29742745450577895,0.358522595703471,56.05684282588546,0.29862701735150377,0.044236266124452514,0.9907407407407409
moments_m1_m3,antipodal_weps_m100_k6,-0.1,-1.1293013290963145,-0.10963355443858756,1.1346105094513894,-174.45505218112888,0.20482719376272324,0.05653637874964013,1.0
moments_m1_m3,antipodal_weps_m050_k6,-0.05,-1.1109436595586044,-0.344556786066895,1.163148826908325,-162.76883572411228,0.24993929721625446,-0.09787616597745905,0.9965277777777778
moments_m1_m3,antipodal_weps_m020_k6,-0.02,-1.0014243536300313,-0.12059228434065444,1.008659127300112,-173.13346207700405,0.3873512839806671,-0.06278158108822625,0.8587962962962963
moments_m1_m3,antipodal_weps_p000_k6,0.0,-0.007209129441686558,0.023081734395262322,0.02418135666170175,107.34517614037745,0.10656605566922414,0.021138466189826333,0.07407407407407408
moments_m1_m3,antipodal_weps_p020_k6,0.02,0.937074875185872,0.10963062611737923,0.94346605444367,6.672836130736515,0.4404945451284201,-0.0398800723583282,0.8414351851851851
moments_m1_m3,antipodal_weps_p050_k6,0.05,1.1109033389069136,0.33307562737373686,1.159761010702178,16.689999204260047,0.31267516094097,-0.1515431809023016,0.9884259259259259
moments_m1_m3,antipodal_weps_p100_k6,0.1,1.084991299836255,0.28356380002340853,1.1214341484920467,14.646709360475588,0.2599890223793323,-0.08522325789547748,1.0
moments_m1_m3,antipodal_weps_p200_k6,0.2,1.0477688096909064,0.08066748641995335,1.0508695075633379,4.4025044564797495,0.32873470289082934,-0.04049657630591218,1.0
centers_24_standard,antipodal_weps_m100_k6,-0.1,-0.6272196741791458,-0.35509945469657445,0.7207635828780463,-150.48369689776632,0.2008038736465368,-0.21715444018273428,0.9861111111111112
centers_24_standard,antipodal_weps_m050_k6,-0.05,-0.48953424607348633,-0.3101396407268515,0.5795087357658357,-147.6440964885874,0.40611337261949326,-0.08927256959176125,0.9733796296296297
centers_24_standard,antipodal_weps_m020_k6,-0.02,-0.5051696296352046,-0.28796734996431694,0.5814822003735293,-150.3150911480087,0.38409486007526805,-0.020662845394358666,0.9664351851851851
centers_24_standard,antipodal_weps_p000_k6,0.0,0.08500881521476794,-0.03843714816127414,0.09329476417779457,-24.330335127166347,0.05789896991634764,0.14804206688970445,0.3263888888888889
centers_24_standard,antipodal_weps_p020_k6,0.02,0.5532419753200211,0.3398872484894392,0.6493073424363232,31.56471460182342,0.23792398705183013,0.015034508843152284,0.9791666666666667
centers_24_standard,antipodal_weps_p050_k6,0.05,0.5439154974433515,0.28128609162822127,0.6123446200486525,27.345761030453655,0.40061169426575227,0.0008120446121549561,0.9895833333333334
centers_24_standard,antipodal_weps_p100_k6,0.1,0.5975974601306713,0.25077190535498206,0.6480812239758202,22.764552569082525,0.44900672130363006,-0.1875669230910046,0.9965277777777777
centers_24_standard,antipodal_weps_p200_k6,0.2,0.7000314707828899,0.28278508121594037,0.7549910345459487,21.99676385510494,0.12609081760877788,-0.17726855550993842,0.9780092592592593
