representation,chi_a1,chi_b1,chi_parallel_a1,activity_at_0,activity_max,activity_delta_max,eps_half_activation,activity_abs_eps_near0_slope,mean_a1_odd_residual,mean_A_even_residual,mean_R2_even_residual
intervals_24_decimal6,1.1053601605705388,2.529245607015994,1.1053601605705388,0.5428240740740742,0.9988425925925926,0.4560185185185184,0.02,0.5594135802469117,0.06801790179830958,0.009259259259259226,0.10357264812484061
moments_m1_m3,9.170211563054265,1.4401051870771784,9.170211563054265,0.07407407407407408,1.0,0.9259259259259259,0.02,4.880401234567895,0.03623327611863658,0.008487654320987673,0.05701365116302587
centers_24_standard,5.162531827917917,2.5525553043862392,5.162531827917917,0.3263888888888889,0.9965277777777777,0.6701388888888888,0.02,0.01929012345678928,0.04402527036771873,0.013117283950617287,0.1332917996780907
