block,representation,profile,concentration,a0,a1,a2,b1,b2,activity,a1_ci_low,a1_ci_high,a2_ci_low,a2_ci_high
block_1,intervals_24_decimal6,kappa_2,2.0,0.1508095654447381,0.6935995348817785,0.08087497444263955,0.010419563213393494,-0.04393070804316429,0.9826388888888888,0.6277397680674336,0.7558648086036533,0.004775320963736882,0.1580621304989906
block_1,intervals_24_decimal6,kappa_4,4.0,0.10300311338842758,0.36191316650072725,-0.06694190784906569,0.02977590922898682,-0.02929650681399126,0.9849537037037037,0.2791536872061628,0.44605183121409236,-0.15244927605307412,0.02020308459801333
block_1,intervals_24_decimal6,kappa_6,6.0,0.21723707597991682,0.2928128323861906,0.05096891812012919,0.18224775380303201,-0.14827957393041175,0.980324074074074,0.21853845620574494,0.37221226931779666,-0.022014291833684783,0.12948950403213463
block_1,intervals_24_decimal6,kappa_9,9.0,0.2122510055540524,0.03064183315212573,0.44923866422473313,-0.09490275808418687,0.0686108554972993,0.9733796296296295,-0.04229412169235004,0.10199041946678522,0.3721654746612627,0.5243106522461825
block_1,intervals_24_decimal6,kappa_12,12.0,0.14202113337968092,0.05372974286525393,0.40266361284352437,0.17854643906132336,-0.07133421342029307,0.9722222222222224,-0.020204174727923522,0.13279747182170276,0.32093859787336926,0.4823592655188355
block_1,moments_m1_m3,kappa_2,2.0,0.01267718671999608,0.9729693791136038,0.447028797140513,0.021809997738507874,-0.06472746867965304,1.0,0.9320014198378692,1.0146815117829202,0.38669374849628463,0.5057899187320307
block_1,moments_m1_m3,kappa_4,4.0,0.11051944193555809,0.9832810439855932,0.3981306699957758,-0.24524730611149786,0.2160077180076068,1.0,0.9423756467901493,1.0214097183469375,0.3489966860617256,0.4468772218893211
block_1,moments_m1_m3,kappa_6,6.0,0.10464119218210025,0.8628810766773323,0.5689052524747308,-0.21961929641138056,0.17089091898362477,1.0,0.8165208352842104,0.9098503161256988,0.5126878347390984,0.6232853555578222
block_1,moments_m1_m3,kappa_9,9.0,-0.015707729738556466,0.9841376072181175,0.44806587560423083,0.0024067173946851522,0.05567427651105021,1.0,0.9464920922891645,1.0195290949066897,0.3971767360709447,0.5001577475999525
block_1,moments_m1_m3,kappa_12,12.0,0.012134282752491565,0.9859083155985585,0.37079040835377475,-0.06103399282701131,0.0721159438630106,1.0,0.9401131236127905,1.0298557096516856,0.31549378086335444,0.4257484621094709
