representation,imbalance,realization,a1,b1,R1,R2,a0,activity
centers_24_standard,10_6,0,0.18300933237508932,0.23449182561376186,0.297635974838355,0.5403501204425162,-0.11086450939860604,0.9861111111111112
centers_24_standard,10_6,1,0.060789150503111566,0.23357621564914127,0.2433814921094377,0.33943222909166615,-0.2504351079823094,0.9965277777777778
centers_24_standard,10_6,2,0.19111428977568795,0.3784188183300141,0.42394690693463627,0.4346546417190386,0.02095271307827532,0.9583333333333333
centers_24_standard,10_6,3,0.24034207966497467,0.23476631348587437,0.3400940275022398,0.21014294229522856,-0.19950761052640245,0.9930555555555556
centers_24_standard,10_6,4,0.1989971482932886,0.48541286218515095,0.5344903675935009,0.3732172680001525,-0.12393881084886324,0.9756944444444444
centers_24_standard,10_6,5,0.24448059724013654,0.5336447729460605,0.5870121743241532,0.32853524034871906,-0.14547407084176542,0.90625
centers_24_standard,8_8,0,-0.12092018274121374,-0.16996130439919752,0.2200018605592266,0.31366494488300256,-0.026859334821187134,0.5972222222222223
centers_24_standard,8_8,1,-0.11110120759785526,0.02262782341205251,0.11338657919548481,0.3107946329934967,-0.10446462656602387,0.6493055555555556
centers_24_standard,8_8,2,-0.039037382410963696,-0.07436891695748998,0.08413270888857631,0.4136777770598459,0.07968952873470536,0.6180555555555556
centers_24_standard,8_8,3,-0.14879438620331575,0.05056394704459901,0.18288919330614956,0.4004706976716872,0.04687533800003991,0.65625
centers_24_standard,8_8,4,0.08794418182129184,0.04252587274759116,0.0985848119317296,0.4353183133882432,-0.02451877234847754,0.6180555555555556
centers_24_standard,8_8,5,0.051212826838493944,0.11504236392849926,0.12814109708032034,0.4134664686447461,-0.06006268758283527,0.7048611111111112
centers_24_standard,9_7,0,0.13907070636109295,0.46596260717792043,0.4863323313047287,0.5519037935871177,-0.08990820290026588,0.8506944444444444
centers_24_standard,9_7,1,0.10743465374193209,0.2523798128607305,0.2760257579606473,0.4350414654520467,-0.25865499407084064,0.9131944444444444
centers_24_standard,9_7,2,0.005944928588896555,0.10220772499807389,0.12581349346041812,0.49060986430677256,-0.10210914588651782,0.9236111111111112
centers_24_standard,9_7,3,0.14644074244428643,0.09063427476635558,0.23165552403307982,0.3266197384536118,-0.24650885726908306,0.875
centers_24_standard,9_7,4,0.30610990027410623,0.3672988512552007,0.4786074881010902,0.49674930109098414,-0.14080445769621835,0.8819444444444444
centers_24_standard,9_7,5,0.1624191129621096,0.14568899861771112,0.21868356766082936,0.4194730517228265,-0.08360658466536318,0.9652777777777778
intervals_24_decimal6,10_6,0,-0.2096282829102128,0.3904989979627336,0.444476295864075,0.38857678297246523,0.00873405173148874,0.9791666666666667
intervals_24_decimal6,10_6,1,-0.24834235550504055,0.3898126450979474,0.46290181377874673,0.4176130144522089,0.07183588290980825,0.9826388888888888
intervals_24_decimal6,10_6,2,-0.014817009414950195,0.3270443112820577,0.328458080217372,0.35899152467958484,-0.011079271394549069,0.9652777777777778
intervals_24_decimal6,10_6,3,-0.20683765915605928,0.33223567522095,0.39357626203556656,0.2543034083643171,0.0029217490500038565,0.9756944444444444
intervals_24_decimal6,10_6,4,-0.19635258744361705,0.16473654963256418,0.280633702289484,0.5392872743045611,0.03897684861596263,0.9479166666666666
intervals_24_decimal6,10_6,5,-0.4594970493072402,0.15856320824769135,0.48683867835502026,0.2103471529423066,0.1044334987126321,0.9305555555555556
intervals_24_decimal6,8_8,0,0.03320043858209804,-0.057817564061935924,0.06838757474376854,0.11791440067854507,-0.09068354944202323,0.6319444444444444
intervals_24_decimal6,8_8,1,0.01675871721134529,-0.09865475743730838,0.14194970000667828,0.21750043680967412,0.10881605402079104,0.6770833333333334
intervals_24_decimal6,8_8,2,-0.13423655510806326,-0.12768229004109766,0.19991166403779648,0.21659477088510798,-0.04476067928835869,0.6388888888888888
intervals_24_decimal6,8_8,3,0.06207700193589774,0.012778951437922813,0.08835871814769569,0.1095337185411903,-0.01814056093934615,0.6319444444444444
intervals_24_decimal6,8_8,4,-0.009505427357955088,-0.07251950096903029,0.07584274243424506,0.1511149826657135,0.019884719469651597,0.5659722222222222
intervals_24_decimal6,8_8,5,0.07232291270970752,-0.007859844877693336,0.07501811892848405,0.16315082048700172,-0.04901028720757013,0.6805555555555556
intervals_24_decimal6,9_7,0,-0.05895634392708269,0.12407490792439863,0.13750712838682247,0.31057295524018536,0.027005739928128544,0.8993055555555556
intervals_24_decimal6,9_7,1,-0.09724891300623442,0.1624716297929073,0.1895209354899978,0.3334885020218867,-0.13055834698017443,0.9131944444444444
intervals_24_decimal6,9_7,2,-0.21582686040738835,0.11908503526769144,0.2531558685750202,0.34258540298447204,0.05102917726868667,0.8923611111111112
intervals_24_decimal6,9_7,3,0.011727591640075398,0.06951819420276553,0.0765334960162494,0.3889241479481782,0.12247549769695826,0.8819444444444444
intervals_24_decimal6,9_7,4,-0.0461480264572985,0.4119107162780903,0.4144906309662082,0.2364059998905144,0.06765027633401419,0.9166666666666667
intervals_24_decimal6,9_7,5,-0.15268336045440623,-0.015489996643186264,0.18004314860598117,0.3891885506345494,0.14353138282359684,0.9548611111111112
