imbalance,representation_a,representation_b,mean_c1_chordal_across_realizations,c1_within_realization_rms_mean,c1_between_over_within,activity_abs_mean_diff,activity_within_rms_mean,activity_between_over_within,mean_tv,passes_c1_ratio_gt_2,passes_activity_ratio_gt_2
10_6,intervals_24_decimal6,moments_m1_m3,1.287908166814547,0.09694017000589308,13.285598392660686,0.03530092592592593,0.011123382585943708,3.173578329539314,0.5104166666666666,1,1
10_6,intervals_24_decimal6,centers_24_standard,0.4575843088099935,0.10444210666528257,4.381224425857913,0.0057870370370370905,0.027145407675130077,0.2131865951801131,0.3547453703703704,1,0
10_6,moments_m1_m3,centers_24_standard,0.8950951753205224,0.059211750255590265,15.11685048080495,0.02951388888888884,0.01781507293465276,1.6566807779652857,0.3703703703703704,1,0
8_8,intervals_24_decimal6,moments_m1_m3,0.1094530130519048,0.049412271577336124,2.2150977795181452,0.5902777777777777,0.028396562164674358,20.78694506590977,0.6186342592592592,1,1
8_8,intervals_24_decimal6,centers_24_standard,0.16094136054927258,0.08653316793336031,1.8598806029292079,0.0028935185185187118,0.03990477178240225,0.07251058931740928,0.39814814814814814,0,0
8_8,moments_m1_m3,centers_24_standard,0.12471016178986565,0.06070963752686929,2.0542069903591593,0.5931712962962964,0.026828017124926322,22.110143046881085,0.6186342592592592,1,1
9_7,intervals_24_decimal6,moments_m1_m3,1.1657320136991094,0.07294605916156216,15.98074011259781,0.08275462962962943,0.017116168350913556,4.834880560473834,0.4907407407407407,1,1
9_7,intervals_24_decimal6,centers_24_standard,0.28107202058037617,0.08911219013859724,3.154136601773804,0.008101851851851971,0.03324881375162867,0.24367341079815538,0.3697916666666667,1,0
9_7,moments_m1_m3,centers_24_standard,0.9205111117327882,0.08083223652197175,11.38792085113933,0.0908564814814814,0.024755136387839747,3.670207267616269,0.43287037037037046,1,1
