model,field_id,bucket,role,peer_count,bin_sparsity,p_fail,n_valid,log_loss,d_TV,abs_e_A,abs_e_a0,a0_mae,a0_sign_acc,a0_corr,n,hat_A,hat_a0,hat_C1,hat_C2,hat_p_minus,hat_p_stay,hat_p_plus,obs_A,obs_a0,obs_C1,obs_C2,obs_p_minus,obs_p_stay,obs_p_plus
pooled_global,cent_al_f00_n17_p16,high_occupancy_high_risk,active_learning,16,0.08333333333333333,0.0,32,0.9482144490320639,0.38048267574604444,0.18392416049135452,0.5770411910007344,0.5770411910007344,0.0,nan,1.0,0.8160758395086455,-0.07704119100073437,0.07704119100073437,0.18392416049135457,0.4465585152546899,0.18392416049135457,0.36951732425395556,1.0,0.5,0.5,0.0,0.25,0.0,0.75
pooled_global,cent_al_f01_n17_p16,high_occupancy_high_risk,active_learning,16,0.08333333333333333,0.0,32,0.9127070452866257,0.19298267574604447,0.18392416049135452,0.20204119100073437,0.20204119100073437,0.0,nan,1.0,0.8160758395086455,-0.07704119100073437,0.07704119100073437,0.18392416049135457,0.4465585152546899,0.18392416049135457,0.36951732425395556,1.0,0.125,0.125,0.0,0.4375,0.0,0.5625
pooled_global,cent_al_f02_n17_p16,high_occupancy_high_risk,active_learning,16,0.041666666666666664,0.0,32,0.82393853592303,0.4596914847453101,0.18392416049135452,0.7354588089992656,0.7354588089992656,1.0,nan,1.0,0.8160758395086455,-0.07704119100073437,0.07704119100073437,0.18392416049135457,0.4465585152546899,0.18392416049135457,0.36951732425395556,1.0,-0.8125,0.8125,0.0,0.90625,0.0,0.09375
pooled_global,cent_al_f03_n9_p8,high_occupancy_high_risk,active_learning,8,0.08333333333333333,0.0,32,0.9718860515290227,0.5054826757460444,0.18392416049135452,0.8270411910007344,0.8270411910007344,0.0,nan,1.0,0.8160758395086455,-0.07704119100073437,0.07704119100073437,0.18392416049135457,0.4465585152546899,0.18392416049135457,0.36951732425395556,1.0,0.75,0.75,0.0,0.125,0.0,0.875
pooled_global,cent_al_f04_n9_p8,high_occupancy_high_risk,active_learning,8,0.041666666666666664,0.0,32,0.8298564365472697,0.4284414847453101,0.18392416049135452,0.6729588089992656,0.6729588089992656,1.0,nan,1.0,0.8160758395086455,-0.07704119100073437,0.07704119100073437,0.18392416049135457,0.4465585152546899,0.18392416049135457,0.36951732425395556,1.0,-0.75,0.75,0.0,0.875,0.0,0.125
pooled_global,cent_al_f05_n9_p8,high_occupancy_high_risk,active_learning,8,0.041666666666666664,0.0,32,0.8416922377957491,0.3659414847453101,0.18392416049135452,0.5479588089992656,0.5479588089992656,1.0,nan,1.0,0.8160758395086455,-0.07704119100073437,0.07704119100073437,0.18392416049135457,0.4465585152546899,0.18392416049135457,0.36951732425395556,1.0,-0.625,0.625,0.0,0.8125,0.0,0.1875
pooled_global,cent_al_f06_n9_p8,high_occupancy_high_risk,active_learning,8,0.08333333333333333,0.0,32,0.9482144490320639,0.38048267574604444,0.18392416049135452,0.5770411910007344,0.5770411910007344,0.0,nan,1.0,0.8160758395086455,-0.07704119100073437,0.07704119100073437,0.18392416049135457,0.4465585152546899,0.18392416049135457,0.36951732425395556,1.0,0.5,0.5,0.0,0.25,0.0,0.75
pooled_global,cent_al_f07_n9_p8,high_occupancy_high_risk,active_learning,8,0.041666666666666664,0.0,32,0.8357743371715094,0.3971914847453101,0.18392416049135452,0.6104588089992656,0.6104588089992656,1.0,nan,1.0,0.8160758395086455,-0.07704119100073437,0.07704119100073437,0.18392416049135457,0.4465585152546899,0.18392416049135457,0.36951732425395556,1.0,-0.6875,0.6875,0.0,0.84375,0.0,0.15625
pooled_global,cent_al_f08_n9_p8,high_occupancy_high_risk,active_learning,8,0.08333333333333333,0.0,32,0.9837218527775022,0.5679826757460444,0.18392416049135452,0.9520411910007344,0.9520411910007344,0.0,nan,1.0,0.8160758395086455,-0.07704119100073437,0.07704119100073437,0.18392416049135457,0.4465585152546899,0.18392416049135457,0.36951732425395556,1.0,0.875,0.875,0.0,0.0625,0.0,0.9375
pooled_global,cent_al_f09_n9_p8,high_occupancy_high_risk,active_learning,8,0.041666666666666664,0.0,32,0.8634945541568655,0.3659414847453101,0.15267416049135452,0.5792088089992656,0.5792088089992656,1.0,nan,1.0,0.8160758395086455,-0.07704119100073437,0.07704119100073437,0.18392416049135457,0.4465585152546899,0.18392416049135457,0.36951732425395556,0.96875,-0.65625,0.65625,0.03125,0.8125,0.03125,0.15625
pooled_global,cent_al_f10_n9_p8,high_occupancy_high_risk,active_learning,8,0.125,0.03125,31,0.9711224514484758,0.5014504176815284,0.18392416049135452,0.8189766748717021,0.8189766748717021,0.0,nan,1.0,0.8160758395086455,-0.07704119100073437,0.07704119100073437,0.18392416049135457,0.4465585152546899,0.18392416049135457,0.36951732425395556,1.0,0.7419354838709677,0.7419354838709677,0.0,0.12903225806451613,0.0,0.8709677419354839
pooled_global,cent_al_f11_n17_p16,high_occupancy_high_risk,active_learning,16,0.125,0.03125,31,0.9955576540259817,0.6304826757460444,0.18392416049135452,1.0770411910007343,1.0770411910007343,0.0,nan,1.0,0.8160758395086455,-0.07704119100073437,0.07704119100073437,0.18392416049135457,0.4465585152546899,0.18392416049135457,0.36951732425395556,1.0,1.0,1.0,0.0,0.0,0.0,1.0
pooled_global,cent_al_f12_n17_p16,high_occupancy_high_risk,active_learning,16,0.125,0.0,32,0.8535280390442286,0.3034414847453101,0.18392416049135452,0.42295880899926563,0.42295880899926563,1.0,nan,1.0,0.8160758395086455,-0.07704119100073437,0.07704119100073437,0.18392416049135457,0.4465585152546899,0.18392416049135457,0.36951732425395556,1.0,-0.5,0.5,0.0,0.75,0.0,0.25
