representation,scheme,d_shape,d_native,local_density,u_ensemble,d_orientation,policy_a,g_peer,e_tv
centers_24_standard,leave_one_profile_out,0.5826443600522196,0.0,1.7163128463311217,0.0,0.29824931018595136,0.0,0,0.6328775941005964
centers_24_standard,leave_one_profile_out,0.5826444752673346,0.0,1.7163125069385927,0.0,0.2985165735313144,0.0,0,0.3128939159497367
centers_24_standard,leave_one_profile_out,0.5826442681912074,0.0,1.7163131169288843,0.0,0.24779575275724233,0.0,0,0.660220207393298
centers_24_standard,leave_one_profile_out,0.5826443078981812,0.0,1.71631299996284,0.0,0.2363788954677972,0.0,0,0.6182149336118841
centers_24_standard,leave_one_profile_out,0.5826445556254493,0.0,1.7163122702254272,0.0,0.30081814532258283,0.0,0,0.5096882102230267
centers_24_standard,leave_one_profile_out,0.5826445181859505,0.0,1.7163123805120069,0.0,0.29906606954910486,0.0,0,0.6539547740760325
centers_24_standard,leave_one_profile_out,0.5826442704370101,0.0,1.7163131103133544,0.0,0.2998962246775106,0.0,0,0.7608851939952035
centers_24_standard,leave_one_profile_out,0.5826445380558969,0.0,1.7163123219805478,0.0,0.301654948349355,0.0,0,0.5334991862234015
centers_24_standard,leave_one_profile_out,0.5826442683995049,0.0,1.716313116315296,0.0,0.3028609357879549,0.0,0,0.43987923393409245
centers_24_standard,leave_one_profile_out,0.5826442830193476,0.0,1.7163130732491776,0.0,0.30305468825774373,0.0,0,0.5606257088011811
centers_24_standard,leave_one_profile_out,0.5826445439343292,0.0,1.7163123046642854,0.0,0.1678675656030224,0.0,0,0.6966021182595867
centers_24_standard,leave_one_profile_out,0.582644277370784,0.0,1.716313089888324,0.0,0.2594133053056241,0.0,0,0.656591862573622
centers_24_standard,leave_one_profile_out,0.5826445081517292,0.0,1.716312410070096,0.0,0.2231721589494536,0.0,0,0.2230875167570804
centers_24_standard,leave_one_profile_out,0.5826445206996291,0.0,1.716312373107393,0.0,0.3004445537239612,0.0,0,0.3895836607260368
centers_24_standard,leave_one_profile_out,0.5826444356574669,0.0,1.7163126236185215,0.0,0.3024078898655035,0.0,0,0.19308022401327002
centers_24_standard,leave_one_profile_out,0.5826443070216507,0.0,1.7163130025448625,0.0,0.30199317537502185,0.0,0,0.10182304967241979
centers_24_standard,leave_one_profile_out,0.582644552792332,0.0,1.7163122785710196,0.0,0.21163747798091834,0.0,0,0.3913032561180235
centers_24_standard,leave_one_profile_out,0.582644268794605,0.0,1.7163131151514377,0.0,0.26111173406856947,0.0,0,0.4378019473247189
