representation,scheme,d_shape,d_native,local_density,u_ensemble,d_orientation,policy_a,g_peer,e_tv,peer_count,bin_sparsity
centers_24_standard,acquisition_block_holdout,4.095768194997973,0.0,0.24415444243677342,0.0,6.530577237349291,0.0,0,0.14599791188402989,8,0.20833333333333334
centers_24_standard,acquisition_block_holdout,5.320124039086975,0.0,0.18796554227927686,0.0,5.6106937399530805,0.0,0,0.12310825485622372,8,0.25
centers_24_standard,acquisition_block_holdout,4.095768194997976,0.0,0.24415444243677328,0.0,6.596190052977344,0.0,0,0.051534888719334065,8,0.20833333333333334
centers_24_standard,acquisition_block_holdout,4.095768194997979,0.0,0.24415444243677306,0.0,6.748479284141927,0.0,0,0.12739400613608295,8,0.20833333333333334
centers_24_standard,acquisition_block_holdout,5.320124039086971,0.0,0.187965542279277,0.0,5.733698567281509,0.0,0,0.06917126629219532,8,0.25
centers_24_standard,acquisition_block_holdout,4.095768194997973,0.0,0.24415444243677342,0.0,5.6408448450333495,0.0,0,0.1479860297595422,8,0.25
centers_24_standard,acquisition_block_holdout,4.095768194997989,0.0,0.24415444243677248,0.0,6.613445940320395,0.0,0,0.10647081547339363,8,0.20833333333333334
centers_24_standard,acquisition_block_holdout,5.383837850316306,0.0,0.18574110658649368,0.0,5.922675280714944,0.0,0,0.16641791417297336,8,0.25
centers_24_standard,acquisition_block_holdout,8.075756775474458,0.0,0.1238274043909958,0.0,6.959220410961485,0.0,0,0.15659723978637768,8,0.20833333333333334
centers_24_standard,acquisition_block_holdout,8.075756775474458,0.0,0.1238274043909958,0.0,5.449138079279117,0.0,0,0.08048627148825284,8,0.20833333333333334
centers_24_standard,acquisition_block_holdout,5.383837850316306,0.0,0.18574110658649368,0.0,4.421651900083847,0.0,0,0.09623071076308255,8,0.25
centers_24_standard,acquisition_block_holdout,4.095768194997988,0.0,0.24415444243677253,0.0,5.449138079279117,0.0,0,0.197546649980765,8,0.20833333333333334
centers_24_standard,acquisition_block_holdout,4.095768194997975,0.0,0.2441544424367733,0.0,4.428477605390762,0.0,0,0.09179450120519846,8,0.25
centers_24_standard,acquisition_block_holdout,5.32012403908697,0.0,0.18796554227927703,0.0,5.759112256831721,0.0,0,0.12282868322644638,8,0.25
centers_24_standard,acquisition_block_holdout,5.32012403908697,0.0,0.18796554227927703,0.0,5.871042018201396,0.0,0,0.16440535908426068,8,0.25
centers_24_standard,acquisition_block_holdout,4.095768194997979,0.0,0.24415444243677306,0.0,6.573410950211446,0.0,0,0.40384179382631097,8,0.20833333333333334
centers_24_standard,acquisition_block_holdout,5.320124039086971,0.0,0.187965542279277,0.0,4.286431857864393,0.0,0,0.13179150407399937,8,0.25
centers_24_standard,acquisition_block_holdout,4.095768194997979,0.0,0.24415444243677306,0.0,3.559208534092515,0.0,0,0.2783123229710036,8,0.20833333333333334
centers_24_standard,acquisition_block_holdout,4.09576819499798,0.0,0.244154442436773,0.0,3.0127922102547893,0.0,0,0.22323298118454507,8,0.20833333333333334
centers_24_standard,acquisition_block_holdout,5.320124039086968,0.0,0.18796554227927711,0.0,4.286431857864392,0.0,0,0.09084387853952869,8,0.25
centers_24_standard,acquisition_block_holdout,4.095768194997984,0.0,0.24415444243677278,0.0,4.125206501993282,0.0,0,0.1979331776350443,8,0.20833333333333334
centers_24_standard,acquisition_block_holdout,5.320124039086968,0.0,0.18796554227927711,0.0,4.286431857864392,0.0,0,0.2665816220180076,8,0.25
centers_24_standard,acquisition_block_holdout,5.32012403908697,0.0,0.18796554227927703,0.0,5.574038321541296,0.0,0,0.16814749516561361,8,0.25
centers_24_standard,acquisition_block_holdout,4.095768194997976,0.0,0.24415444243677328,0.0,4.428477605390762,0.0,0,0.17152671122258312,8,0.25
centers_24_standard,acquisition_block_holdout,4.0957681949979845,0.0,0.24415444243677273,0.0,5.449138079279118,0.0,0,0.1670500181501844,8,0.20833333333333334
centers_24_standard,acquisition_block_holdout,5.383837850316306,0.0,0.18574110658649368,0.0,5.6909331062729915,0.0,0,0.23615637291395997,8,0.25
centers_24_standard,acquisition_block_holdout,8.075756775474458,0.0,0.1238274043909958,0.0,6.795514797274828,0.0,0,0.09439482199527252,8,0.20833333333333334
centers_24_standard,acquisition_block_holdout,8.075756775474458,0.0,0.1238274043909958,0.0,6.910621721543897,0.0,0,0.0384615384617554,8,0.20833333333333334
centers_24_standard,acquisition_block_holdout,5.383837850316306,0.0,0.18574110658649368,0.0,6.0489870870588645,0.0,0,0.134273792657434,8,0.25
centers_24_standard,acquisition_block_holdout,4.095768194997988,0.0,0.24415444243677253,0.0,6.7001971472552615,0.0,0,0.17846617653289287,8,0.20833333333333334
centers_24_standard,acquisition_block_holdout,4.095768194997973,0.0,0.24415444243677342,0.0,5.765311034531617,0.0,0,0.20106765856419345,8,0.25
centers_24_standard,acquisition_block_holdout,5.320124039086971,0.0,0.187965542279277,0.0,5.94725068213933,0.0,0,0.08105232481011951,8,0.25
centers_24_standard,acquisition_block_holdout,4.09576819499798,0.0,0.244154442436773,0.0,7.044367542544591,0.0,0,0.1186841245816305,8,0.20833333333333334
centers_24_standard,acquisition_block_holdout,4.095768194997978,0.0,0.24415444243677312,0.0,6.68524076538864,0.0,0,0.41679890489949845,8,0.20833333333333334
centers_24_standard,acquisition_block_holdout,5.320124039086973,0.0,0.18796554227927695,0.0,5.562779081534859,0.0,0,0.14250379430419258,8,0.25
centers_24_standard,acquisition_block_holdout,4.0957681949979765,0.0,0.24415444243677323,0.0,6.2859142993161585,0.0,0,0.4531932297123952,8,0.20833333333333334
centers_24_standard,acquisition_block_holdout,0.6657185476421333,0.0,1.5021363060137607,0.0,0.18023567446900451,0.0,0,0.3234334334115728,16,0.4166666666666667
centers_24_standard,acquisition_block_holdout,0.9761994140721926,0.0,1.0243808647953638,0.0,0.29198189210131104,0.0,0,0.21374661548315688,16,0.5
centers_24_standard,acquisition_block_holdout,0.6657185476421336,0.0,1.5021363060137602,0.0,0.17156509236027473,0.0,0,0.13840714240819407,16,0.4166666666666667
centers_24_standard,acquisition_block_holdout,0.6657185476421315,0.0,1.5021363060137651,0.0,0.2919818921013111,0.0,0,0.20712747961054526,16,0.4166666666666667
