model,field_id,bucket,role,peer_count,bin_sparsity,unresolved_near_zero,R_pre,log_loss,d_TV,abs_e_A,abs_e_a0,abs_e_C1,abs_e_C2,n_valid,p_minus_hat,p_stay_hat,p_plus_hat,p_minus_obs,p_stay_obs,p_plus_obs,A_hat,A_obs,a0_hat,a0_obs
global_empirical,cent_al_f00_n17_p16,high_occupancy_high_risk,active_learning,16,0.08333333333333333,0,0.28540107661335956,0.910120907408022,0.3818331918105482,0.10602887064817423,0.657637512972922,0.342362487027078,0.10602887064817436,32.0,0.5258043211623739,0.10602887064817436,0.36816680818945186,0.25,0.0,0.75,0.8939711293518258,1.0,-0.157637512972922,0.5
global_empirical,cent_al_f01_n17_p16,high_occupancy_high_risk,active_learning,16,0.08333333333333333,0,0.3063873452415051,0.8432972176704461,0.19433319181054817,0.10602887064817423,0.282637512972922,0.032637512972922,0.10602887064817436,32.0,0.5258043211623739,0.10602887064817436,0.36816680818945186,0.4375,0.0,0.5625,0.8939711293518258,1.0,-0.157637512972922,0.125
global_empirical,cent_al_f02_n17_p16,high_occupancy_high_risk,active_learning,16,0.041666666666666664,0,0.3118574445443107,0.6762379933265064,0.38044567883762614,0.10602887064817423,0.654862487027078,0.654862487027078,0.10602887064817436,32.0,0.5258043211623739,0.10602887064817436,0.36816680818945186,0.90625,0.0,0.09375,0.8939711293518258,1.0,-0.157637512972922,-0.8125
global_empirical,cent_al_f03_n9_p8,high_occupancy_high_risk,active_learning,8,0.08333333333333333,0,0.2670548481015882,0.9546700338997393,0.5068331918105482,0.10602887064817423,0.907637512972922,0.592362487027078,0.10602887064817436,32.0,0.5258043211623739,0.10602887064817436,0.36816680818945186,0.125,0.0,0.875,0.8939711293518258,1.0,-0.157637512972922,0.75
global_empirical,cent_al_f04_n9_p8,high_occupancy_high_risk,active_learning,8,0.041666666666666664,0,0.31230618867617815,0.6873752749494357,0.34919567883762614,0.10602887064817423,0.592362487027078,0.592362487027078,0.10602887064817436,32.0,0.5258043211623739,0.10602887064817436,0.36816680818945186,0.875,0.0,0.125,0.8939711293518258,1.0,-0.157637512972922,-0.75
global_empirical,cent_al_f05_n9_p8,high_occupancy_high_risk,active_learning,8,0.041666666666666664,0,0.31230618867617815,0.7096498381952944,0.28669567883762614,0.10602887064817423,0.467362487027078,0.467362487027078,0.10602887064817436,32.0,0.5258043211623739,0.10602887064817436,0.36816680818945186,0.8125,0.0,0.1875,0.8939711293518258,1.0,-0.157637512972922,-0.625
global_empirical,cent_al_f06_n9_p8,high_occupancy_high_risk,active_learning,8,0.08333333333333333,0,0.2670548481015882,0.910120907408022,0.3818331918105482,0.10602887064817423,0.657637512972922,0.342362487027078,0.10602887064817436,32.0,0.5258043211623739,0.10602887064817436,0.36816680818945186,0.25,0.0,0.75,0.8939711293518258,1.0,-0.157637512972922,0.5
global_empirical,cent_al_f07_n9_p8,high_occupancy_high_risk,active_learning,8,0.041666666666666664,0,0.31230618867617815,0.698512556572365,0.31794567883762614,0.10602887064817423,0.529862487027078,0.529862487027078,0.10602887064817436,32.0,0.5258043211623739,0.10602887064817436,0.36816680818945186,0.84375,0.0,0.15625,0.8939711293518258,1.0,-0.157637512972922,-0.6875
global_empirical,cent_al_f08_n9_p8,high_occupancy_high_risk,active_learning,8,0.08333333333333333,0,0.311450537066379,0.9769445971455979,0.5693331918105482,0.10602887064817423,1.032637512972922,0.717362487027078,0.10602887064817436,32.0,0.5258043211623739,0.10602887064817436,0.36816680818945186,0.0625,0.0,0.9375,0.8939711293518258,1.0,-0.157637512972922,0.875
global_empirical,cent_al_f09_n9_p8,high_occupancy_high_risk,active_learning,8,0.041666666666666664,0,0.31230618867617815,0.7485506099752225,0.28669567883762614,0.07477887064817423,0.498612487027078,0.498612487027078,0.07477887064817436,32.0,0.5258043211623739,0.10602887064817436,0.36816680818945186,0.8125,0.03125,0.15625,0.8939711293518258,0.96875,-0.157637512972922,-0.65625
global_empirical,cent_al_f10_n9_p8,high_occupancy_high_risk,active_learning,8,0.125,0,0.25931426630721366,0.9532329653032323,0.502800933746032,0.10602887064817423,0.8995729968438897,0.5842979708980458,0.10602887064817436,31.0,0.5258043211623739,0.10602887064817436,0.36816680818945186,0.12903225806451613,0.0,0.8709677419354839,0.8939711293518258,1.0,-0.157637512972922,0.7419354838709677
global_empirical,cent_al_f11_n17_p16,high_occupancy_high_risk,active_learning,16,0.125,0,0.30515987998696625,0.9992191603914565,0.6318331918105482,0.10602887064817423,1.157637512972922,0.842362487027078,0.10602887064817436,31.0,0.5258043211623739,0.10602887064817436,0.36816680818945186,0.0,0.0,1.0,0.8939711293518258,1.0,-0.157637512972922,1.0
global_empirical,cent_al_f12_n17_p16,high_occupancy_high_risk,active_learning,16,0.125,0,0.32305455047111964,0.731924401441153,0.22419567883762617,0.10602887064817423,0.342362487027078,0.342362487027078,0.10602887064817436,32.0,0.5258043211623739,0.10602887064817436,0.36816680818945186,0.75,0.0,0.25,0.8939711293518258,1.0,-0.157637512972922,-0.5
global_empirical,cent_al_f13_n17_p16,high_occupancy_high_risk,active_learning,16,0.16666666666666666,0,0.31087167056481463,0.698512556572365,0.31794567883762614,0.10602887064817423,0.529862487027078,0.529862487027078,0.10602887064817436,32.0,0.5258043211623739,0.10602887064817436,0.36816680818945186,0.84375,0.0,0.15625,0.8939711293518258,1.0,-0.157637512972922,-0.6875
global_empirical,cent_al_f14_n17_p16,high_occupancy_high_risk,active_learning,16,0.041666666666666664,0,0.2918700461761089,0.910120907408022,0.3818331918105482,0.10602887064817423,0.657637512972922,0.342362487027078,0.10602887064817436,32.0,0.5258043211623739,0.10602887064817436,0.36816680818945186,0.25,0.0,0.75,0.8939711293518258,1.0,-0.157637512972922,0.5
global_empirical,cent_al_f15_n9_p8,high_occupancy_high_risk,active_learning,8,0.125,0,0.30009602903574656,0.6888123435459428,0.34516342077311,0.10602887064817423,0.5842979708980458,0.5842979708980458,0.10602887064817436,31.0,0.5258043211623739,0.10602887064817436,0.36816680818945186,0.8709677419354839,0.0,0.12903225806451613,0.8939711293518258,1.0,-0.157637512972922,-0.7419354838709677
global_empirical,cent_al_f16_n9_p8,model_disagreement,active_learning,8,0.125,0,0.36543923276628754,0.9136848375273594,0.3918331918105482,0.10602887064817423,0.677637512972922,0.362362487027078,0.10602887064817436,25.0,0.5258043211623739,0.10602887064817436,0.36816680818945186,0.24,0.0,0.76,0.8939711293518258,1.0,-0.157637512972922,0.52
global_empirical,cent_al_f17_n9_p8,model_disagreement,active_learning,8,0.125,0,0.338080081668029,0.7828376888602584,0.10602887064817429,0.10602887064817423,0.056648201312792246,0.056648201312792246,0.10602887064817436,28.0,0.5258043211623739,0.10602887064817436,0.36816680818945186,0.6071428571428571,0.0,0.39285714285714285,0.8939711293518258,1.0,-0.157637512972922,-0.21428571428571425
