field_id,bucket,R_pre,p_minus_pre,p_stay_pre,p_plus_pre,disagreement,g_peer,d_shape,d_native,abs_z1,abs_z2,physical_hash
cent_al_f00_n17_p16,high_occupancy_high_risk,0.28540107661335956,0.5771604936145008,0.05555555555555745,0.3672839508299417,0.046357906466299136,0,9.124455539983725,3.1460214309120476,0.998001469321689,0.9921188698971454,617c69e40aeb3e0a72086f454ad741cbfc3a28c5bd61bd17a0b6be96fa3ea0d3
cent_al_f01_n17_p16,high_occupancy_high_risk,0.3063873452415051,0.14683894141891501,0.1666441618652808,0.6865168967158043,0.2331149946814134,0,9.124455539983725,4.06893655778822,0.998001469321689,0.9921188698971454,921d65a15e117c9eec33b64807db3668e4395870fb73fc024fc1a6816d089c1e
cent_al_f02_n17_p16,high_occupancy_high_risk,0.3118574445443107,0.14606637944282516,0.1666608442573671,0.6872727762998077,0.22937341111565446,0,11.233753443854951,4.999999999999999,0.9999999999999999,0.9999999999999999,f3ec78b59e14558ca851f3565f3b32c081deb8b15dcb34c40e56979c06b7dfd4
cent_al_f03_n9_p8,high_occupancy_high_risk,0.2670548481015882,0.5771603779306048,0.05555555558399125,0.3672840664854039,0.07080069671292996,0,9.955197825738283,1.9187053910141816,0.9962661664940418,0.9852375637773085,b3b9b46946539d575d59fff7cede544e96ff3e135ff1b669a1e3cd8906d0abcd
cent_al_f04_n9_p8,high_occupancy_high_risk,0.31230618867617815,0.14606637368482941,0.16666084425742045,0.6872727820577501,0.23232096094332857,0,12.815992728750098,4.999999999999999,0.9999999999999999,0.9999999999999999,e91a65857a159cd31be555fe44c41a0195185e5a0ed8ba0efca7e81580d77f89
cent_al_f05_n9_p8,high_occupancy_high_risk,0.31230618867617815,0.14606637368482941,0.16666084425742045,0.6872727820577501,0.23232096094332857,0,12.815992728750098,4.999999999999999,0.9999999999999999,0.9999999999999999,e91a65857a159cd31be555fe44c41a0195185e5a0ed8ba0efca7e81580d77f89
cent_al_f06_n9_p8,high_occupancy_high_risk,0.2670548481015882,0.5771603779306048,0.05555555558399125,0.3672840664854039,0.07080069671292996,0,9.955197825738283,1.9187053910141816,0.9962661664940418,0.9852375637773085,b3b9b46946539d575d59fff7cede544e96ff3e135ff1b669a1e3cd8906d0abcd
cent_al_f07_n9_p8,high_occupancy_high_risk,0.31230618867617815,0.14606637368482941,0.16666084425742045,0.6872727820577501,0.23232096094332857,0,12.815992728750098,4.999999999999999,0.9999999999999999,0.9999999999999999,e91a65857a159cd31be555fe44c41a0195185e5a0ed8ba0efca7e81580d77f89
cent_al_f08_n9_p8,high_occupancy_high_risk,0.311450537066379,0.2778598679888929,9.407603858931445e-13,0.7221401320101664,0.38630172000553226,0,9.479412078618413,5.822214231914275,0.9852375637773085,0.9437293044088437,d294fc9a8e1459741f452a51ff09b76a206df934875914e3ce96e13dd90e209a
cent_al_f09_n9_p8,high_occupancy_high_risk,0.31230618867617815,0.14606637368482941,0.16666084425742045,0.6872727820577501,0.23232096094332857,0,12.815992728750098,4.999999999999999,0.9999999999999999,0.9999999999999999,e91a65857a159cd31be555fe44c41a0195185e5a0ed8ba0efca7e81580d77f89
cent_al_f10_n9_p8,high_occupancy_high_risk,0.25931426630721366,0.28471158559972326,0.0201589710025884,0.6951294433976883,0.2390511960070806,0,6.888285811295429,3.375782665714713,0.9877521545456269,0.9518137464987337,06e02e8ce120617f1bde1fd424248c757eca696f5e0ee7b38039170c0263fca8
cent_al_f11_n17_p16,high_occupancy_high_risk,0.30515987998696625,0.5731147219673475,0.05588836959964252,0.37099690843301,0.12309720021038388,0,3.6674230434204764,2.4154877748587045,0.9836771054755072,0.937937888429133,86dad82f9f8ed616d7d30f9edd5742b2b2d9c2277617996ac3b36bd53dd9b5a3
cent_al_f12_n17_p16,high_occupancy_high_risk,0.32305455047111964,0.15597967491594233,0.16607976371058383,0.6779405613734738,0.2399091708171335,0,5.0873729019940805,3.2777189086472562,0.9804276428494646,0.9291993382174323,510218b8bef8445c000f56c2abbe64734c53091d46c42df47ea23bbee17e5ceb
