field_id,bucket,role,peer_count,bin_sparsity,obs_stay,obs_a0,obs_A,disc_n_occupied_bins,disc_n_zero_bins,disc_max_zero_run,disc_max_bin_mass,disc_top2_peak_gap,disc_peak_bin_distance,disc_antipodal_pairing,disc_focal_bin_mass,disc_bin_boundary_proximity,n_peer_neighbors_available,k_used,nearest_emd,mean_emd_k,nearest_canonical,mean_canonical_k,neighbor_mean_stay,neighbor_mean_a0,neighbor_mean_activity,neighbor_stay_std,neighbor_a0_std,neighbor_response_mean_tv,frac_neighbors_high_stay,frac_neighbors_active,diagnosis,diagnosis_refined,pred_peer_specific_global_p_stay,pred_peer_specific_global_a0,pred_peer_specific_global_A,pred_peer_specific_canonical_emd_p_stay,pred_peer_specific_canonical_emd_a0,pred_peer_specific_canonical_emd_A,pred_peer_specific_activity_direction_p_stay,pred_peer_specific_activity_direction_a0,pred_peer_specific_activity_direction_A,pred_peer16_global_p_stay,pred_peer16_global_a0,pred_peer16_global_A,pred_peer16_canonical_emd_p_stay,pred_peer16_canonical_emd_a0,pred_peer16_canonical_emd_A,pred_peer16_activity_direction_p_stay,pred_peer16_activity_direction_a0,pred_peer16_activity_direction_A,pred_peer16_discrete_emd_p_stay,pred_peer16_discrete_emd_a0,pred_peer16_discrete_emd_A
cent_al_f25_n9_p8,k0_or_drift,active_learning,8,0.16666666666666666,0.0,0.9375,1.0,4.0,20.0,20.0,0.5,0.25,3.0,0.0,0.0,0.75,82,16,0.01996527777777778,0.07503255208333334,2.6693858781558335,4.012211134501802,0.0,0.8541666666666667,1.0,0.0,0.21143524093942123,0.10972222222222222,0.0,1.0,neighbors_active_feature_gap,neighbors_active_feature_gap,0.10523532522474881,0.058170280274986774,0.8947646747752511,0.03894373486730109,0.6459009428680756,0.9610562651326987,0.0384615402869589,0.527651687202819,0.9615384597130412,,,,,,,,,,,,
cent_al_f26_n9_p8,k0_or_drift,active_learning,8,0.16666666666666666,0.0,-0.875,1.0,4.0,20.0,20.0,0.625,0.5,1.0,0.0,0.75,0.75,82,16,0.02951388888888889,0.076171875,3.7131912985182596,5.153484221496749,0.328125,0.11979166666666664,0.671875,0.422324863026741,0.42996361078261286,0.5798611111111112,0.375,0.625,local_noncompressibility,local_noncompressibility,0.10523532522474881,0.058170280274986774,0.8947646747752511,0.382712605739009,0.026250255352473828,0.617287394260991,0.10638268476081522,-0.13853329362383227,0.8936173152391848,,,,,,,,,,,,
cent_al_f27_n9_p8,k0_or_drift,active_learning,8,0.16666666666666666,0.0,-0.25,1.0,4.0,20.0,19.0,0.375,0.125,2.0,0.0,0.0,0.75,82,16,0.034722222222222224,0.07855902777777778,3.3402186737096367,3.274942481670263,0.0,0.5833333333333334,1.0,0.0,0.5892556509887896,0.3097222222222221,0.0,1.0,neighbors_active_feature_gap,neighbors_active_feature_gap,0.10523532522474881,0.058170280274986774,0.8947646747752511,0.06534331478409311,0.6259516471287918,0.9346566852159071,0.03864863421284169,0.8407731079110313,0.9613513657871583,,,,,,,,,,,,
cent_al_f28_n9_p8,k0_or_drift,active_learning,8,0.3333333333333333,0.8518518518518519,0.07407407407407407,0.14814814814814814,8.0,16.0,4.0,0.125,0.0,3.0,0.75,0.125,1.0,82,16,0.0703125,0.1494683159722222,3.0044937577832926,8.614827582905324,0.1640625,0.34114583333333337,0.8359375,0.3328345063146999,0.6173522986731995,0.5434027777777779,0.125,0.875,neighbors_active_feature_gap,neighbors_active_feature_gap,0.10523532522474881,0.058170280274986774,0.8947646747752511,0.05284117845567363,0.8411408877987699,0.9471588215443262,0.05588343655758967,0.8214573441797938,0.9441165634424104,,,,,,,,,,,,
cent_al_f29_n17_p16,k0_or_drift,active_learning,16,0.2916666666666667,0.0,0.7419354838709677,1.0,7.0,17.0,17.0,0.25,0.0625,2.0,0.0,0.3125,0.1875,1430,16,0.0859375,0.12266710069444445,7.528419292230263,10.674957613371607,0.2109375,-0.0234375,0.7890625,0.32988738016745955,0.4150930571495385,0.4666666666666667,0.1875,0.75,neighbors_active_feature_gap,neighbors_active_feature_gap,0.19532503246505234,-0.09655488503552062,0.8046749675349476,0.052664671756079355,-0.42071117336026037,0.9473353282439203,0.01774954293543609,-0.4365465342596474,0.9822504570645639,0.19532503246505234,-0.09655488503552062,0.8046749675349476,0.052664671756079355,-0.42071117336026037,0.9473353282439203,0.01774954293606825,-0.4365465515957346,0.9822504570639319,0.05263166334435553,-0.4210517478402162,0.9473683366556447
cent_ctrl_unimodal_positive_polar,control,centers_unimodal_positive_polar,16,0.25,1.0,0.0,0.0,6.0,18.0,18.0,0.3125,0.0,1.0,0.0,0.75,0.125,1430,16,0.010416666666666666,0.0652126736111111,2.8295968702578365,6.704600054920978,0.1015625,-0.0859375,0.8984375,0.21295333078810955,0.5091328987540974,0.41458333333333336,0.0625,0.875,neighbors_active_feature_gap,neighbors_active_feature_gap,0.19532503246505234,-0.09655488503552062,0.8046749675349476,0.1546430336653219,-0.06238084706624619,0.8453569663346778,0.06072854586770782,-0.3209637463366594,0.9392714541322922,0.19532503246505234,-0.09655488503552062,0.8046749675349476,0.1546430336653219,-0.06238084706624619,0.8453569663346778,0.06072854586770782,-0.3209637463366594,0.9392714541322922,0.06074506040628211,-0.40935664190509446,0.9392549395937178
cent_ctrl_unimodal_sign_reversed,control,centers_sign_reversed_anchor,16,0.25,1.0,0.0,0.0,6.0,18.0,18.0,0.3125,0.0,1.0,0.0,0.0,0.125,1430,16,0.15885416666666666,0.1606716579861111,12.781776915441018,12.633767762286125,0.0625,-0.5,0.9375,0.13975424859373686,0.5229125165837972,0.3625,0.0,0.9375,neighbors_active_feature_gap,neighbors_active_feature_gap,0.19532503246505234,-0.09655488503552062,0.8046749675349476,0.0034067608282939894,-0.017950669681515628,0.02944122563306469,1.3671506759938243e-15,-0.13574134315510666,0.9999999999999987,0.19532503246505234,-0.09655488503552062,0.8046749675349476,0.0034067608282939894,-0.017950669681515628,0.02944122563306469,1.3690392242503185e-15,-0.13492974541128583,0.9999999999999987,5.506212933763592e-10,2.6386886064147684e-10,2.7306241126565333e-09
cent_ctrl_exact_antipodal,control,exact_antipodal,16,0.4166666666666667,0.23809523809523808,-0.09523809523809523,0.7619047619047619,10.0,14.0,6.0,0.1875,0.0,12.0,1.0,0.375,0.625,1430,16,0.0,0.014539930555555554,0.0,0.9481364054450523,0.5859375,-0.0859375,0.4140625,0.4115489747208101,0.4067755014670254,0.5395833333333333,0.5625,0.3125,local_noncompressibility,local_noncompressibility,0.19532503246505234,-0.09655488503552062,0.8046749675349476,0.4395614113374734,0.10819375894074937,0.5604385886625269,0.45851543784843607,-0.009728297838430322,0.5414845621515639,0.19532503246505234,-0.09655488503552062,0.8046749675349476,0.4395614113374734,0.10819375894074937,0.5604385886625269,0.45653601434836016,-0.0029772745209978857,0.5434639856516399,0.24537294448599378,0.1400581989707811,0.7546270555140062
cent_ctrl_small_imbalance,control,small_imbalance,16,0.25,0.14814814814814814,0.7037037037037037,0.8518518518518519,6.0,18.0,8.0,0.3125,0.0625,12.0,0.875,0.4375,1.0,1430,16,0.0,0.024359809027777776,0.0,1.8772413685162308,0.0859375,0.4140625,0.9140625,0.11455373670793109,0.5706334713226608,0.3875,0.0,1.0,neighbors_active_feature_gap,neighbors_active_feature_gap,0.19532503246505234,-0.09655488503552062,0.8046749675349476,0.11005782967053639,0.17296526163263937,0.8899421703294637,0.11394531046285558,0.5519118523325486,0.8860546895371444,0.19532503246505234,-0.09655488503552062,0.8046749675349476,0.11005782967053639,0.17296526163263937,0.8899421703294637,0.1140487292335492,0.5480817645886162,0.8859512707664507,0.15233577487768302,0.17748776330538457,0.8476642251223168
cent_ctrl_sparse_unimodal,control,sparse_unimodal,8,0.25,1.0,0.0,0.0,6.0,18.0,18.0,0.25,0.0,1.0,0.0,0.625,0.25,82,16,0.0,0.0625,0.0,1.92920026510328,0.328125,0.05729166666666666,0.671875,0.422324863026741,0.3605054683473377,0.5555555555555556,0.375,0.625,local_noncompressibility,local_noncompressibility,0.10523532522474881,0.058170280274986774,0.8947646747752511,0.3485072454854668,0.13647709676412123,0.6514927545145329,0.9012211730160561,0.01228960559322842,0.09877882698394391,,,,,,,,,,,,
cent_ctrl_sparse_antipodal,control,sparse_antipodal,16,0.5,1.0,0.0,0.0,12.0,12.0,6.0,0.125,0.0,1.0,1.0,0.3125,0.25,1430,16,0.0,0.012803819444444444,0.0,0.8785411872647761,0.5390625,-0.0078125,0.4609375,0.41391506809217515,0.481024196214442,0.58125,0.4375,0.375,local_noncompressibility,local_noncompressibility,0.19532503246505234,-0.09655488503552062,0.8046749675349476,0.4617132696142336,0.03142431671054802,0.5382867303857664,0.7796135321504174,0.015577252066996367,0.2203864678495826,0.19532503246505234,-0.09655488503552062,0.8046749675349476,0.4617132696142336,0.03142431671054802,0.5382867303857664,0.7463269192982315,0.012088332154121195,0.2536730807017685,0.44405420686568675,0.1166887303789508,0.555945793134313
