field_id,block,bucket,role,peer_count,bin_sparsity,n_calls,n_invalid,invalid_rate,n_valid_strict,R_pre,p_stay_pre,p_minus_pre,p_plus_pre,abs_z1,d_shape,d_native,unresolved_near_zero
cent_al_f00_n17_p16,block_1,high_occupancy_high_risk,active_learning,16,0.08333333333333333,16,0,0.0,16,0.28540107661335956,0.05555555555555745,0.5771604936145008,0.3672839508299417,0.998001469321689,9.124455539983725,3.1460214309120476,0
cent_al_f00_n17_p16,block_2,high_occupancy_high_risk,active_learning,16,0.08333333333333333,16,0,0.0,16,0.28540107661335956,0.05555555555555745,0.5771604936145008,0.3672839508299417,0.998001469321689,9.124455539983725,3.1460214309120476,0
cent_al_f01_n17_p16,block_1,high_occupancy_high_risk,active_learning,16,0.08333333333333333,16,0,0.0,16,0.3063873452415051,0.1666441618652808,0.14683894141891501,0.6865168967158043,0.998001469321689,9.124455539983725,4.06893655778822,0
cent_al_f01_n17_p16,block_2,high_occupancy_high_risk,active_learning,16,0.08333333333333333,16,0,0.0,16,0.3063873452415051,0.1666441618652808,0.14683894141891501,0.6865168967158043,0.998001469321689,9.124455539983725,4.06893655778822,0
cent_al_f02_n17_p16,block_1,high_occupancy_high_risk,active_learning,16,0.041666666666666664,16,0,0.0,16,0.3118574445443107,0.1666608442573671,0.14606637944282516,0.6872727762998077,0.9999999999999999,11.233753443854951,4.999999999999999,0
cent_al_f02_n17_p16,block_2,high_occupancy_high_risk,active_learning,16,0.041666666666666664,16,0,0.0,16,0.3118574445443107,0.1666608442573671,0.14606637944282516,0.6872727762998077,0.9999999999999999,11.233753443854951,4.999999999999999,0
cent_al_f03_n9_p8,block_1,high_occupancy_high_risk,active_learning,8,0.08333333333333333,16,0,0.0,16,0.2670548481015882,0.05555555558399125,0.5771603779306048,0.3672840664854039,0.9962661664940418,9.955197825738283,1.9187053910141816,0
cent_al_f03_n9_p8,block_2,high_occupancy_high_risk,active_learning,8,0.08333333333333333,16,0,0.0,16,0.2670548481015882,0.05555555558399125,0.5771603779306048,0.3672840664854039,0.9962661664940418,9.955197825738283,1.9187053910141816,0
cent_al_f04_n9_p8,block_1,high_occupancy_high_risk,active_learning,8,0.041666666666666664,16,0,0.0,16,0.31230618867617815,0.16666084425742045,0.14606637368482941,0.6872727820577501,0.9999999999999999,12.815992728750098,4.999999999999999,0
cent_al_f04_n9_p8,block_2,high_occupancy_high_risk,active_learning,8,0.041666666666666664,16,0,0.0,16,0.31230618867617815,0.16666084425742045,0.14606637368482941,0.6872727820577501,0.9999999999999999,12.815992728750098,4.999999999999999,0
cent_al_f05_n9_p8,block_1,high_occupancy_high_risk,active_learning,8,0.041666666666666664,16,0,0.0,16,0.31230618867617815,0.16666084425742045,0.14606637368482941,0.6872727820577501,0.9999999999999999,12.815992728750098,4.999999999999999,0
cent_al_f05_n9_p8,block_2,high_occupancy_high_risk,active_learning,8,0.041666666666666664,16,0,0.0,16,0.31230618867617815,0.16666084425742045,0.14606637368482941,0.6872727820577501,0.9999999999999999,12.815992728750098,4.999999999999999,0
cent_al_f06_n9_p8,block_1,high_occupancy_high_risk,active_learning,8,0.08333333333333333,16,0,0.0,16,0.2670548481015882,0.05555555558399125,0.5771603779306048,0.3672840664854039,0.9962661664940418,9.955197825738283,1.9187053910141816,0
cent_al_f06_n9_p8,block_2,high_occupancy_high_risk,active_learning,8,0.08333333333333333,16,0,0.0,16,0.2670548481015882,0.05555555558399125,0.5771603779306048,0.3672840664854039,0.9962661664940418,9.955197825738283,1.9187053910141816,0
cent_al_f07_n9_p8,block_1,high_occupancy_high_risk,active_learning,8,0.041666666666666664,16,0,0.0,16,0.31230618867617815,0.16666084425742045,0.14606637368482941,0.6872727820577501,0.9999999999999999,12.815992728750098,4.999999999999999,0
cent_al_f07_n9_p8,block_2,high_occupancy_high_risk,active_learning,8,0.041666666666666664,16,0,0.0,16,0.31230618867617815,0.16666084425742045,0.14606637368482941,0.6872727820577501,0.9999999999999999,12.815992728750098,4.999999999999999,0
cent_al_f08_n9_p8,block_1,high_occupancy_high_risk,active_learning,8,0.08333333333333333,16,0,0.0,16,0.311450537066379,9.407603858931445e-13,0.2778598679888929,0.7221401320101664,0.9852375637773085,9.479412078618413,5.822214231914275,0
cent_al_f08_n9_p8,block_2,high_occupancy_high_risk,active_learning,8,0.08333333333333333,16,0,0.0,16,0.311450537066379,9.407603858931445e-13,0.2778598679888929,0.7221401320101664,0.9852375637773085,9.479412078618413,5.822214231914275,0
cent_al_f09_n9_p8,block_1,high_occupancy_high_risk,active_learning,8,0.041666666666666664,16,0,0.0,16,0.31230618867617815,0.16666084425742045,0.14606637368482941,0.6872727820577501,0.9999999999999999,12.815992728750098,4.999999999999999,0
cent_al_f09_n9_p8,block_2,high_occupancy_high_risk,active_learning,8,0.041666666666666664,16,0,0.0,16,0.31230618867617815,0.16666084425742045,0.14606637368482941,0.6872727820577501,0.9999999999999999,12.815992728750098,4.999999999999999,0
cent_al_f10_n9_p8,block_1,high_occupancy_high_risk,active_learning,8,0.125,16,1,0.0625,15,0.25931426630721366,0.0201589710025884,0.28471158559972326,0.6951294433976883,0.9877521545456269,6.888285811295429,3.375782665714713,0
cent_al_f10_n9_p8,block_2,high_occupancy_high_risk,active_learning,8,0.125,16,0,0.0,16,0.25931426630721366,0.0201589710025884,0.28471158559972326,0.6951294433976883,0.9877521545456269,6.888285811295429,3.375782665714713,0
cent_al_f11_n17_p16,block_1,high_occupancy_high_risk,active_learning,16,0.125,16,1,0.0625,15,0.30515987998696625,0.05588836959964252,0.5731147219673475,0.37099690843301,0.9836771054755072,3.6674230434204764,2.4154877748587045,0
cent_al_f11_n17_p16,block_2,high_occupancy_high_risk,active_learning,16,0.125,16,0,0.0,16,0.30515987998696625,0.05588836959964252,0.5731147219673475,0.37099690843301,0.9836771054755072,3.6674230434204764,2.4154877748587045,0
cent_al_f12_n17_p16,block_1,high_occupancy_high_risk,active_learning,16,0.125,16,0,0.0,16,0.32305455047111964,0.16607976371058383,0.15597967491594233,0.6779405613734738,0.9804276428494646,5.0873729019940805,3.2777189086472562,0
cent_al_f12_n17_p16,block_2,high_occupancy_high_risk,active_learning,16,0.125,16,0,0.0,16,0.32305455047111964,0.16607976371058383,0.15597967491594233,0.6779405613734738,0.9804276428494646,5.0873729019940805,3.2777189086472562,0
cent_al_f13_n17_p16,block_1,high_occupancy_high_risk,active_learning,16,0.16666666666666666,16,0,0.0,16,0.31087167056481463,0.05555546684000764,0.05248581070368847,0.8919587224563038,0.9784334994588838,4.450282656779027,3.8630844302523784,0
cent_al_f13_n17_p16,block_2,high_occupancy_high_risk,active_learning,16,0.16666666666666666,16,0,0.0,16,0.31087167056481463,0.05555546684000764,0.05248581070368847,0.8919587224563038,0.9784334994588838,4.450282656779027,3.8630844302523784,0
cent_al_f14_n17_p16,block_1,high_occupancy_high_risk,active_learning,16,0.041666666666666664,16,0,0.0,16,0.2918700461761089,5.274779965178156e-19,0.24572151949840015,0.7542784805015998,1.0,11.233753443854953,6.411388904490512,0
cent_al_f14_n17_p16,block_2,high_occupancy_high_risk,active_learning,16,0.041666666666666664,16,0,0.0,16,0.2918700461761089,5.274779965178156e-19,0.24572151949840015,0.7542784805015998,1.0,11.233753443854953,6.411388904490512,0
cent_al_f15_n9_p8,block_1,high_occupancy_high_risk,active_learning,8,0.125,16,0,0.0,16,0.30009602903574656,0.03530625965166941,0.7967824282970398,0.16791131205129076,0.982999824109709,7.152312282191417,3.6069166377604813,0
cent_al_f15_n9_p8,block_2,high_occupancy_high_risk,active_learning,8,0.125,16,1,0.0625,15,0.30009602903574656,0.03530625965166941,0.7967824282970398,0.16791131205129076,0.982999824109709,7.152312282191417,3.6069166377604813,0
cent_al_f16_n9_p8,block_1,model_disagreement,active_learning,8,0.125,16,1,0.0625,15,0.36543923276628754,1.6214406096906707e-05,0.7636382057508491,0.23634557984305407,0.7464421681266855,8.669485516650942,5.149860219570466,0
cent_al_f16_n9_p8,block_2,model_disagreement,active_learning,8,0.125,16,6,0.375,10,0.36543923276628754,1.6214406096906707e-05,0.7636382057508491,0.23634557984305407,0.7464421681266855,8.669485516650942,5.149860219570466,0
cent_al_f17_n9_p8,block_1,model_disagreement,active_learning,8,0.125,16,1,0.0625,15,0.338080081668029,0.6916234915845417,0.24935934251259045,0.05901716590286782,0.7464421681266853,8.141189541267458,4.848874432369787,0
cent_al_f17_n9_p8,block_2,model_disagreement,active_learning,8,0.125,16,3,0.1875,13,0.338080081668029,0.6916234915845417,0.24935934251259045,0.05901716590286782,0.7464421681266853,8.141189541267458,4.848874432369787,0
cent_al_f18_n9_p8,block_1,model_disagreement,active_learning,8,0.20833333333333334,16,7,0.4375,9,0.32899877846998926,0.05380321091709703,0.6814037778429551,0.26479301123994775,0.7414814565722672,7.2408440605372775,4.625681556172645,0
cent_al_f18_n9_p8,block_2,model_disagreement,active_learning,8,0.20833333333333334,16,3,0.1875,13,0.32899877846998926,0.05380321091709703,0.6814037778429551,0.26479301123994775,0.7414814565722672,7.2408440605372775,4.625681556172645,0
cent_al_f19_n9_p8,block_1,model_disagreement,active_learning,8,0.20833333333333334,16,0,0.0,16,0.3535448863838194,0.03848586232980013,0.7228075263403171,0.23870661132988277,0.8201039844286642,6.656360312105063,4.686895711556738,0
cent_al_f19_n9_p8,block_2,model_disagreement,active_learning,8,0.20833333333333334,16,2,0.125,14,0.3535448863838194,0.03848586232980013,0.7228075263403171,0.23870661132988277,0.8201039844286642,6.656360312105063,4.686895711556738,0
cent_al_f20_n9_p8,block_1,model_disagreement,active_learning,8,0.16666666666666666,16,0,0.0,16,0.37301769502575266,0.11679764973376007,0.32269262657375414,0.5605097236924858,0.8802832811876804,7.129636540928075,4.93187486401299,0
cent_al_f20_n9_p8,block_2,model_disagreement,active_learning,8,0.16666666666666666,16,0,0.0,16,0.37301769502575266,0.11679764973376007,0.32269262657375414,0.5605097236924858,0.8802832811876804,7.129636540928075,4.93187486401299,0
cent_al_f21_n9_p8,block_1,model_disagreement,active_learning,8,0.16666666666666666,16,1,0.0625,15,0.3355605415660828,0.2146066231163682,0.490761839637949,0.29463153724568286,0.7745090084859765,9.406018198285084,5.856339459420169,0
cent_al_f21_n9_p8,block_2,model_disagreement,active_learning,8,0.16666666666666666,16,0,0.0,16,0.3355605415660828,0.2146066231163682,0.490761839637949,0.29463153724568286,0.7745090084859765,9.406018198285084,5.856339459420169,0
cent_al_f22_n9_p8,block_1,model_disagreement,active_learning,8,0.16666666666666666,16,0,0.0,16,0.36975697094347965,0.05555540753035448,0.05270369238282392,0.8917409000868216,0.6548191727030512,10.1632258641769,6.5417015919584385,0
cent_al_f22_n9_p8,block_2,model_disagreement,active_learning,8,0.16666666666666666,16,0,0.0,16,0.36975697094347965,0.05555540753035448,0.05270369238282392,0.8917409000868216,0.6548191727030512,10.1632258641769,6.5417015919584385,0
cent_al_f23_n9_p8,block_1,model_disagreement,active_learning,8,0.125,16,0,0.0,16,0.3055455001740441,0.06912982785437219,0.5330774145544722,0.39779275759115557,0.9829998241097091,6.684723995946438,3.1438901407719815,0
cent_al_f23_n9_p8,block_2,model_disagreement,active_learning,8,0.125,16,0,0.0,16,0.3055455001740441,0.06912982785437219,0.5330774145544722,0.39779275759115557,0.9829998241097091,6.684723995946438,3.1438901407719815,0
cent_al_f24_n9_p8,block_1,k0_or_drift,active_learning,8,0.16666666666666666,16,0,0.0,16,0.28662747335466,0.02716351820328148,0.35252563399595305,0.6203108478007655,0.9709435122414051,6.3022255277790435,2.584325962774663,0
cent_al_f24_n9_p8,block_2,k0_or_drift,active_learning,8,0.16666666666666666,16,0,0.0,16,0.28662747335466,0.02716351820328148,0.35252563399595305,0.6203108478007655,0.9709435122414051,6.3022255277790435,2.584325962774663,0
cent_al_f25_n9_p8,block_1,k0_or_drift,active_learning,8,0.16666666666666666,16,0,0.0,16,0.3552083186558595,0.038456960484758454,0.22390939001924284,0.7376336494959987,0.945622933841472,10.272837763970227,3.4075874679429083,0
cent_al_f25_n9_p8,block_2,k0_or_drift,active_learning,8,0.16666666666666666,16,0,0.0,16,0.3552083186558595,0.038456960484758454,0.22390939001924284,0.7376336494959987,0.945622933841472,10.272837763970227,3.4075874679429083,0
cent_al_f26_n9_p8,block_1,k0_or_drift,active_learning,8,0.16666666666666666,16,0,0.0,16,0.33899097466735345,0.13620849274922367,0.2629493307767117,0.6008421764740647,0.9600320162737876,6.421071688681747,3.5519276722039095,0
cent_al_f26_n9_p8,block_2,k0_or_drift,active_learning,8,0.16666666666666666,16,0,0.0,16,0.33899097466735345,0.13620849274922367,0.2629493307767117,0.6008421764740647,0.9600320162737876,6.421071688681747,3.5519276722039095,0
cent_al_f27_n9_p8,block_1,k0_or_drift,active_learning,8,0.16666666666666666,16,0,0.0,16,0.35253150132564837,0.038423275372817374,0.05226130186809903,0.9093154227590835,0.9412435652024183,4.968882864320237,3.768780795634921,0
cent_al_f27_n9_p8,block_2,k0_or_drift,active_learning,8,0.16666666666666666,16,0,0.0,16,0.35253150132564837,0.038423275372817374,0.05226130186809903,0.9093154227590835,0.9412435652024183,4.968882864320237,3.768780795634921,0
cent_al_f28_n9_p8,block_1,k0_or_drift,active_learning,8,0.3333333333333333,16,1,0.0625,15,0.38058434865125595,0.1035590115952536,0.563643008954022,0.3327979794507244,0.0647047612756303,8.11813300010748,4.5468873763388515,0
cent_al_f28_n9_p8,block_2,k0_or_drift,active_learning,8,0.3333333333333333,16,4,0.25,12,0.38058434865125595,0.1035590115952536,0.563643008954022,0.3327979794507244,0.0647047612756303,8.11813300010748,4.5468873763388515,0
cent_al_f29_n17_p16,block_1,k0_or_drift,active_learning,16,0.2916666666666667,16,1,0.0625,15,0.34279228778677934,0.02619655380090196,0.7156161191205652,0.2581873270785328,0.8978721491200702,6.324024545966698,2.006621871317454,0
cent_al_f29_n17_p16,block_2,k0_or_drift,active_learning,16,0.2916666666666667,16,0,0.0,16,0.34279228778677934,0.02619655380090196,0.7156161191205652,0.2581873270785328,0.8978721491200702,6.324024545966698,2.006621871317454,0
cent_ctrl_unimodal_positive_polar,block_1,control,centers_unimodal_positive_polar,16,0.25,16,0,0.0,16,0.2802840078395839,0.20674944941789763,0.4336039173536147,0.3596466332284877,0.9497920890228576,5.500245355170261,1.1919022748705408,0
cent_ctrl_unimodal_positive_polar,block_2,control,centers_unimodal_positive_polar,16,0.25,16,0,0.0,16,0.2802840078395839,0.20674944941789763,0.4336039173536147,0.3596466332284877,0.9497920890228576,5.500245355170261,1.1919022748705408,0
cent_ctrl_unimodal_sign_reversed,block_1,control,centers_sign_reversed_anchor,16,0.25,16,0,0.0,16,0.29800736833116326,0.3148906690718148,0.38681125872512634,0.298298072203059,0.9497920890228575,5.500245355170262,1.3780731958666952,0
cent_ctrl_unimodal_sign_reversed,block_2,control,centers_sign_reversed_anchor,16,0.25,16,0,0.0,16,0.29800736833116326,0.3148906690718148,0.38681125872512634,0.298298072203059,0.9497920890228575,5.500245355170262,1.3780731958666952,0
cent_ctrl_exact_antipodal,block_1,control,exact_antipodal,16,0.4166666666666667,16,3,0.1875,13,0.3443438859433958,0.41804881601633104,0.3082332902127618,0.27371789377090716,2.7755575615628914e-17,0.24235543062876902,0.0,0
cent_ctrl_exact_antipodal,block_2,control,exact_antipodal,16,0.4166666666666667,16,8,0.5,8,0.3443438859433958,0.41804881601633104,0.3082332902127618,0.27371789377090716,2.7755575615628914e-17,0.24235543062876902,0.0,0
cent_ctrl_small_imbalance,block_1,control,small_imbalance,16,0.25,16,3,0.1875,13,0.29635325832564613,0.12446984959823276,0.17852986738296353,0.6970002830188037,0.12074072828613354,1.2961898356925174,0.0,0
cent_ctrl_small_imbalance,block_2,control,small_imbalance,16,0.25,16,2,0.125,14,0.29635325832564613,0.12446984959823276,0.17852986738296353,0.6970002830188037,0.12074072828613354,1.2961898356925174,0.0,0
cent_ctrl_sparse_unimodal,block_1,control,sparse_unimodal,8,0.25,16,0,0.0,16,0.2374570322011587,0.9327207190107912,0.031208331145617867,0.036070949843590897,0.9250306488875357,5.087253121284243,0.0,0
cent_ctrl_sparse_unimodal,block_2,control,sparse_unimodal,8,0.25,16,0,0.0,16,0.2374570322011587,0.9327207190107912,0.031208331145617867,0.036070949843590897,0.9250306488875357,5.087253121284243,0.0,0
cent_ctrl_sparse_antipodal,block_1,control,sparse_antipodal,16,0.5,16,12,0.75,4,0.36038532079436536,0.6728338352048217,0.1643712117356608,0.16279495305951755,0.0,1.1417954799452459,0.0,0
cent_ctrl_sparse_antipodal,block_2,control,sparse_antipodal,16,0.5,16,12,0.75,4,0.36038532079436536,0.6728338352048217,0.1643712117356608,0.16279495305951755,0.0,1.1417954799452459,0.0,0
