block,representation,profile,concentration,fourier_order,g_prime0,n_fixed_points_fitted,status
block_1,centers_24_standard,kappa_4,4.0,2,-0.11430236206958266,0,diagnostic_only_not_primary
block_1,centers_24_standard,kappa_4,4.0,4,1.5189588988795624,4,diagnostic_only_not_primary
block_1,centers_24_standard,kappa_4,4.0,6,2.8314489852131066,4,diagnostic_only_not_primary
block_1,centers_24_standard,kappa_4,4.0,8,2.8900087418406946,4,diagnostic_only_not_primary
block_1,centers_24_standard,kappa_4,4.0,12,6.492569485196997,10,diagnostic_only_not_primary
block_1,centers_24_standard,kappa_6,6.0,2,-0.30308173557183654,2,diagnostic_only_not_primary
block_1,centers_24_standard,kappa_6,6.0,4,-0.1917116617686188,2,diagnostic_only_not_primary
block_1,centers_24_standard,kappa_6,6.0,6,1.1555876655059838,6,diagnostic_only_not_primary
block_1,centers_24_standard,kappa_6,6.0,8,1.7396718812720149,6,diagnostic_only_not_primary
block_1,centers_24_standard,kappa_6,6.0,12,1.0608411914689624,8,diagnostic_only_not_primary
block_1,centers_24_standard,kappa_9,9.0,2,-0.26043924694856807,2,diagnostic_only_not_primary
block_1,centers_24_standard,kappa_9,9.0,4,1.2722102171882712,4,diagnostic_only_not_primary
block_1,centers_24_standard,kappa_9,9.0,6,1.4208395550858692,6,diagnostic_only_not_primary
block_1,centers_24_standard,kappa_9,9.0,8,0.41146338233581087,6,diagnostic_only_not_primary
block_1,centers_24_standard,kappa_9,9.0,12,2.2923580322243753,10,diagnostic_only_not_primary
block_1,centers_24_standard,kappa_12,12.0,2,-0.6054028295454491,2,diagnostic_only_not_primary
block_1,centers_24_standard,kappa_12,12.0,4,-0.28242552210571575,2,diagnostic_only_not_primary
block_1,centers_24_standard,kappa_12,12.0,6,0.5466702005450562,2,diagnostic_only_not_primary
block_1,centers_24_standard,kappa_12,12.0,8,1.7795757665062826,6,diagnostic_only_not_primary
block_1,centers_24_standard,kappa_12,12.0,12,0.8888021148379732,12,diagnostic_only_not_primary
block_2,intervals_24_decimal6,kappa_2,2.0,2,0.7096505555732873,2,diagnostic_only_not_primary
block_2,intervals_24_decimal6,kappa_2,2.0,4,1.3197065957035696,4,diagnostic_only_not_primary
block_2,intervals_24_decimal6,kappa_2,2.0,6,0.9162691789737601,6,diagnostic_only_not_primary
block_2,intervals_24_decimal6,kappa_2,2.0,8,-0.7898436543907282,6,diagnostic_only_not_primary
block_2,intervals_24_decimal6,kappa_2,2.0,12,0.4231438238305487,10,diagnostic_only_not_primary
block_2,intervals_24_decimal6,kappa_4,4.0,2,0.47164980942547297,2,diagnostic_only_not_primary
block_2,intervals_24_decimal6,kappa_4,4.0,4,-0.6004240910578912,4,diagnostic_only_not_primary
block_2,intervals_24_decimal6,kappa_4,4.0,6,-1.2276802642476337,4,diagnostic_only_not_primary
block_2,intervals_24_decimal6,kappa_4,4.0,8,-0.7643349169855165,4,diagnostic_only_not_primary
block_2,intervals_24_decimal6,kappa_4,4.0,12,-1.7317145693688178,8,diagnostic_only_not_primary
block_2,intervals_24_decimal6,kappa_6,6.0,2,0.17292708234950582,2,diagnostic_only_not_primary
block_2,intervals_24_decimal6,kappa_6,6.0,4,0.996074562434204,6,diagnostic_only_not_primary
block_2,intervals_24_decimal6,kappa_6,6.0,6,1.7406793650030896,8,diagnostic_only_not_primary
block_2,intervals_24_decimal6,kappa_6,6.0,8,0.4538991032586648,8,diagnostic_only_not_primary
block_2,intervals_24_decimal6,kappa_6,6.0,12,-1.3453206934692155,10,diagnostic_only_not_primary
block_2,intervals_24_decimal6,kappa_9,9.0,2,0.7965213270399543,4,diagnostic_only_not_primary
block_2,intervals_24_decimal6,kappa_9,9.0,4,0.038557000999348404,4,diagnostic_only_not_primary
block_2,intervals_24_decimal6,kappa_9,9.0,6,0.7780783745361514,6,diagnostic_only_not_primary
block_2,intervals_24_decimal6,kappa_9,9.0,8,-1.239307255494606,6,diagnostic_only_not_primary
block_2,intervals_24_decimal6,kappa_9,9.0,12,-3.7601558108431523,10,diagnostic_only_not_primary
block_2,intervals_24_decimal6,kappa_12,12.0,2,0.7812640232015653,4,diagnostic_only_not_primary
block_2,intervals_24_decimal6,kappa_12,12.0,4,1.6398751902003124,6,diagnostic_only_not_primary
block_2,intervals_24_decimal6,kappa_12,12.0,6,2.7984961615831905,6,diagnostic_only_not_primary
block_2,intervals_24_decimal6,kappa_12,12.0,8,2.2785948086810817,8,diagnostic_only_not_primary
block_2,intervals_24_decimal6,kappa_12,12.0,12,4.137038622130472,8,diagnostic_only_not_primary
block_2,moments_m1_m3,kappa_2,2.0,2,1.8706708725276888,2,diagnostic_only_not_primary
block_2,moments_m1_m3,kappa_2,2.0,4,2.9406896263801223,4,diagnostic_only_not_primary
block_2,moments_m1_m3,kappa_2,2.0,6,3.5526829003910025,4,diagnostic_only_not_primary
block_2,moments_m1_m3,kappa_2,2.0,8,5.024229104128747,4,diagnostic_only_not_primary
block_2,moments_m1_m3,kappa_2,2.0,12,6.951406562763222,4,diagnostic_only_not_primary
block_2,moments_m1_m3,kappa_4,4.0,2,1.8296212325006789,2,diagnostic_only_not_primary
block_2,moments_m1_m3,kappa_4,4.0,4,3.198386165628081,2,diagnostic_only_not_primary
block_2,moments_m1_m3,kappa_4,4.0,6,4.175592943184838,2,diagnostic_only_not_primary
block_2,moments_m1_m3,kappa_4,4.0,8,5.666783569972437,2,diagnostic_only_not_primary
block_2,moments_m1_m3,kappa_4,4.0,12,8.108984362606398,2,diagnostic_only_not_primary
block_2,moments_m1_m3,kappa_6,6.0,2,2.0583759150166903,2,diagnostic_only_not_primary
block_2,moments_m1_m3,kappa_6,6.0,4,3.0962150928275145,4,diagnostic_only_not_primary
block_2,moments_m1_m3,kappa_6,6.0,6,3.8928948703564092,4,diagnostic_only_not_primary
block_2,moments_m1_m3,kappa_6,6.0,8,5.216411938892857,4,diagnostic_only_not_primary
block_2,moments_m1_m3,kappa_6,6.0,12,7.464421003494289,4,diagnostic_only_not_primary
block_2,moments_m1_m3,kappa_9,9.0,2,1.9080928123043615,2,diagnostic_only_not_primary
block_2,moments_m1_m3,kappa_9,9.0,4,3.3951256407083,4,diagnostic_only_not_primary
block_2,moments_m1_m3,kappa_9,9.0,6,4.203569264647851,4,diagnostic_only_not_primary
block_2,moments_m1_m3,kappa_9,9.0,8,5.488808492899602,4,diagnostic_only_not_primary
block_2,moments_m1_m3,kappa_9,9.0,12,7.372553104051131,4,diagnostic_only_not_primary
block_2,moments_m1_m3,kappa_12,12.0,2,1.8277684482305778,2,diagnostic_only_not_primary
block_2,moments_m1_m3,kappa_12,12.0,4,3.316808891211328,4,diagnostic_only_not_primary
block_2,moments_m1_m3,kappa_12,12.0,6,4.146746391524177,4,diagnostic_only_not_primary
block_2,moments_m1_m3,kappa_12,12.0,8,5.323485505829995,4,diagnostic_only_not_primary
block_2,moments_m1_m3,kappa_12,12.0,12,7.3660246044288336,4,diagnostic_only_not_primary
block_2,centers_24_standard,kappa_2,2.0,2,0.5903902901037335,2,diagnostic_only_not_primary
block_2,centers_24_standard,kappa_2,2.0,4,2.125228354646878,4,diagnostic_only_not_primary
block_2,centers_24_standard,kappa_2,2.0,6,2.3589570908571864,4,diagnostic_only_not_primary
block_2,centers_24_standard,kappa_2,2.0,8,0.25895969621090315,4,diagnostic_only_not_primary
block_2,centers_24_standard,kappa_2,2.0,12,0.34348858968728324,8,diagnostic_only_not_primary
block_2,centers_24_standard,kappa_4,4.0,2,-0.13082987853903807,0,diagnostic_only_not_primary
block_2,centers_24_standard,kappa_4,4.0,4,1.3780138639792325,4,diagnostic_only_not_primary
block_2,centers_24_standard,kappa_4,4.0,6,2.7643043952606714,4,diagnostic_only_not_primary
block_2,centers_24_standard,kappa_4,4.0,8,2.7959923034164658,4,diagnostic_only_not_primary
block_2,centers_24_standard,kappa_4,4.0,12,6.793006499452264,10,diagnostic_only_not_primary
block_2,centers_24_standard,kappa_6,6.0,2,-0.4672955804639027,0,diagnostic_only_not_primary
block_2,centers_24_standard,kappa_6,6.0,4,-0.4671836789415182,4,diagnostic_only_not_primary
block_2,centers_24_standard,kappa_6,6.0,6,0.07887123062198667,4,diagnostic_only_not_primary
block_2,centers_24_standard,kappa_6,6.0,8,0.45660160515049125,6,diagnostic_only_not_primary
block_2,centers_24_standard,kappa_6,6.0,12,0.6485399992823113,12,diagnostic_only_not_primary
block_2,centers_24_standard,kappa_9,9.0,2,-0.21199138887705546,0,diagnostic_only_not_primary
block_2,centers_24_standard,kappa_9,9.0,4,1.2173757760489037,4,diagnostic_only_not_primary
block_2,centers_24_standard,kappa_9,9.0,6,1.3597047279954875,4,diagnostic_only_not_primary
block_2,centers_24_standard,kappa_9,9.0,8,-0.5129032276204394,6,diagnostic_only_not_primary
block_2,centers_24_standard,kappa_9,9.0,12,1.7217942664389712,14,diagnostic_only_not_primary
block_2,centers_24_standard,kappa_12,12.0,2,-0.4143867293140408,2,diagnostic_only_not_primary
block_2,centers_24_standard,kappa_12,12.0,4,0.5001382263233071,2,diagnostic_only_not_primary
block_2,centers_24_standard,kappa_12,12.0,6,1.306624164795347,2,diagnostic_only_not_primary
block_2,centers_24_standard,kappa_12,12.0,8,2.2911312654914227,6,diagnostic_only_not_primary
block_2,centers_24_standard,kappa_12,12.0,12,1.6044154953997247,12,diagnostic_only_not_primary
