block,profile,concentration,representation_a,representation_b,comparison,response_l2,complex_low_order,c1_chordal,c2_chordal,mean_tv,mean_js,mean_sym_kl
block_1,kappa_2,2.0,intervals_24_decimal6,moments_m1_m3,between_representation,0.5515821891115373,0.4814134741011909,0.2796019525410816,0.3667439530915774,0.22569444444444445,0.07477811476042477,1.438280443097331
block_1,kappa_2,2.0,intervals_24_decimal6,centers_24_standard,between_representation,0.760208684989446,0.5946403592192482,0.3094890970718638,0.21437722174044088,0.318287037037037,0.11448718101609041,1.7852043880072257
block_1,kappa_2,2.0,moments_m1_m3,centers_24_standard,between_representation,0.7649040164378317,0.7569074958303412,0.4139990613186839,0.5456516980674576,0.28935185185185186,0.1214431558160727,2.5975704803359596
block_1,kappa_4,4.0,intervals_24_decimal6,moments_m1_m3,between_representation,0.8069594243683281,0.8592199769090949,0.6795114481348096,0.5258009750643025,0.34837962962962965,0.14248066480862906,2.841414348870626
block_1,kappa_4,4.0,intervals_24_decimal6,centers_24_standard,between_representation,0.8402726129660003,0.5146930328360593,0.10169431798504264,0.20385435827140494,0.380787037037037,0.12315602524371425,1.40173085580824
block_1,kappa_4,4.0,moments_m1_m3,centers_24_standard,between_representation,1.0145931964134447,1.0923336266729347,0.779795228715612,0.6042408799286206,0.4097222222222222,0.19347957663093437,3.7277029186706536
block_1,kappa_6,6.0,intervals_24_decimal6,moments_m1_m3,between_representation,0.9031151583169826,0.9323521932387461,0.6974775474502516,0.6083813359987884,0.3738425925925926,0.15543986039298893,2.603778134443866
block_1,kappa_6,6.0,intervals_24_decimal6,centers_24_standard,between_representation,0.8567273662780638,0.762842758252104,0.2940541300304797,0.4345995926518465,0.35416666666666663,0.12675605502791518,1.6302912800350724
block_1,kappa_6,6.0,moments_m1_m3,centers_24_standard,between_representation,1.1617417798008265,1.2505411721905144,0.8996363969100682,0.7482874719468147,0.4895833333333333,0.2212481139235708,3.3051010637652416
block_1,kappa_9,9.0,intervals_24_decimal6,moments_m1_m3,between_representation,0.9557603099491319,0.9852701358941616,0.9584483946356621,0.012989630826772604,0.39351851851851855,0.17822919728089934,3.4185771332207775
block_1,kappa_9,9.0,intervals_24_decimal6,centers_24_standard,between_representation,0.998443696036025,0.7157993459571886,0.3243365182745646,0.501088839865614,0.4328703703703704,0.16853976889792469,2.140756128913976
block_1,kappa_9,9.0,moments_m1_m3,centers_24_standard,between_representation,1.1077357308136448,1.2499111509287262,1.1326620453565655,0.5014245969622286,0.47916666666666674,0.2280010722748207,4.482862860497095
