block,representation,profile,concentration,estimator,a0
block_1,moments_m1_m3,kappa_9,9.0,fourier_M6,-0.015707729738556466
block_1,moments_m1_m3,kappa_9,9.0,fourier_M8,-0.018221770088429047
block_1,moments_m1_m3,kappa_9,9.0,fourier_M12,-0.015323221766485678
block_1,moments_m1_m3,kappa_9,9.0,unweighted_mean_g,0.002314814814814825
block_1,moments_m1_m3,kappa_9,9.0,density_weighted_mean_g,-0.012803704412835766
block_1,moments_m1_m3,kappa_9,9.0,mirror_even_mean_g,0.002314814814814819
block_1,moments_m1_m3,kappa_12,12.0,fourier_M2,0.017135118526930435
block_1,moments_m1_m3,kappa_12,12.0,fourier_M4,0.014362216754456727
block_1,moments_m1_m3,kappa_12,12.0,fourier_M6,0.012134282752491565
block_1,moments_m1_m3,kappa_12,12.0,fourier_M8,0.015512388284484766
block_1,moments_m1_m3,kappa_12,12.0,fourier_M12,0.013026037337428612
block_1,moments_m1_m3,kappa_12,12.0,unweighted_mean_g,0.016203703703703703
block_1,moments_m1_m3,kappa_12,12.0,density_weighted_mean_g,0.01357647380597907
block_1,moments_m1_m3,kappa_12,12.0,mirror_even_mean_g,0.016203703703703703
block_1,centers_24_standard,kappa_2,2.0,fourier_M2,-0.3100462591550552
block_1,centers_24_standard,kappa_2,2.0,fourier_M4,-0.30856262725086137
block_1,centers_24_standard,kappa_2,2.0,fourier_M6,-0.30946867910402265
block_1,centers_24_standard,kappa_2,2.0,fourier_M8,-0.30529825215811307
block_1,centers_24_standard,kappa_2,2.0,fourier_M12,-0.30119975172464336
block_1,centers_24_standard,kappa_2,2.0,unweighted_mean_g,-0.3125
block_1,centers_24_standard,kappa_2,2.0,density_weighted_mean_g,-0.3069314920815557
block_1,centers_24_standard,kappa_2,2.0,mirror_even_mean_g,-0.3125
block_1,centers_24_standard,kappa_4,4.0,fourier_M2,-0.36263595359289696
block_1,centers_24_standard,kappa_4,4.0,fourier_M4,-0.3579227066940671
block_1,centers_24_standard,kappa_4,4.0,fourier_M6,-0.358527583698225
block_1,centers_24_standard,kappa_4,4.0,fourier_M8,-0.351605670855657
block_1,centers_24_standard,kappa_4,4.0,fourier_M12,-0.329224530020655
block_1,centers_24_standard,kappa_4,4.0,unweighted_mean_g,-0.3645833333333333
block_1,centers_24_standard,kappa_4,4.0,density_weighted_mean_g,-0.34771316758347054
block_1,centers_24_standard,kappa_4,4.0,mirror_even_mean_g,-0.3645833333333333
block_1,centers_24_standard,kappa_6,6.0,fourier_M2,-0.348335542387331
block_1,centers_24_standard,kappa_6,6.0,fourier_M4,-0.33504936479660313
block_1,centers_24_standard,kappa_6,6.0,fourier_M6,-0.33646359811805177
block_1,centers_24_standard,kappa_6,6.0,fourier_M8,-0.3241212694343858
block_1,centers_24_standard,kappa_6,6.0,fourier_M12,-0.3431997631054553
block_1,centers_24_standard,kappa_6,6.0,unweighted_mean_g,-0.35185185185185186
block_1,centers_24_standard,kappa_6,6.0,density_weighted_mean_g,-0.3359077628926162
block_1,centers_24_standard,kappa_6,6.0,mirror_even_mean_g,-0.35185185185185186
block_1,centers_24_standard,kappa_9,9.0,fourier_M2,-0.17478258582053047
block_1,centers_24_standard,kappa_9,9.0,fourier_M4,-0.17869673329923746
block_1,centers_24_standard,kappa_9,9.0,fourier_M6,-0.18282430517594628
block_1,centers_24_standard,kappa_9,9.0,fourier_M8,-0.17984187326534795
block_1,centers_24_standard,kappa_9,9.0,fourier_M12,-0.1848942005114668
block_1,centers_24_standard,kappa_9,9.0,unweighted_mean_g,-0.17708333333333334
block_1,centers_24_standard,kappa_9,9.0,density_weighted_mean_g,-0.17834694882612337
block_1,centers_24_standard,kappa_9,9.0,mirror_even_mean_g,-0.17708333333333334
block_1,centers_24_standard,kappa_12,12.0,fourier_M2,-0.2759267145773806
block_1,centers_24_standard,kappa_12,12.0,fourier_M4,-0.28968702544658703
block_1,centers_24_standard,kappa_12,12.0,fourier_M6,-0.2920376738299285
block_1,centers_24_standard,kappa_12,12.0,fourier_M8,-0.29015496065251895
block_1,centers_24_standard,kappa_12,12.0,fourier_M12,-0.261745176839981
block_1,centers_24_standard,kappa_12,12.0,unweighted_mean_g,-0.27314814814814814
block_1,centers_24_standard,kappa_12,12.0,density_weighted_mean_g,-0.2743077905751036
block_1,centers_24_standard,kappa_12,12.0,mirror_even_mean_g,-0.27314814814814814
block_2,intervals_24_decimal6,kappa_2,2.0,fourier_M2,0.13464164443503865
block_2,intervals_24_decimal6,kappa_2,2.0,fourier_M4,0.1317728895180822
block_2,intervals_24_decimal6,kappa_2,2.0,fourier_M6,0.13125795034234464
block_2,intervals_24_decimal6,kappa_2,2.0,fourier_M8,0.13164411989764607
block_2,intervals_24_decimal6,kappa_2,2.0,fourier_M12,0.12506859946070314
block_2,intervals_24_decimal6,kappa_2,2.0,unweighted_mean_g,0.13657407407407407
block_2,intervals_24_decimal6,kappa_2,2.0,density_weighted_mean_g,0.12983903775474664
block_2,intervals_24_decimal6,kappa_2,2.0,mirror_even_mean_g,0.13657407407407407
block_2,intervals_24_decimal6,kappa_4,4.0,fourier_M2,0.059071680722889104
block_2,intervals_24_decimal6,kappa_4,4.0,fourier_M4,0.05782045928342465
block_2,intervals_24_decimal6,kappa_4,4.0,fourier_M6,0.05780757294595832
block_2,intervals_24_decimal6,kappa_4,4.0,fourier_M8,0.05814821670972044
block_2,intervals_24_decimal6,kappa_4,4.0,fourier_M12,0.07883545711168742
block_2,intervals_24_decimal6,kappa_4,4.0,unweighted_mean_g,0.05902777777777776
block_2,intervals_24_decimal6,kappa_4,4.0,density_weighted_mean_g,0.07372595163093602
block_2,intervals_24_decimal6,kappa_4,4.0,mirror_even_mean_g,0.059027777777777776
block_2,intervals_24_decimal6,kappa_6,6.0,fourier_M2,0.13130198798461318
block_2,intervals_24_decimal6,kappa_6,6.0,fourier_M4,0.14223862513038132
block_2,intervals_24_decimal6,kappa_6,6.0,fourier_M6,0.14302110252628256
block_2,intervals_24_decimal6,kappa_6,6.0,fourier_M8,0.1366540268669738
block_2,intervals_24_decimal6,kappa_6,6.0,fourier_M12,0.14927087178502393
block_2,intervals_24_decimal6,kappa_6,6.0,unweighted_mean_g,0.13078703703703706
block_2,intervals_24_decimal6,kappa_6,6.0,density_weighted_mean_g,0.14661225884564802
block_2,intervals_24_decimal6,kappa_6,6.0,mirror_even_mean_g,0.13078703703703703
block_2,intervals_24_decimal6,kappa_9,9.0,fourier_M2,0.2851774705253599
block_2,intervals_24_decimal6,kappa_9,9.0,fourier_M4,0.2881987194076333
block_2,intervals_24_decimal6,kappa_9,9.0,fourier_M6,0.286471356564745
block_2,intervals_24_decimal6,kappa_9,9.0,fourier_M8,0.2839070074171255
block_2,intervals_24_decimal6,kappa_9,9.0,fourier_M12,0.2713367886296927
block_2,intervals_24_decimal6,kappa_9,9.0,unweighted_mean_g,0.28472222222222215
block_2,intervals_24_decimal6,kappa_9,9.0,density_weighted_mean_g,0.27944784675392387
block_2,intervals_24_decimal6,kappa_9,9.0,mirror_even_mean_g,0.2847222222222222
block_2,intervals_24_decimal6,kappa_12,12.0,fourier_M2,0.14972770452558276
block_2,intervals_24_decimal6,kappa_12,12.0,fourier_M4,0.1365895061753051
block_2,intervals_24_decimal6,kappa_12,12.0,fourier_M6,0.13732642574996567
block_2,intervals_24_decimal6,kappa_12,12.0,fourier_M8,0.13650376920287835
block_2,intervals_24_decimal6,kappa_12,12.0,fourier_M12,0.14872060664697573
block_2,intervals_24_decimal6,kappa_12,12.0,unweighted_mean_g,0.14930555555555555
block_2,intervals_24_decimal6,kappa_12,12.0,density_weighted_mean_g,0.14747847123048352
block_2,intervals_24_decimal6,kappa_12,12.0,mirror_even_mean_g,0.14930555555555555
block_2,moments_m1_m3,kappa_2,2.0,fourier_M2,0.03204408704198144
block_2,moments_m1_m3,kappa_2,2.0,fourier_M4,0.039867642040947296
block_2,moments_m1_m3,kappa_2,2.0,fourier_M6,0.04257260630587603
block_2,moments_m1_m3,kappa_2,2.0,fourier_M8,0.046547192313485766
block_2,moments_m1_m3,kappa_2,2.0,fourier_M12,0.036897090153703294
block_2,moments_m1_m3,kappa_2,2.0,unweighted_mean_g,0.032407407407407406
block_2,moments_m1_m3,kappa_2,2.0,density_weighted_mean_g,0.039572005960425136
block_2,moments_m1_m3,kappa_2,2.0,mirror_even_mean_g,0.03240740740740741
block_2,moments_m1_m3,kappa_4,4.0,fourier_M2,0.09730019888692998
block_2,moments_m1_m3,kappa_4,4.0,fourier_M4,0.09231633077428461
block_2,moments_m1_m3,kappa_4,4.0,fourier_M6,0.09169927955797219
block_2,moments_m1_m3,kappa_4,4.0,fourier_M8,0.09638537723025699
block_2,moments_m1_m3,kappa_4,4.0,fourier_M12,0.08174075511940361
block_2,moments_m1_m3,kappa_4,4.0,unweighted_mean_g,0.09490740740740741
block_2,moments_m1_m3,kappa_4,4.0,density_weighted_mean_g,0.08610592122119973
block_2,moments_m1_m3,kappa_4,4.0,mirror_even_mean_g,0.0949074074074074
block_2,moments_m1_m3,kappa_6,6.0,fourier_M2,0.09209656915161821
block_2,moments_m1_m3,kappa_6,6.0,fourier_M4,0.0902957427921462
block_2,moments_m1_m3,kappa_6,6.0,fourier_M6,0.08915968630906891
block_2,moments_m1_m3,kappa_6,6.0,fourier_M8,0.08742216563002786
block_2,moments_m1_m3,kappa_6,6.0,fourier_M12,0.09724845531346796
block_2,moments_m1_m3,kappa_6,6.0,unweighted_mean_g,0.0902777777777778
block_2,moments_m1_m3,kappa_6,6.0,density_weighted_mean_g,0.09278282256719472
block_2,moments_m1_m3,kappa_6,6.0,mirror_even_mean_g,0.09027777777777779
block_2,moments_m1_m3,kappa_9,9.0,fourier_M2,-0.028781739737323668
block_2,moments_m1_m3,kappa_9,9.0,fourier_M4,-0.04430303195942578
block_2,moments_m1_m3,kappa_9,9.0,fourier_M6,-0.05037571044880746
block_2,moments_m1_m3,kappa_9,9.0,fourier_M8,-0.05141260524314057
