block,representation,profile,concentration,a0,a1,b1,R1,phi1,phi1_degrees,phi1_reportable,phi1_raw_degrees,a2,b2,R2,phi2,phi2_degrees,phi2_reportable,phi2_raw_degrees,activity,mean_stay,mean_entropy,entropy_units,entropy_normalized_by_log3,no_stay_directional_controller,hard_directional_controller,a0_fourier_range,a0_unweighted_mean_g,a0_density_weighted_mean_g,a0_mirror_even_mean_g,g_prime0_M6_diagnostic,g_prime0_order_range_diagnostic,g_prime0_sign_flip_diagnostic,n_fixed_points_diagnostic
block_1,intervals_24_decimal6,kappa_2,2.0,0.1508095654447381,0.6935995348817785,0.010419563213393494,0.6936777941420479,0.015021318480653589,0.8606581516633167,1,0.8606581516633167,0.08087497444263955,-0.04393070804316429,0.0920362352569429,nan,nan,0,-28.510493113314862,0.9826388888888891,0.017361111111111112,0.47298564884862493,nats,0,0,0,0.006547501926152888,0.15162037037037035,0.14607056089062656,0.15162037037037035,0.7551487852580432,2.7514713151370502,1,10
block_1,intervals_24_decimal6,kappa_4,4.0,0.10300311338842758,0.36191316650072725,0.02977590922898682,0.3631359867281071,0.0820887429533357,4.703338516760412,1,4.703338516760412,-0.06694190784906569,-0.02929650681399126,0.07307191210017046,nan,nan,0,-156.36385378672824,0.9849537037037037,0.015046296296296299,0.5729789380534664,nats,0,0,0,0.013734647149120219,0.10995370370370372,0.11257638307007388,0.10995370370370372,-1.21145020743417,1.425842285306009,1,12
block_1,intervals_24_decimal6,kappa_6,6.0,0.21723707597991682,0.2928128323861906,0.18224775380303201,0.3448965041520049,0.5567300443651892,31.898281870256422,1,31.898281870256422,0.05096891812012919,-0.14827957393041175,0.15679497013399657,-1.2397134311318412,-71.03034740953674,1,-71.03034740953674,0.980324074074074,0.019675925925925923,0.5309696421115085,nats,0,0,0,0.016880319919621578,0.21180555555555558,0.2150810774287111,0.21180555555555558,1.896387922238337,4.096978486981601,1,18
block_1,intervals_24_decimal6,kappa_9,9.0,0.2122510055540524,0.03064183315212573,-0.09490275808418687,0.0997269042480935,nan,nan,0,-72.10597151236756,0.44923866422473313,0.0686108554972993,0.4544478264074918,0.15155582836061596,8.6835093256724,1,8.6835093256724,0.9733796296296295,0.026620370370370374,0.48427815001633095,nats,0,0,0,0.00679504272249587,0.2071759259259259,0.20877175235294287,0.20717592592592593,1.303077225451566,4.661658848068322,1,10
block_1,intervals_24_decimal6,kappa_12,12.0,0.14202113337968092,0.05372974286525393,0.17854643906132336,0.1864556681086557,1.2784877572240139,73.25195264808222,1,73.25195264808222,0.40266361284352437,-0.07133421342029307,0.40893343604123594,-0.1753366840870492,-10.046051992006541,1,-10.046051992006541,0.9722222222222222,0.027777777777777776,0.5272592962474967,nats,0,0,0,0.01582466616396369,0.1527777777777778,0.14374427021582686,0.15277777777777776,3.4511380654857655,3.950318693114794,0,9
block_1,moments_m1_m3,kappa_2,2.0,0.01267718671999608,0.9729693791136038,0.021809997738507874,0.973213793929199,0.022412160472684142,1.2841222048547296,1,1.2841222048547296,0.447028797140513,-0.06472746867965304,0.45169059174900844,-0.14379549262212615,-8.238874840252397,1,-8.238874840252397,1.0,0.0,0.21653149275116682,nats,0,1,1,0.014025719627692236,0.006944444444444437,0.0073001892463134994,0.0069444444444444415,3.7509312691650454,5.834006670391996,0,6
block_1,moments_m1_m3,kappa_4,4.0,0.11051944193555809,0.9832810439855932,-0.24524730611149786,1.01340409147405,-0.24443016730268585,-14.004816972120512,1,-14.004816972120512,0.3981306699957758,0.2160077180076068,0.45295404251440247,0.49710918538922466,28.48225827998898,1,28.48225827998898,1.0,0.0,0.159810499184178,nats,0,1,1,0.00631963713088958,0.11342592592592594,0.110065416656744,0.11342592592592594,4.188152762169245,6.119203003440029,0,4
block_1,moments_m1_m3,kappa_6,6.0,0.10464119218210025,0.8628810766773323,-0.21961929641138056,0.8903911431747634,-0.2492269347361815,-14.279651501365612,1,-14.279651501365612,0.5689052524747308,0.17089091898362477,0.5940175860060078,0.2918104754651674,16.71950866185995,1,16.71950866185995,1.0,0.0,0.20603547106318476,nats,0,1,1,0.013213950431437041,0.1111111111111111,0.10925998300436704,0.1111111111111111,3.925985833242953,5.946139654484373,0,4
block_1,moments_m1_m3,kappa_9,9.0,-0.015707729738556466,0.9841376072181175,0.0024067173946851522,0.9841405500382654,0.002445504144184495,0.1401170662435239,1,0.1401170662435239,0.44806587560423083,0.05567427651105021,0.45151152138789874,0.12362106176952271,7.082965098319704,1,7.082965098319704,1.0,0.0,0.16327045210797397,nats,0,1,1,0.021430028071006406,0.002314814814814825,-0.012803704412835766,0.002314814814814819,4.3290896203267,5.281771071453019,0,4
block_1,moments_m1_m3,kappa_12,12.0,0.012134282752491565,0.9859083155985585,-0.06103399282701131,0.9877957051165968,-0.061827455783650204,-3.5424522744348685,1,-3.5424522744348685,0.37079040835377475,0.0721159438630106,0.37773831720704737,0.19209429662187072,11.00619246496734,1,11.00619246496734,1.0,0.0,0.22001324545504122,nats,0,1,1,0.005000835774438869,0.016203703703703703,0.01357647380597907,0.016203703703703703,4.205590144042837,5.672146270896861,0,7
