block_a,block_b,profile,concentration,representation,comparison,response_l2,complex_low_order,c1_chordal,c2_chordal,mean_tv,mean_js,mean_sym_kl
block_1,block_2,kappa_2,2.0,intervals_24_decimal6,within_representation_across_blocks,0.28472617248772963,0.1103629661848138,0.05808927907476408,0.09177883366317306,0.1111111111111111,0.014938568005239858,0.08849334433837146
block_1,block_2,kappa_4,4.0,intervals_24_decimal6,within_representation_across_blocks,0.2843083103044467,0.14230922593842796,0.11971731648933139,0.062265905951017234,0.12152777777777778,0.01699728764694657,0.08781984702364015
block_1,block_2,kappa_6,6.0,intervals_24_decimal6,within_representation_across_blocks,0.3240500872876816,0.20242444936102097,0.09523158038414634,0.16247643854103852,0.13194444444444442,0.018950706187599295,0.12221486479787456
block_1,block_2,kappa_9,9.0,intervals_24_decimal6,within_representation_across_blocks,0.30532898341251097,0.18584603900385305,0.1592404821736083,0.060601638149376656,0.11921296296296297,0.02180255001892442,0.2667590531222823
block_1,block_2,kappa_12,12.0,intervals_24_decimal6,within_representation_across_blocks,0.2929403133507207,0.126250761173345,0.07203767331508683,0.1035750357975768,0.12731481481481483,0.018091910754159137,0.11770954524725193
block_1,block_2,kappa_2,2.0,moments_m1_m3,within_representation_across_blocks,0.16468865224743914,0.07914043702427528,0.05460398985872307,0.048865907867202636,0.04513888888888889,0.007413143401092779,0.1303548123089752
block_1,block_2,kappa_4,4.0,moments_m1_m3,within_representation_across_blocks,0.1864890221709215,0.05966853877888495,0.04995501472219669,0.026657691426560354,0.0462962962962963,0.010677949425500634,0.15983455887239956
block_1,block_2,kappa_6,6.0,moments_m1_m3,within_representation_across_blocks,0.17021902019306553,0.04825362284226959,0.02833384121829391,0.03585984572085897,0.04976851851851852,0.0071481107519098825,0.06458133135528173
block_1,block_2,kappa_9,9.0,moments_m1_m3,within_representation_across_blocks,0.12195515937377414,0.05794980377721472,0.03954256705741375,0.024345354008543214,0.03472222222222222,0.00635564800371401,0.12418238269829741
block_1,block_2,kappa_12,12.0,moments_m1_m3,within_representation_across_blocks,0.15565004206995228,0.1267800507231012,0.0897715730993409,0.0832681666587765,0.04398148148148148,0.0066302823235007856,0.08937899882152636
block_1,block_2,kappa_2,2.0,centers_24_standard,within_representation_across_blocks,0.20428599181821858,0.07018136575890165,0.03362483054430006,0.04210439279802404,0.07291666666666669,0.010638435319306963,0.1317929567856552
block_1,block_2,kappa_4,4.0,centers_24_standard,within_representation_across_blocks,0.23531914664047746,0.11603896586683983,0.05987782937445264,0.09757430299725639,0.08680555555555555,0.014474926544010946,0.19805742119573166
block_1,block_2,kappa_6,6.0,centers_24_standard,within_representation_across_blocks,0.28039246776310095,0.18401406059604938,0.12238482168632081,0.1372163867084733,0.11921296296296297,0.018089910131124428,0.15387184351493105
block_1,block_2,kappa_9,9.0,centers_24_standard,within_representation_across_blocks,0.29002659998366825,0.17766465192358363,0.0997138517557038,0.04524229444091557,0.11805555555555555,0.020696082370738556,0.24990783753354792
block_1,block_2,kappa_12,12.0,centers_24_standard,within_representation_across_blocks,0.23944029162613714,0.1389808812947071,0.06810147551070274,0.12086373172735566,0.09259259259259259,0.014655009628020169,0.16794101225296562
