representation,broad_a1,narrow_a1,broad_a2,narrow_a2,narrow_minus_broad_a2,broad_activity,narrow_activity,switching_probability,passes
baseline_intervals_24_decimal6,0.7346879598524575,0.31954912236582905,0.08371578903249571,0.22083647796503184,0.13712068893253612,0.8483333333333333,0.805,0.0002,False
centers_24_half_shift,0.7173236527073873,-0.01952722283113842,0.014433756729740491,0.4041451884327381,0.3897114317029976,0.9083333333333333,0.8541666666666666,0.6336,False
centers_24_standard,0.8341291568606821,0.13438036955848218,0.09381941874331416,0.07577722283113826,-0.0180421959121759,0.8312499999999999,0.8020833333333334,0.024,False
counts_100,0.3263755292455091,-0.35359770006547087,0.3355848439664701,0.16598820239201734,-0.16959664157445276,0.75625,0.7812499999999999,0.0,False
intervals_12,0.3438086796263498,-0.10584134911936126,0.42218738434491376,0.5737418300071907,0.15155444566227694,0.8312499999999999,0.8208333333333333,0.7704,False
intervals_24_decimal4,0.8343588913245535,0.1732852386171662,0.3283679656015996,0.27424137786507236,-0.05412658773652723,0.8375,0.7625000000000001,0.009,False
intervals_48,0.880261643401201,0.8491612200047937,0.3319764047840349,0.32475952641916456,-0.007216878364870338,0.8458333333333333,0.8354166666666667,0.0,False
moments_m1_m3,1.0143321206355334,1.062916512459885,0.33197640478403473,0.2886751345948128,-0.04330127018922192,0.9291666666666667,0.9187500000000001,0.0,False
