run_id,n_agents,coupling,seed_index,init_seed,final_r1,final_r2,final_r3,mean_r1,mean_r2,mean_r3,t_r1_gt_0.5,t_r1_gt_0.9,early_growth_r1,mean_activity,mean_p_stay_emp,mean_tau_social,omega_coll,mean_omega,omega_coll_predicted,engine_residual
N17_K+0.08_s0,17,0.08,0,2026089498,0.9988847527762105,0.9955450601245845,0.989999030004793,0.9083741334909144,0.8591338049453001,0.8359820084013095,7.0,24.0,0.08679845534306449,0.9705882352941176,0.029411764705882353,-0.042352941176470586,-0.0033882352941176316,8.163404592832033e-19,-0.003388235294117646,1.431146867680866e-17
N17_K+0.08_s1,17,0.08,1,2026089508,0.9984584830449477,0.993842811024546,0.9861795656553592,0.8357314158207763,0.8121926189757572,0.7660967897169848,14.0,39.0,0.09604050431401763,0.9805882352941176,0.019411764705882354,-0.06764705882352941,-0.005411764705882357,8.163404592832033e-19,-0.005411764705882352,-5.204170427930421e-18
N17_K+0.08_s2,17,0.08,2,2026089518,0.9985248747761701,0.9941104840591433,0.9867896894917639,0.9242457705050865,0.878484805395033,0.8345626068864632,3.0,24.0,0.052412737262149976,0.9688235294117648,0.031176470588235295,0.006470588235294118,0.0005176470588235307,8.163404592832033e-19,0.0005176470588235303,3.2526065174565133e-19
N17_K+0.08_s3,17,0.08,3,2026089528,0.9980949704155407,0.9923954187911648,0.9829478233300398,0.8832320831692461,0.8693117849224644,0.8220302754967554,3.0,41.0,0.05140167328994339,0.9776470588235294,0.02235294117647059,-0.13176470588235295,-0.010541176470588224,8.163404592832033e-19,-0.010541176470588236,1.214306433183765e-17
N17_K+0.1_s0,17,0.1,0,2026089518,0.9982727952266864,0.9931068094548297,0.984548749112604,0.944771427488316,0.9057800352953739,0.8697121947118073,3.0,18.0,0.062093860743150625,0.9658823529411765,0.03411764705882353,-0.021176470588235293,-0.002117647058823531,8.163404592832033e-19,-0.0021176470588235284,-2.6020852139652106e-18
N17_K+0.1_s1,17,0.1,1,2026089528,0.9976788580695428,0.9907382528310206,0.9792463877980647,0.9519429119633575,0.9005559930675899,0.8805976886892721,3.0,15.0,0.06767784559559421,0.9629411764705882,0.03705882352941176,0.017058823529411765,0.0017058823529411719,8.163404592832033e-19,0.0017058823529411775,-5.637851296924623e-18
N17_K+0.1_s2,17,0.1,2,2026089538,0.9988511230458406,0.9954111589402405,0.989700059785922,0.948614661894862,0.904871348196133,0.8964920125207069,3.0,15.0,0.08452505049585571,0.9652941176470589,0.03470588235294118,0.01588235294117647,0.0015882352941176492,8.163404592832033e-19,0.001588235294117648,1.3010426069826053e-18
N17_K+0.1_s3,17,0.1,3,2026089548,0.9982972929376674,0.9932056353238694,0.9847742388463492,0.8576958895100956,0.8448624292046126,0.8052359928301928,12.0,35.0,0.13241457625869407,0.9747058823529412,0.025294117647058825,-0.018235294117647058,-0.0018235294117647043,8.163404592832033e-19,-0.001823529411764705,6.505213034913027e-19
N17_K+0.12_s0,17,0.12,0,2026089538,0.9972456439902788,0.9890127165138158,0.9753912019650478,0.9593314369588714,0.9166932605563614,0.9050545139478359,3.0,12.0,0.09332797524293798,0.9647058823529412,0.03529411764705882,-0.004705882352941176,-0.0005647058823529386,8.163404592832033e-19,-0.0005647058823529403,1.6263032587282567e-18
N17_K+0.12_s1,17,0.12,1,2026089548,0.9975681930290182,0.9902992055791571,0.9782720413160736,0.8967970336778278,0.8741283083313155,0.8511730150048009,9.0,24.0,0.14696937658088377,0.9694117647058823,0.03058823529411765,-0.011764705882352941,-0.0014117647058823526,8.163404592832033e-19,-0.001411764705882352,-6.505213034913027e-19
N17_K+0.12_s2,17,0.12,2,2026089558,0.9973724286893942,0.9895109352012842,0.9764789670411832,0.9457738926712416,0.9150109707435254,0.8907670006878735,1.0,19.0,0.05148182775379418,0.9658823529411765,0.03411764705882353,-0.06,-0.007200000000000008,8.163404592832033e-19,-0.007199999999999999,-8.673617379884035e-18
N17_K+0.12_s3,17,0.12,3,2026089568,0.9985987472767838,0.9944037070571584,0.9874409791383641,0.9277530091723217,0.9074299023742934,0.8673104674661803,4.0,28.0,0.08946274813616376,0.9670588235294117,0.03294117647058824,-0.06823529411764706,-0.008188235294117647,8.163404592832033e-19,-0.008188235294117647,0.0
N17_K+0.15_s0,17,0.15,0,2026089568,0.9958835222093487,0.9835967653966389,0.9633265793168371,0.9471376577039458,0.9240209810817456,0.8863975944294827,4.0,15.0,0.09713721822445676,0.9641176470588235,0.03588235294117647,-0.03,-0.004499999999999999,8.163404592832033e-19,-0.004499999999999999,0.0
N17_K+0.15_s1,17,0.15,1,2026089578,0.9942374506652428,0.9770704344883218,0.9488583064958581,0.9510534569995618,0.9252425909685154,0.9082513811168856,4.0,13.0,0.12064962033399236,0.9605882352941176,0.039411764705882354,-0.03705882352941176,-0.005558823529411761,8.163404592832033e-19,-0.005558823529411764,2.6020852139652106e-18
N17_K+0.15_s2,17,0.15,2,2026089588,0.9965099555910115,0.9860835927998878,0.9688517338718098,0.9416221109513591,0.9073901655592439,0.8814568208230643,4.0,16.0,0.11197205177056718,0.9611764705882353,0.03882352941176471,-0.024705882352941175,-0.0037058823529411726,8.163404592832033e-19,-0.003705882352941175,2.6020852139652106e-18
N17_K+0.15_s3,17,0.15,3,2026089598,0.9955394529473633,0.9822444331826075,0.9603729342443084,0.9430000244705355,0.9385691966475143,0.9064966821929558,3.0,16.0,0.0631317970968898,0.9658823529411765,0.03411764705882353,-0.04941176470588235,-0.007411764705882351,8.163404592832033e-19,-0.007411764705882351,0.0
