coupling,n_seeds,llm_mean_final_r1,llm_mean_mean_r1,llm_mean_activity,llm_mean_t05,llm_mean_t09,llm_mean_tau,llm_mean_p_stay,llm_p_final_r1_gt_0.9,v1_mean_activity,v1_mean_final_r1,v1_mean_t09,mae_activity_vs_v1,mean_err_activity_vs_v1,mae_final_r1_vs_v1,v2_mean_activity,v2_mean_final_r1,v2_mean_t09,mae_activity_vs_v2,mean_err_activity_vs_v2,mae_final_r1_vs_v2
0.08,4,0.9984907702532173,0.8878958507465058,0.9744117647058823,6.75,32.0,-0.058823529411764705,0.025588235294117648,1.0,0.8730514705882353,0.9308742144186032,56.41488095238095,0.1013602941176471,0.1013602941176471,0.06761655583461398,0.946452205882353,0.9678155129578264,56.38482142857143,0.02795955882352938,0.02795955882352938,0.03067525729539078
0.1,4,0.9982750173199343,0.9257562227141577,0.9672058823529411,5.25,20.75,-0.0016176470588235292,0.03279411764705882,1.0,0.8660294117647058,0.9335742019101053,48.0,0.10117647058823537,0.10117647058823537,0.06470081540982897,0.9674264705882353,0.9557645113888935,41.41130952380952,0.008566176470588244,-0.0002205882352941113,0.042510505931040804
0.12,4,0.9976962532463688,0.9324138431200656,0.966764705882353,4.25,20.75,-0.036176470588235296,0.03323529411764706,1.0,0.8675367647058823,0.9356686539131793,47.5625,0.09922794117647066,0.09922794117647066,0.062027599333189354,0.9759374999999999,0.9343581284012742,51.1,0.009172794117647015,-0.009172794117647015,0.06333812484509466
0.15,4,0.9955425953532415,0.9457033125313505,0.9629411764705882,3.75,15.0,-0.03529411764705882,0.03705882352941176,1.0,0.8641360294117646,0.9489674630243472,45.773809523809526,0.0988051470588236,0.0988051470588236,0.04657513232889443,0.9715441176470588,0.9637186556361999,41.26190476190476,0.008602941176470591,-0.008602941176470591,0.03182393971704167
