block,representation,profile,concentration,a0,a1,a2,b1,b2,activity,a1_class,a1_ci_low,a1_ci_high
feature_block_1,intervals_n24_d2_o0,kappa_2,2.0,0.19314271520259643,-0.2128716193010525,-0.06186099066262002,-0.11283729491665331,-0.07975146854194554,0.8287037037037037,unresolved,-0.3283452530419907,-0.012348967715266897
feature_block_1,intervals_n24_d2_o0,kappa_6,6.0,0.6644917528702832,-0.15746339988791985,0.007729275612231951,-0.12928819844428152,-0.2963181212339087,0.925925925925926,unresolved,-0.25594467620800754,0.0033965443750664146
feature_block_1,intervals_n24_d2_o0,kappa_9,9.0,0.6945889897740322,-0.15555511167276515,0.04038583109900502,0.023411660500160414,-0.18319246654507934,0.9583333333333335,unresolved,-0.23899345585241533,-0.007806669287035996
feature_block_1,intervals_n24_d2_o0,kappa_12,12.0,0.6885894792383516,-0.16162611860724246,0.08989568604285476,0.01593955413487807,-0.2820057812297866,0.9768518518518517,unresolved,-0.2559064459972372,-0.0063056602158767855
feature_block_1,intervals_n24_d3_o0,kappa_2,2.0,0.1925226091028002,0.22553089654489697,0.012380452654838656,-0.025385793603637987,-0.143012222534543,0.9768518518518517,unresolved,0.03045187405220601,0.3218319184313321
feature_block_1,intervals_n24_d3_o0,kappa_6,6.0,0.5383448804435674,-0.1766843370709103,0.09760096005650494,-0.15927065878453997,-0.17302202484810722,0.9629629629629629,unresolved,-0.28043071459257884,-0.0007963499759597143
feature_block_1,intervals_n24_d3_o0,kappa_9,9.0,0.5994119647106935,-0.33835548212552585,0.17280497072708262,0.049430106852530326,-0.1978403424606242,0.9861111111111112,unresolved,-0.4010412479139179,-0.1410397985848759
feature_block_1,intervals_n24_d3_o0,kappa_12,12.0,0.6511096732297149,-0.2567717738456392,0.22748692838573775,-0.06573989636973078,-0.2614256677607959,0.9814814814814815,unresolved,-0.3346892456226912,-0.07677901027316832
feature_block_1,intervals_n24_d4_o0,kappa_2,2.0,-0.1554839708397344,0.7484767331710519,0.16258655926611312,0.05968462048622347,-0.12135667696719564,0.9722222222222222,polar,0.4619643545089429,0.7305324412719096
feature_block_1,intervals_n24_d4_o0,kappa_6,6.0,-0.20516643470738477,0.22025102972086832,0.07642873123993094,0.12854815782966483,-0.15513909255252284,0.9537037037037037,unresolved,0.023774802655713922,0.3311156319026183
feature_block_1,intervals_n24_d4_o0,kappa_9,9.0,-0.08546527131895995,0.13042619097810798,0.2193017994401836,0.07333961555284439,-0.056029534392148556,0.9444444444444446,unresolved,-0.05657609015448226,0.26176970855021797
feature_block_1,intervals_n24_d4_o0,kappa_12,12.0,-0.07572050433365615,0.1765383334396775,-0.10093862019694393,0.04258376983342781,0.01965338900410701,0.9675925925925927,unresolved,-0.02458438927764419,0.30815755305356607
feature_block_1,intervals_n24_d5_o0,kappa_2,2.0,-0.32235616431750636,0.6479296568646657,0.329133799787266,0.14205478236393532,-0.041449288627439296,0.9583333333333334,polar,0.38016453101783043,0.6513789562135716
feature_block_1,intervals_n24_d5_o0,kappa_6,6.0,-0.05824933520002512,0.1058226069455869,0.12237928362491568,0.3482111163251284,0.0331881243766208,0.9675925925925927,unresolved,-0.05991560486167653,0.22299096539726607
feature_block_1,intervals_n24_d5_o0,kappa_9,9.0,-0.2360144014748083,0.006599702010540159,-0.016052109451137258,0.19532717480549577,-0.1527582791974366,0.9861111111111112,suppressed,-0.16237733219643583,0.17306313881526064
feature_block_1,intervals_n24_d5_o0,kappa_12,12.0,-0.2414665204881165,-0.07487533000311802,0.38750011247314986,-0.08153323769041135,-0.08063490816297983,0.9583333333333334,suppressed,-0.21438231886127743,0.09673020155881798
