panel,n_agents,coupling,n_seeds,llm_mean_activity,v1_mean_activity,v2_mean_activity,llm_mean_final_r1,v1_mean_final_r1,v2_mean_final_r1,llm_mean_t09,v1_mean_t09,v2_mean_t09,llm_mean_tau,v1_mean_tau,v2_mean_tau,llm_mean_p_stay,obs_stay_teacher,v1_pred_stay,v2_pred_stay,lock_frac_llm,mean_delta_e_A,mean_delta_e_stay
v0.2a,17,0.08,4,0.9744117647058823,0.8730514705882353,0.946452205882353,0.9984907702532173,0.9308742144186032,0.9678155129578264,32.0,56.41488095238095,56.38482142857143,-0.058823529411764705,0.019779411764705886,0.04314338235294117,0.025588235294117648,0.025588235294117648,0.1359499124915748,0.035957747908722186,1.0,0.07340073529411772,0.0999921645828526
v0.2a,17,0.1,4,0.9672058823529411,0.8660294117647058,0.9674264705882353,0.9982750173199343,0.9335742019101053,0.9557645113888935,20.75,48.0,41.41130952380952,-0.0016176470588235292,-0.005367647058823531,0.05106617647058824,0.03279411764705882,0.03279411764705882,0.1369423957050267,0.029619595713390727,1.0,0.09261029411764712,0.09976826140844615
v0.2a,17,0.12,4,0.966764705882353,0.8675367647058823,0.9759374999999999,0.9976962532463688,0.9356686539131793,0.9343581284012742,20.75,47.5625,51.1,-0.036176470588235296,-0.015147058823529413,0.034540441176470586,0.03323529411764706,0.03323529411764706,0.13787164103099459,0.02527537110442722,1.0,0.09005514705882364,0.09667642390012768
v0.2a,17,0.15,4,0.9629411764705882,0.8641360294117646,0.9715441176470588,0.9955425953532415,0.9489674630243472,0.9637186556361999,15.0,45.773809523809526,41.26190476190476,-0.03529411764705882,-0.012481617647058824,0.04889705882352942,0.03705882352941176,0.03705882352941176,0.13768477465037407,0.02174224460209987,1.0,0.090202205882353,0.0853093721936504
v0.2b,9,-0.15,4,0.9991666666666668,0.7821874999999998,0.9568055555555557,0.03633479001495047,0.11906776469917923,0.1280447389509732,nan,nan,nan,-0.4452777777777778,-0.1787152777777778,-0.300625,0.0008333333333333333,0.0008333333333333333,0.2264022835784579,0.04122102382987547,0.0,0.17461805555555565,0.18518125974858246
v0.2b,9,0.0,4,0.9991666666666668,0.8310416666666667,0.9803472222222223,0.21127191516215527,0.3027511791250207,0.3027511791250207,nan,nan,nan,0.08305555555555555,-0.10069444444444445,-0.21673611111111113,0.0008333333333333333,0.0008333333333333333,0.18155420838437986,0.011884706680610951,0.0,0.14930555555555552,0.16966950170376888
v0.2b,9,0.06,4,0.9627777777777777,0.9101388888888889,0.9871527777777778,0.9984140583886942,0.8098440508246179,0.8654887140071935,41.0,47.875,49.0625,0.025555555555555557,0.011319444444444446,-0.012291666666666673,0.037222222222222226,0.037222222222222226,0.07757510136010512,0.01244110476292858,1.0,0.02826388888888895,0.015571761678589254
v0.2b,9,0.08,4,0.9400000000000001,0.9229861111111111,0.9890625000000002,0.9984073426599153,0.8995267878685098,0.9209441239263341,31.5,45.962500000000006,46.07142857142857,0.003333333333333334,-0.012847222222222225,0.030381944444444437,0.06,0.06,0.07106372253531937,0.010077280491869397,1.0,-0.031145833333333456,-0.03465502467623961
v0.2b,9,0.1,4,0.9347222222222222,0.9223263888888888,0.9890972222222223,0.9982024151664026,0.90932468964287,0.9094713524908138,19.5,34.01785714285714,33.458333333333336,-0.03972222222222222,-0.037534722222222226,0.013958333333333331,0.06527777777777778,0.06527777777777778,0.0718901744831379,0.009331489917124729,1.0,-0.041979166666666734,-0.04933389115529292
v0.2b,9,0.15,4,0.9261111111111111,0.923125,0.9892013888888889,0.9964705365644035,0.944904765927113,0.9325739517134316,12.75,32.03809523809524,28.577380952380953,-0.03,-0.02222222222222222,0.03072916666666667,0.07388888888888889,0.07388888888888889,0.07372385846706046,0.00874206285730245,1.0,-0.05982638888888886,-0.06242924860912101
v0.2b,17,-0.15,4,0.9961764705882352,0.8751470588235293,0.9376102941176471,0.027580175842927473,0.11112530089211878,0.09748578398516664,nan,nan,nan,-0.35411764705882354,-0.10360294117647059,-0.10849264705882353,0.003823529411764706,0.003823529411764706,0.15326103689715176,0.08757761520288164,0.0,0.06246323529411771,0.06568342169427013
