panel,run_id,n_agents,coupling,seed_index,llm_activity,llm_final_r1,llm_mean_r1,llm_t05,llm_t09,llm_tau,llm_p_stay,v1_activity,v1_final_r1,v1_mean_r1,v1_t05,v1_t09,v1_tau,v2_activity,v2_final_r1,v2_mean_r1,v2_t05,v2_t09,v2_tau,v1_pred_stay,v2_pred_stay,obs_stay_teacher,eA_v1,eA_v2,delta_e_A,er1_v1,er1_v2,delta_e_r1,et09_v1,et09_v2,delta_e_t09,etau_v1,etau_v2,delta_e_tau,estay_v1,estay_v2,delta_e_stay_teacher,locked_llm
v0.2a,N17_K+0.08_s0,17,0.08,0,0.9705882352941176,0.9988847527762105,0.9083741334909144,7.0,24.0,-0.042352941176470586,0.029411764705882353,0.8730882352941176,0.9027674479291641,0.6557826644960109,29.625,60.75,0.002058823529411764,0.9701470588235295,0.9228082523956362,0.6879614610142392,25.625,65.2,0.04882352941176471,0.13571407973437852,0.03058282973453159,0.029411764705882353,0.09750000000000003,0.0004411764705881671,0.09705882352941186,0.09611730484704639,0.07607650038057423,0.020040804466472162,36.75,41.2,-4.450000000000003,0.04441176470588235,0.0911764705882353,-0.04676470588235295,0.10630231502849616,0.0011710650286492381,0.10513124999984692,1
v0.2a,N17_K+0.08_s1,17,0.08,1,0.9805882352941176,0.9984584830449477,0.8357314158207763,14.0,39.0,-0.06764705882352941,0.019411764705882354,0.8800735294117648,0.9182888759540527,0.6280601652633948,36.5,63.6,0.027279411764705885,0.93625,0.9866560680752121,0.7080693372620398,27.375,63.625,0.03198529411764706,0.13192173987811728,0.04111676777894395,0.019411764705882354,0.1005147058823529,0.04433823529411762,0.05617647058823527,0.08016960709089493,0.011802414969735553,0.06836719212115938,24.6,24.625,-0.02499999999999858,0.09492647058823529,0.09963235294117648,-0.004705882352941185,0.11250997517223493,0.021705003073061595,0.09080497209917333,1
v0.2a,N17_K+0.08_s2,17,0.08,2,0.9688235294117648,0.9985248747761701,0.9242457705050865,3.0,24.0,0.006470588235294118,0.031176470588235295,0.8717647058823529,0.9271925313732148,0.7289932861083004,22.75,50.166666666666664,0.039705882352941174,0.9547058823529413,0.9726764400002217,0.756415179352507,21.75,51.714285714285715,0.045,0.1378206974839815,0.03593773072335429,0.031176470588235295,0.09705882352941186,0.014117647058823457,0.0829411764705884,0.07133234340295536,0.025848434775948448,0.04548390862700691,26.166666666666664,27.714285714285715,-1.547619047619051,0.03323529411764706,0.03852941176470588,-0.005294117647058824,0.10664422689574622,0.004761260135118992,0.10188296676062723,1
v0.2a,N17_K+0.08_s3,17,0.08,3,0.9776470588235294,0.9980949704155407,0.8832320831692461,3.0,41.0,-0.13176470588235295,0.02235294117647059,0.8672794117647058,0.9752480024179815,0.7546943980373977,21.0,51.142857142857146,0.01007352941176471,0.9247058823529412,0.9891212913602359,0.7847336342103711,19.0,45.0,0.046764705882352944,0.13834313286982178,0.03619366339805891,0.02235294117647059,0.11036764705882363,0.05294117647058827,0.05742647058823536,0.022846967997559253,0.008973679055304884,0.01387328894225437,10.142857142857146,4.0,6.142857142857146,0.14183823529411765,0.17852941176470588,-0.03669117647058823,0.11599019169335119,0.013840722221588324,0.10214946947176287,1
v0.2a,N17_K+0.1_s0,17,0.1,0,0.9658823529411765,0.9982727952266864,0.944771427488316,3.0,18.0,-0.021176470588235293,0.03411764705882353,0.8681617647058824,0.9046019024762366,0.738658291406753,17.0,47.0,0.0021323529411764698,0.9702941176470589,0.9216200460611039,0.758998844503389,16.375,27.75,0.06382352941176471,0.1384550344465332,0.028653409004080813,0.03411764705882353,0.09772058823529417,0.004411764705882337,0.09330882352941183,0.09367089275044982,0.07665274916558251,0.017018143584867307,29.0,9.75,19.25,0.023308823529411764,0.085,-0.06169117647058824,0.10433738738770967,0.005464238054742717,0.09887314933296695,1
v0.2a,N17_K+0.1_s1,17,0.1,1,0.9629411764705882,0.9976788580695428,0.9519429119633575,3.0,15.0,0.017058823529411765,0.03705882352941176,0.8670588235294117,0.9651124947481744,0.7929316907653374,16.875,42.5,-0.009264705882352942,0.9702941176470588,0.9531377665013718,0.8030183586395487,15.625,36.8,0.05058823529411765,0.1377102977720539,0.03359588186530437,0.03705882352941176,0.09588235294117653,0.007352941176470562,0.08852941176470597,0.03256636332136842,0.04454109156817099,-0.011974728246802568,27.5,21.799999999999997,5.700000000000003,0.026323529411764707,0.033529411764705884,-0.0072058823529411765,0.10065147424264215,0.0034629416641073912,0.09718853257853476,1
v0.2a,N17_K+0.1_s2,17,0.1,2,0.9652941176470589,0.9988511230458406,0.948614661894862,3.0,15.0,0.01588235294117647,0.03470588235294118,0.8645588235294117,0.9377929890845639,0.7872173125428332,13.25,49.5,0.0023529411764705876,0.9711029411764707,0.9681075847302865,0.8060665458529296,13.875,48.666666666666664,0.046838235294117646,0.13776494637171727,0.028523984905411637,0.03470588235294118,0.10073529411764715,0.005808823529411811,0.09492647058823533,0.061058133961276684,0.030743538315554098,0.030314595645722586,34.5,33.666666666666664,0.8333333333333357,0.013529411764705882,0.030955882352941177,-0.017426470588235293,0.1030590640187761,0.00618189744752954,0.09687716657124656,1
v0.2a,N17_K+0.1_s3,17,0.1,3,0.9747058823529412,0.9982972929376674,0.8576958895100956,12.0,35.0,-0.018235294117647058,0.025294117647058825,0.8643382352941176,0.9267894213314465,0.7259170382990785,20.0,53.0,-0.01669117647058824,0.9580147058823529,0.9801926482628118,0.7771683253516823,17.125,52.42857142857143,0.04301470588235295,0.13383930422980242,0.027705107078766087,0.025294117647058825,0.11036764705882363,0.016691176470588265,0.09367647058823536,0.07150787160622096,0.01810464467485562,0.053403226931365344,18.0,17.42857142857143,0.5714285714285694,0.0015441176470588173,0.061250000000000006,-0.05970588235294119,0.10854518658274359,0.0024109894317072625,0.10613419715103634,1
v0.2a,N17_K+0.12_s0,17,0.12,0,0.9647058823529412,0.9972456439902788,0.9593314369588714,3.0,12.0,-0.004705882352941176,0.03529411764705882,0.86375,0.9221072070626553,0.7948412757706963,11.375,39.6,-0.014632352941176471,0.9751470588235294,0.934003880742559,0.8027583695231885,11.875,49.4,0.04647058823529412,0.13798009650388499,0.02570225444537883,0.03529411764705882,0.10095588235294117,0.010441176470588176,0.090514705882353,0.07513843692762356,0.0632417632477198,0.011896673679903769,27.6,37.4,-9.799999999999997,0.009926470588235295,0.051176470588235295,-0.04125,0.10268597885682616,0.009591863201679995,0.09309411565514616,1
v0.2a,N17_K+0.12_s1,17,0.12,1,0.9694117647058823,0.9975681930290182,0.8967970336778278,9.0,24.0,-0.011764705882352941,0.03058823529411765,0.8675735294117646,0.948420407539918,0.7586561725101504,18.0,47.0,-0.00860294117647059,0.9723529411764706,0.9317751790965988,0.7606542574394117,17.125,58.0,0.02308823529411765,0.13578222911350704,0.02321657458394083,0.03058823529411765,0.10183823529411773,0.002941176470588336,0.0988970588235294,0.04914778548910026,0.06579301393241943,-0.01664522844331917,23.0,34.0,-11.0,0.0031617647058823518,0.03485294117647059,-0.031691176470588237,0.10519399381938939,0.007371660710176819,0.09782233310921257,1
