profile,offset_radians,n_planned,n_valid,p_retard,p_stay,p_advance,g_mean,g_standard_error,g_odd,g_even
broad_kappa_2,-3.141592653589793,50,50,0.08,0.76,0.16,0.08,0.06904597699196897,0.0,0.08
broad_kappa_2,-3.0106929596902186,50,50,0.44,0.06,0.5,0.06,0.1382396617531765,0.29000000000000004,-0.23
broad_kappa_2,-2.8797932657906435,50,50,0.42,0.04,0.54,0.12,0.1389170946416368,0.08,0.039999999999999994
broad_kappa_2,-2.748893571891069,50,50,0.68,0.0,0.32,-0.36,0.13327890045360685,-0.32,-0.03999999999999998
broad_kappa_2,-2.6179938779914944,50,50,0.68,0.0,0.32,-0.36,0.13327890045360688,-0.31,-0.04999999999999999
broad_kappa_2,-2.4870941840919194,50,50,0.42,0.0,0.58,0.16,0.14101671633432072,-0.15999999999999998,0.32
broad_kappa_2,-2.356194490192345,50,50,0.18,0.0,0.82,0.64,0.1097678440702774,0.08000000000000002,0.56
broad_kappa_2,-2.2252947962927703,50,50,0.74,0.0,0.26,-0.48,0.12532406971120746,-0.07999999999999999,-0.4
broad_kappa_2,-2.0943951023931957,50,50,0.8,0.0,0.2,-0.6,0.1142857142857143,-0.45999999999999996,-0.13999999999999999
broad_kappa_2,-1.9634954084936207,50,50,0.82,0.0,0.18,-0.64,0.10976784407027741,-0.44,-0.2
broad_kappa_2,-1.832595714594046,50,50,0.84,0.0,0.16,-0.68,0.10474458731327634,-0.8200000000000001,0.13999999999999996
broad_kappa_2,-1.7016960206944713,50,50,0.88,0.0,0.12,-0.76,0.09284615319583955,-0.72,-0.03999999999999998
broad_kappa_2,-1.5707963267948966,50,50,0.98,0.0,0.02,-0.96,0.04,-0.84,-0.12
broad_kappa_2,-1.4398966328953218,50,50,0.96,0.0,0.04,-0.92,0.05598833697790121,-0.6000000000000001,-0.32
broad_kappa_2,-1.3089969389957472,50,50,0.74,0.0,0.26,-0.48,0.12532406971120746,-0.74,0.26
broad_kappa_2,-1.1780972450961726,50,50,0.54,0.0,0.46,-0.08,0.14239926622145274,-0.26,0.18
broad_kappa_2,-1.0471975511965979,50,50,0.5,0.0,0.5,0.0,0.14285714285714285,-0.36,0.36
broad_kappa_2,-0.9162978572970228,50,50,0.58,0.0,0.42,-0.16,0.14101671633432072,-0.12,-0.04
broad_kappa_2,-0.7853981633974483,50,50,0.58,0.02,0.4,-0.18,0.1390639259844338,-0.49,0.31000000000000005
broad_kappa_2,-0.6544984694978737,50,50,0.34,0.02,0.64,0.3,0.13477115902938006,-0.17,0.47
broad_kappa_2,-0.5235987755982987,50,50,0.92,0.0,0.08,-0.84,0.07751234266428877,-0.6,-0.24
