run_id,n_agents,coupling,seed_index,init_seed,final_r1,final_r2,final_r3,mean_r1,mean_r2,mean_r3,t_r1_gt_0.5,t_r1_gt_0.9,early_growth_r1,mean_activity,mean_p_stay_emp,mean_tau_social,omega_coll,mean_omega,omega_coll_predicted,engine_residual
N9_K-0.15_s0,9,-0.15,0,2026081569,0.045355170185673074,0.07211577184084647,0.40944684212900956,0.04336133193223558,0.19102490444523862,0.2639809103065755,nan,nan,-0.240750642820001,1.0,0.0,-0.4777777777777778,0.07166666666666671,1.5419764230904951e-18,0.07166666666666667,4.163336342344337e-17
N9_K-0.15_s1,9,-0.15,1,2026081579,0.03723346554743894,0.19749508790004977,0.397884590966739,0.045857553929657985,0.1423461188325204,0.22468434359603606,nan,nan,-0.24749643395009388,0.9977777777777778,0.0022222222222222222,-0.4222222222222222,0.06333333333333335,1.5419764230904951e-18,0.06333333333333332,2.7755575615628914e-17
N9_K-0.15_s2,9,-0.15,2,2026081589,0.027202036827738765,0.06185622595064269,0.1834545037082371,0.04312305919282032,0.10864172042632923,0.24634461626458123,nan,nan,-0.239100939645344,1.0,0.0,-0.42,0.06300000000000004,1.5419764230904951e-18,0.063,4.163336342344337e-17
N9_K-0.15_s3,9,-0.15,3,2026081599,0.03554848749895111,0.06011459384039394,0.10636786525426449,0.038510637746457424,0.12974375444617017,0.2643958193318178,nan,nan,-0.19136938952427884,0.9988888888888889,0.0011111111111111111,-0.46111111111111114,0.0691666666666667,1.5419764230904951e-18,0.06916666666666667,2.7755575615628914e-17
N9_K+0_s0,9,0.0,0,2026081419,0.1620334474965275,0.4880329778288948,0.22552127445666365,0.3041256421696512,0.2509937844493457,0.344214996724563,0.0,nan,-0.021161260379780018,1.0,0.0,0.1,-3.700743415417188e-17,1.5419764230904951e-18,1.5419764230904951e-18,-3.854941057726238e-17
N9_K+0_s1,9,0.0,1,2026081429,0.1100712769032266,0.13552563634587544,0.11095892184765677,0.19606730052316432,0.324541407209057,0.23775924557571973,nan,nan,-0.025202376079108295,0.9977777777777778,0.0022222222222222222,0.051111111111111114,3.854941057726238e-18,1.5419764230904951e-18,1.5419764230904951e-18,2.312964634635743e-18
N9_K+0_s2,9,0.0,2,2026081439,0.34602097552997685,0.47985725936659934,0.32953100210698333,0.33469746335156075,0.2634104197403652,0.353144443594641,nan,nan,0.04834616042166755,1.0,0.0,0.042222222222222223,-2.4671622769447922e-17,1.5419764230904951e-18,1.5419764230904951e-18,-2.6213599192538418e-17
N9_K+0_s3,9,0.0,3,2026081449,0.22696196071889024,0.21947480082475093,0.8089659969694879,0.2544375274149744,0.3828661074544929,0.23157794157276596,nan,nan,0.02674025153958683,0.9988888888888889,0.0011111111111111111,0.1388888888888889,0.0,1.5419764230904951e-18,1.5419764230904951e-18,-1.5419764230904951e-18
N9_K+0.06_s0,9,0.06,0,2026081479,0.9974282993527716,0.9897835562883591,0.9772765878683829,0.879572286022715,0.7200367250983026,0.6743426504009631,4.0,44.0,0.06212022311929277,0.9766666666666667,0.023333333333333334,0.058888888888888886,0.0035333333333333575,1.5419764230904951e-18,0.003533333333333335,2.2551405187698492e-17
N9_K+0.06_s1,9,0.06,1,2026081489,0.9994202285490421,0.9976825877963049,0.9947920953321356,0.8406802108030326,0.8186420582079296,0.7125249362838795,14.0,36.0,0.09475683442809962,0.9688888888888889,0.03111111111111111,0.04888888888888889,0.002933333333333324,1.5419764230904951e-18,0.002933333333333335,-1.1275702593849246e-17
N9_K+0.06_s2,9,0.06,2,2026081499,0.9981409496873731,0.9925735766618019,0.9833271584966431,0.8589147170584575,0.8928671379763345,0.7744862925248782,1.0,55.0,0.03619191384521597,0.9466666666666667,0.05333333333333334,0.03111111111111111,0.001866666666666653,1.5419764230904951e-18,0.0018666666666666682,-1.5178830414797062e-17
N9_K+0.06_s3,9,0.06,3,2026081509,0.9986667559655904,0.994674906984489,0.9880480789472164,0.8705436288265972,0.8006417763602767,0.7301291386329801,11.0,29.0,0.15876501620771125,0.9588888888888889,0.04111111111111111,-0.03666666666666667,-0.002199999999999992,1.5419764230904951e-18,-0.0021999999999999984,6.5052130349130266e-18
N9_K+0.08_s0,9,0.08,0,2026081499,0.998931566889625,0.9957328510059255,0.9904235586563174,0.9125135548426552,0.9233608487271064,0.867532140400769,1.0,35.0,0.0432683303421737,0.9433333333333334,0.056666666666666664,0.04111111111111111,0.003288888888888843,1.5419764230904951e-18,0.0032888888888888907,-4.7704895589362195e-17
N9_K+0.08_s1,9,0.08,1,2026081509,0.9983399146372719,0.9933716418225521,0.9851310553975222,0.9366254255890777,0.8924837864638246,0.8607828734127883,6.0,15.0,0.19189816911347266,0.9266666666666666,0.07333333333333333,-0.024444444444444446,-0.0019555555555555524,1.5419764230904951e-18,-0.001955555555555554,1.734723475976807e-18
N9_K+0.08_s2,9,0.08,2,2026081519,0.9978452950775236,0.991394115231318,0.9806851782130029,0.8077596317511341,0.8532495154277301,0.748953361786972,8.0,62.0,0.1368352082822174,0.9688888888888889,0.03111111111111111,0.04888888888888889,0.003911111111111086,1.5419764230904951e-18,0.0039111111111111135,-2.7755575615628914e-17
N9_K+0.08_s3,9,0.08,3,2026081529,0.9985125940352403,0.994061111052759,0.986677661041607,0.9628476683351537,0.9262487111000379,0.9111083435271216,1.0,14.0,0.059900014314467766,0.9211111111111111,0.07888888888888888,-0.052222222222222225,-0.004177777777777777,1.5419764230904951e-18,-0.004177777777777777,0.0
N9_K+0.1_s0,9,0.1,0,2026081519,0.998226033612498,0.9929204800760865,0.9841322023226633,0.9025044336739666,0.9089491380120882,0.8604704508758345,9.0,22.0,0.1310410210678219,0.94,0.06,-0.035555555555555556,-0.003555555555555558,1.5419764230904951e-18,-0.003555555555555554,-3.903127820947816e-18
N9_K+0.1_s1,9,0.1,1,2026081529,0.9983418525669803,0.9933792464040192,0.9851476055694285,0.9564124080617294,0.9370800512813814,0.9071359478557678,1.0,16.0,0.05069941934155627,0.9322222222222222,0.06777777777777778,-0.07666666666666666,-0.007666666666666672,1.5419764230904951e-18,-0.0076666666666666645,-7.806255641895632e-18
N9_K+0.1_s2,9,0.1,2,2026081539,0.9977701231288448,0.991100771680809,0.9800526080251014,0.9525242690309558,0.8988741843629893,0.8704727920055092,4.0,13.0,0.1162034574490961,0.9288888888888889,0.07111111111111111,-0.011111111111111112,-0.0011111111111111267,1.5419764230904951e-18,-0.0011111111111111096,-1.713039432527097e-17
N9_K+0.1_s3,9,0.1,3,2026081549,0.9984716513572873,0.9938932633582217,0.9862847811639671,0.9116998461077478,0.9082902144621327,0.8705434613537828,4.0,27.0,0.04326125493228864,0.9377777777777778,0.06222222222222222,-0.035555555555555556,-0.003555555555555547,1.5419764230904951e-18,-0.003555555555555554,6.938893903907228e-18
N9_K+0.15_s0,9,0.15,0,2026081569,0.9946125374129646,0.9785857702966231,0.9523259639116257,0.9637437531465245,0.9296106510306008,0.9135543980710193,3.0,11.0,0.09532217019188256,0.9211111111111111,0.07888888888888888,0.016666666666666666,0.0024999999999999866,1.5419764230904951e-18,0.002500000000000002,-1.5178830414797062e-17
N9_K+0.15_s1,9,0.15,1,2026081579,0.9965786212294294,0.9863576467726339,0.9694661230704853,0.9383811610691608,0.937137058978753,0.9033116249770623,4.0,18.0,0.07260774567564196,0.9333333333333333,0.06666666666666667,-0.08222222222222222,-0.01233333333333333,1.5419764230904951e-18,-0.012333333333333332,1.734723475976807e-18
N9_K+0.15_s2,9,0.15,2,2026081589,0.9972880630800072,0.9891830333417877,0.975776830673944,0.959970712636144,0.9316647353097324,0.9075670024862669,2.0,12.0,0.07617005793609159,0.9266666666666666,0.07333333333333333,-0.04666666666666667,-0.006999999999999929,1.5419764230904951e-18,-0.006999999999999998,6.938893903907228e-17
N9_K+0.15_s3,9,0.15,3,2026081599,0.9974029245352132,0.9896428446510808,0.9768129644134451,0.957828151881014,0.9152846496863575,0.8967642211804413,4.0,10.0,0.16890160345776745,0.9233333333333333,0.07666666666666666,-0.0077777777777777776,-0.0011666666666666665,1.5419764230904951e-18,-0.001166666666666665,-1.5178830414797062e-18
N17_K-0.15_s0,17,-0.15,0,2026089569,0.029555530310279,0.06585248198430607,0.11163112233132304,0.03252863813673662,0.07978340550357044,0.18159928591915692,nan,nan,-0.06709988694346335,0.9958823529411764,0.00411764705882353,-0.38294117647058823,0.05744117647058827,8.163404592832033e-19,0.05744117647058823,4.163336342344337e-17
N17_K-0.15_s1,17,-0.15,1,2026089579,0.026824223903125444,0.08526238205649316,0.23067932392650148,0.035999128223407596,0.09660593747648863,0.15426057517878924,nan,nan,0.013506269948633022,0.9976470588235294,0.002352941176470588,-0.30823529411764705,0.046235294117647076,8.163404592832033e-19,0.046235294117647055,2.0816681711721685e-17
