run_id,n_agents,coupling,seed_index,t,r1,r2,r3,activity,tau_social
N9_K-0.15_s0,9,-0.15,0,0,0.3140451759344066,0.25508564138221773,0.5840406743915019,1.0,-0.1111111111111111
N9_K-0.15_s0,9,-0.15,0,1,0.222034225369792,0.330360091463508,0.47472828865496874,1.0,0.1111111111111111
N9_K-0.15_s0,9,-0.15,0,2,0.14869645259489864,0.37145935503151034,0.36460765345915663,1.0,-0.3333333333333333
N9_K-0.15_s0,9,-0.15,0,3,0.11140324802541066,0.30065311367491415,0.30220827816465673,1.0,-0.5555555555555556
N9_K-0.15_s0,9,-0.15,0,4,0.0700598700854309,0.3050186512783322,0.23469787777242768,1.0,-0.5555555555555556
N9_K-0.15_s0,9,-0.15,0,5,0.028294365978175022,0.27776332887103344,0.18421722040586716,1.0,-0.7777777777777778
N9_K-0.15_s0,9,-0.15,0,6,0.0348932647249103,0.20806022337060034,0.2300055824742728,1.0,-0.1111111111111111
N9_K-0.15_s0,9,-0.15,0,7,0.020930947887902767,0.24018038872872102,0.20715076517360823,1.0,-0.5555555555555556
N9_K-0.15_s0,9,-0.15,0,8,0.030129587407947536,0.15331083814747729,0.13428925828175606,1.0,-0.3333333333333333
N9_K-0.15_s0,9,-0.15,0,9,0.06383751757770556,0.2231996717115376,0.2483496600662491,1.0,-0.3333333333333333
N9_K-0.15_s0,9,-0.15,0,10,0.024934116776374502,0.3306350839303618,0.1840791999358859,1.0,-0.1111111111111111
N9_K-0.15_s0,9,-0.15,0,11,0.020240712501084435,0.21814415216519922,0.21174024030055116,1.0,-0.5555555555555556
N9_K-0.15_s0,9,-0.15,0,12,0.019695258966690585,0.15692538525172053,0.24427660419896247,1.0,-0.7777777777777778
N9_K-0.15_s0,9,-0.15,0,13,0.049685425486801854,0.09167684801114476,0.218997898360147,1.0,-0.1111111111111111
N9_K-0.15_s0,9,-0.15,0,14,0.10766451336220308,0.05315955545572821,0.16763816288154706,1.0,-0.1111111111111111
N9_K-0.15_s0,9,-0.15,0,15,0.046792202774788794,0.11594113679556396,0.2239532376452216,1.0,-0.7777777777777778
N9_K-0.15_s0,9,-0.15,0,16,0.011803936458836109,0.11760869608437483,0.14619877378848387,1.0,-0.3333333333333333
