n_agents,coupling,n_seeds,llm_mean_final_r1,llm_mean_mean_r1,llm_mean_activity,llm_mean_t05,llm_mean_t09,llm_mean_tau,llm_mean_p_stay,llm_p_final_r1_gt_0.9,v1_mean_activity,v1_mean_final_r1,v1_mean_t09,mae_activity_vs_v1,mean_err_activity_vs_v1,mae_final_r1_vs_v1,v2_mean_activity,v2_mean_final_r1,v2_mean_t09,mae_activity_vs_v2,mean_err_activity_vs_v2,mae_final_r1_vs_v2
9,-0.15,4,0.03633479001495047,0.04271314570029283,0.9991666666666668,nan,nan,-0.4452777777777778,0.0008333333333333333,0.0,0.7821874999999998,0.11906776469917923,nan,0.21697916666666675,0.21697916666666675,0.08273297468422876,0.9568055555555557,0.1280447389509732,nan,0.0423611111111111,0.0423611111111111,0.09170994893602274
9,0.0,4,0.21127191516215527,0.27233198336483766,0.9991666666666668,0.0,nan,0.08305555555555555,0.0008333333333333333,0.0,0.8310416666666667,0.3027511791250207,nan,0.168125,0.168125,0.12309199286761498,0.9803472222222223,0.3027511791250207,nan,0.018819444444444472,0.018819444444444472,0.12309199286761498
9,0.06,4,0.9984140583886942,0.8624277106777005,0.9627777777777777,7.5,41.0,0.025555555555555557,0.037222222222222226,1.0,0.9101388888888889,0.8098440508246179,47.875,0.05263888888888893,0.05263888888888893,0.18857000756407638,0.9871527777777778,0.8654887140071935,49.0625,0.02437499999999998,-0.02437499999999998,0.13292534438150078
9,0.08,4,0.9984073426599153,0.9049365701295051,0.9400000000000001,4.0,31.5,0.003333333333333334,0.06,1.0,0.9229861111111111,0.8995267878685098,45.962500000000006,0.017916666666666636,0.017013888888888884,0.0988805547914054,0.9890625000000002,0.9209441239263341,46.07142857142857,0.04906250000000009,-0.04906250000000009,0.07746321873358122
9,0.1,4,0.9982024151664026,0.9307852392185999,0.9347222222222222,4.5,19.5,-0.03972222222222222,0.06527777777777778,1.0,0.9223263888888888,0.90932468964287,34.01785714285714,0.012395833333333328,0.012395833333333328,0.08887772552353254,0.9890972222222223,0.9094713524908138,33.458333333333336,0.05437500000000006,-0.05437500000000006,0.08873106267558878
9,0.15,4,0.9964705365644035,0.9549809446832108,0.9261111111111111,3.25,12.75,-0.03,0.07388888888888889,1.0,0.923125,0.944904765927113,32.03809523809524,0.0032638888888888995,0.002986111111111134,0.05156577063729059,0.9892013888888889,0.9325739517134316,28.577380952380953,0.06309027777777776,-0.06309027777777776,0.06389658485097205
17,-0.15,4,0.027580175842927473,0.0345523423725714,0.9961764705882352,nan,nan,-0.35411764705882354,0.003823529411764706,0.0,0.8751470588235293,0.11112530089211878,nan,0.12102941176470594,0.12102941176470594,0.08354512504919129,0.9376102941176471,0.09748578398516664,nan,0.05856617647058823,0.05856617647058823,0.06990560814223917
