profile,within_tv_mean,between_tv_min,between_tv_mean,between_min_over_within_mean,passes_ratio_gt_2,classification,minimum_pair_c1_chordal
unimodal_k9,0.11111111111111112,0.42013888888888884,0.447145061728395,3.781249999999999,1,weak_polar_full_operator_separated,0.12403640067171179
bimodal_equal_sep2_k6,0.10493827160493828,0.2569444444444444,0.31057098765432095,2.4485294117647056,1,polar_and_full_operator_separated,0.45069308137597497
antipodal_equal_k6,0.11342592592592593,0.3194444444444444,0.40239197530864196,2.8163265306122445,1,symmetry_selective_polar_channel_collapse,0.07004520180575197
asymmetric_w075_sep2_k6,0.10185185185185185,0.31481481481481477,0.3194444444444444,3.090909090909091,1,polar_and_full_operator_separated,0.316783290678907
sparse_N8_unimodal_k6,0.10725308641975308,0.3692129629629629,0.4895833333333333,3.4424460431654675,1,polar_and_full_operator_separated,0.837615073524024
sparse_N16_antipodal_k6,0.12268518518518517,0.34143518518518523,0.48996913580246915,2.783018867924529,1,symmetry_selective_polar_channel_collapse,0.04813674754706373
