run_id,n_agents,coupling,seed_index,t,r1,r2,r3,activity,tau_social
N17_K-0.15_s0,17,-0.15,0,0,0.23360715099178386,0.14523109459377478,0.19616710629682488,1.0,-0.058823529411764705
N17_K-0.15_s0,17,-0.15,0,1,0.1467655920995306,0.11535677680751964,0.2641164856630943,1.0,-0.17647058823529413
N17_K-0.15_s0,17,-0.15,0,2,0.0633012919826628,0.11899161139792262,0.31245451860275975,1.0,0.058823529411764705
N17_K-0.15_s0,17,-0.15,0,3,0.029221344730732957,0.10213982448662867,0.2392461591373015,1.0,-0.4117647058823529
N17_K-0.15_s0,17,-0.15,0,4,0.04229644966959974,0.04248447040510625,0.21027454470591006,0.9411764705882353,-0.47058823529411764
N17_K-0.15_s0,17,-0.15,0,5,0.018519810165787888,0.04855083847330416,0.219084309484444,1.0,-0.5294117647058824
N17_K-0.15_s0,17,-0.15,0,6,0.006144014576686617,0.07668163013152442,0.17815481863500868,1.0,-0.8823529411764706
N17_K-0.15_s0,17,-0.15,0,7,0.02162181998460878,0.056675311986118006,0.1390893909563663,1.0,-0.29411764705882354
N17_K-0.15_s0,17,-0.15,0,8,0.030225028914912307,0.053425920843254766,0.19043274499023802,1.0,-0.4117647058823529
N17_K-0.15_s0,17,-0.15,0,9,0.0510692317982505,0.07916292106466574,0.1261477394431223,0.9411764705882353,-0.23529411764705882
N17_K-0.15_s0,17,-0.15,0,10,0.013684834904630974,0.06139478095315897,0.1355557873288642,1.0,-0.6470588235294118
N17_K-0.15_s0,17,-0.15,0,11,0.01575090317134733,0.023578313993265522,0.05441828486758537,1.0,-0.4117647058823529
N17_K-0.15_s0,17,-0.15,0,12,0.027561645110422094,0.04725610885726399,0.13779131458835656,1.0,-0.4117647058823529
N17_K-0.15_s0,17,-0.15,0,13,0.0517589781839146,0.05096325909330985,0.09220344199514945,1.0,-0.17647058823529413
N17_K-0.15_s0,17,-0.15,0,14,0.04011270674314987,0.10336633524559737,0.07066721438612833,1.0,-0.5294117647058824
N17_K-0.15_s0,17,-0.15,0,15,0.044883792218681315,0.0762705953209906,0.14079521466369485,1.0,-0.058823529411764705
N17_K-0.15_s0,17,-0.15,0,16,0.05614959329531685,0.06024922903685442,0.0342809600134206,1.0,-0.29411764705882354
N17_K-0.15_s0,17,-0.15,0,17,0.0212805220366954,0.07578656641705049,0.14299299189741865,0.9411764705882353,-0.35294117647058826
N17_K-0.15_s0,17,-0.15,0,18,0.046281043722567444,0.12312362117767152,0.0781483094939127,1.0,0.058823529411764705
N17_K-0.15_s0,17,-0.15,0,19,0.038735194508889986,0.149606055842812,0.10604396669566526,1.0,-0.17647058823529413
N17_K-0.15_s0,17,-0.15,0,20,0.021355788978969965,0.12919869151809252,0.22094066681324778,1.0,-0.29411764705882354
N17_K-0.15_s0,17,-0.15,0,21,0.02594213389707693,0.062275752328454025,0.23890785524172825,0.9411764705882353,-0.35294117647058826
N17_K-0.15_s0,17,-0.15,0,22,0.043015717000180045,0.07547162579970282,0.2374909088222434,1.0,-0.17647058823529413
N17_K-0.15_s0,17,-0.15,0,23,0.03862533810195393,0.07603409432966184,0.3326357550374729,0.9411764705882353,-0.47058823529411764
N17_K-0.15_s0,17,-0.15,0,24,0.0155977376942614,0.12024137128426028,0.365328258731323,1.0,-0.4117647058823529
N17_K-0.15_s0,17,-0.15,0,25,0.01939289045156934,0.0709163274630173,0.42754339181815304,1.0,-0.4117647058823529
N17_K-0.15_s0,17,-0.15,0,26,0.053248683393915155,0.01628445442128288,0.3814569566904763,1.0,-0.29411764705882354
N17_K-0.15_s0,17,-0.15,0,27,0.02086827851423581,0.132972889407407,0.3867475540587287,1.0,-0.29411764705882354
N17_K-0.15_s0,17,-0.15,0,28,0.0023357474146486652,0.23211013470054465,0.280890269393442,1.0,-0.5294117647058824
N17_K-0.15_s0,17,-0.15,0,29,0.02490096571579965,0.1996022940215985,0.20706998444313582,1.0,-0.5294117647058824
N17_K-0.15_s0,17,-0.15,0,30,0.05609056954139715,0.14300932269201358,0.16173374520068112,1.0,-0.29411764705882354
N17_K-0.15_s0,17,-0.15,0,31,0.015996808156078554,0.19801064593723272,0.1933616780450085,0.9411764705882353,-0.5882352941176471
N17_K-0.15_s0,17,-0.15,0,32,0.034325092650439044,0.15022508533174816,0.18206923197351374,0.9411764705882353,-0.11764705882352941
N17_K-0.15_s0,17,-0.15,0,33,0.059870888966752134,0.21018584372413945,0.04844857316037415,1.0,-0.4117647058823529
